,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
11882,1019007481601839100,"['a', 'paion', 'du', 'football', 'tait', 'dj', 'connue', 'httpstcoylzudzdu']",Mon Jul 16 23:54:50 +0000 2018,kiruafreecss,A,Agilent Technologies,https://twitter.com/counfoupanda/status/1018554014680707072,False,5.58
11903,1019009897621381100,"['rt', 'shaneoliveramp', 'ez', 'shares', 'us', 'shares', 'us', 'yr', 'yld', 'bp', 'to', 'oil', 'to', 'with', 'reports', 'of', 'increased', 'saudi', 'supply']",Tue Jul 17 00:04:26 +0000 2018,viviennecarter,A,Agilent Technologies,,False,5.537333333333333
11981,1019020217584889900,"['the', 'geometric', 'rmatrix', 'for', 'affine', 'crystals', 'of', 'type', 'a', 'arxivv', 'httpstcortzfajq', 'updated', 'httpstcotpdzzj']",Tue Jul 17 00:45:27 +0000 2018,metamathan,A,Agilent Technologies,http://math.QA,False,5.333333333333333
12026,1019027496195457000,"['i', 'am', 'one', 'exam', 'bam', 'it', 'cry', 'out', 'hubs', 'at', 'a', 'cube']",Tue Jul 17 01:14:22 +0000 2018,stockbard,A,Agilent Technologies,,False,4.814545454545455
12068,1019035048593559600,"['ace', 'a', 'fig', 'cry', 'too', 'big', 'i', 'am', 'ms', 'pen', 'too', 'hd']",Tue Jul 17 01:44:22 +0000 2018,stockbard,A,Agilent Technologies,,False,5.293333333333333
12201,1019053220122054700,"['the', 'only', 'good', 'moment', 'on', 'tonights', 'raw', 'aha', 'httpstcoxujmonaplw']",Tue Jul 17 02:56:35 +0000 2018,M_Last0ftheTray,A,Agilent Technologies,https://twitter.com/WWE/status/1019034653930414080,False,5.5371428571428565
12218,1019057075538706400,"['nicoleyyy', 'mrmng', 'm', 'p', 'a', 'r']",Tue Jul 17 03:11:54 +0000 2018,theajajangmyeon,A,Agilent Technologies,,False,5.035
12224,1019057763807309800,"['my', 'inn', 'ate', 'a', 'race', 'at', 'a', 'king', 'stay', 'ten', 'seas', 'ago']",Tue Jul 17 03:14:38 +0000 2018,stockbard,A,Agilent Technologies,,False,5.701666666666667
12259,1019064507111338000,"['rt', 'freshagenda', 'ok', 'so', 'maybe', 'youre', 'not', 'as', 'excited', 'about', 'our', 'ausdairy', 'index', 'as', 'this', 'guy', 'and', 'with', 'good', 'reason', 'despite', 'a', 'weaker', 'a', 'we']",Tue Jul 17 03:41:26 +0000 2018,journoandy26,A,Agilent Technologies,,True,5.46909090909091
12309,1019072788248846300,"['im', 'out', 'a', 'gas', 'i', 'ace', 'all', 'keys', 'ago', 'data', 'are', 'one', 'fur']",Tue Jul 17 04:14:20 +0000 2018,stockbard,A,Agilent Technologies,,False,5.455384615384617
12353,1019080343129862100,"['i', 'fly', 'ms', 'fit', 'for', 'a', 'fur', 'dang', 'i', 'fly', 'a', 'deck', 'at', 'ads']",Tue Jul 17 04:44:22 +0000 2018,stockbard,A,Agilent Technologies,,False,5.3914285714285715
12413,1019091733739638800,"['rt', 'lissertations', 'a', 'faces', 'on', 'sticks', 'collection', 'c', 'curated', 'by', 'thomas', 'peach', 'a', 'masks', 'b', 'assorted', 'colours', 'c', 'face']",Tue Jul 17 05:29:37 +0000 2018,JanineWinfree,A,Agilent Technologies,,False,5.385714285714286
12441,1019094255552196600,"['its', 'always', 'too', 'early', 'for', 'a', 'intestines', 'x', 'diseases', 'x', 'psychosomatic', 'aspects']",Tue Jul 17 05:39:39 +0000 2018,lissertations,A,Agilent Technologies,,False,5.006000000000001
12501,1019101824517894100,"['rt', 'devam', 'omerozkok', 'akgnfeyza', 'vatann', 'a', 'sattna', 'utanmyor', 'tutuklandna', 'utanmyor', 'erefli', 'bir', 'astsubayn', 'tutuklamasn']",Tue Jul 17 06:09:43 +0000 2018,PATLAK_BORU,A,Agilent Technologies,,False,5.0600000000000005
