,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
20086,1019561761786212400,"['trading', 'us', 'pm', 'gapers', 'prpo', 'cei', 'cbio', 'eric', 'clrb', 'mtg', 'ual', 'csx', 'nok', 'asml', 'hmny', 'ms', 'aal', 'dal', 'brkb', 'abt', 'sogo', 'httpstcoxjjxnmwo']",Wed Jul 18 12:37:21 +0000 2018,4DQuest,AAL,American Airlines Group Inc.,https://twitter.com/i/web/status/1019561761786212352,False,5.396666666666667
20191,1019564623278760000,"['aal', 'daily', 'chart', 'airlines', 'perking', 'this', 'am', 'nice', 'falling', 'wedge', 'here', 'on', 'watch', 'httpstcooxklkbow']",Wed Jul 18 12:48:43 +0000 2018,offshorehunters,AAL,American Airlines Group Inc.,,False,5.408000000000001
20240,1019565979251011600,"['rt', 'offshorehunters', 'aal', 'daily', 'chart', 'airlines', 'perking', 'this', 'am', 'nice', 'falling', 'wedge', 'here', 'on', 'watch', 'httpstcooxklkbow']",Wed Jul 18 12:54:06 +0000 2018,AlertTrade,AAL,American Airlines Group Inc.,,False,5.36
20241,1019565984477311000,"['rt', 'offshorehunters', 'aal', 'daily', 'chart', 'airlines', 'perking', 'this', 'am', 'nice', 'falling', 'wedge', 'here', 'on', 'watch', 'httpstcooxklkbow']",Wed Jul 18 12:54:07 +0000 2018,tradnews_,AAL,American Airlines Group Inc.,,False,5.36
20284,1019567058240049200,"['rt', 'supernyc', 'premarket', 'top', 'gainers', 'prpo', 'cei', 'cbio', 'uuuu', 'eric', 'clrb', 'tops', 'atos', 'nog', 'mdgs', 'mtg', 'ual', 'csx', 'nok', 'fpi', 'mbrx']",Wed Jul 18 12:58:23 +0000 2018,frohlich_lukas,AAL,American Airlines Group Inc.,,False,5.619999999999999
20325,1019567624051667000,"['hd', 'myl', 'aal', 'algn', 'adi', 'payx', 'bullish', 'macd', 'crossover']",Wed Jul 18 13:00:38 +0000 2018,themaxpain,AAL,American Airlines Group Inc.,,False,5.78
20593,1019572989116014600,"['ceinyseamexcamberenergy', 'premkt', 'soaring', 'on', 'approval', 'letter', 'shpg', 'cost', 'mnst', 'mdlz', 'wfm', 'sbac', 'vod', 'httpstcoelrmxkyin']",Wed Jul 18 13:21:58 +0000 2018,Drugdoctor2014,AAL,American Airlines Group Inc.,https://twitter.com/i/web/status/1019572989116014593,False,5.645
20717,1019575567300120600,"['aal', 'q', 'earnings', 'are', 'expected', 'to', 'be', 'announced', 'before', 'market', 'hours', 'on', 'estimates', 'high', 'mean', 'low']",Wed Jul 18 13:32:12 +0000 2018,DNev47,AAL,American Airlines Group Inc.,,False,5.374666666666668
21006,1019580355584462800,"['ual', 'aal', 'dal', 'airliners', 'gap', 'n', 'go']",Wed Jul 18 13:51:14 +0000 2018,SWIMKILLS,AAL,American Airlines Group Inc.,,False,5.093333333333334
21026,1019580928941846500,"['aal', 'nov', 'calls', 'sweepopen']",Wed Jul 18 13:53:31 +0000 2018,NickPoulopoulos,AAL,American Airlines Group Inc.,,False,5.43
21035,1019581115550568400,"['ual', 'incredible', 'numbers', 'repurchased', 'of', 'shares', 'in', 'quarter', 'netpayoutyields', 'aal']",Wed Jul 18 13:54:15 +0000 2018,Stonefoxcapital,AAL,American Airlines Group Inc.,,False,6.023333333333333
21040,1019581246182215700,"['aal', 'nov', 'call', 'activity', 'block', 'on', 'offer', 'expire', 'nov']",Wed Jul 18 13:54:46 +0000 2018,TheTradeXchange,AAL,American Airlines Group Inc.,,False,5.591428571428571
21043,1019581296257962000,"['aal', 'nov', 'call', 'bought', 'into', 'strength', 'jets', 'airlines', 'best', 'performing', 'grp']",Wed Jul 18 13:54:58 +0000 2018,cfromhertz,AAL,American Airlines Group Inc.,,False,6.08
21055,1019581414939996200,"['rt', 'ceinyseamexcamberenergy', 'premkt', 'soaring', 'on', 'approval', 'letter', 'shpg', 'cost', 'mnst', 'mdlz', 'wfm', 'sbac', 'httpstcodqfpwhor']",Wed Jul 18 13:55:26 +0000 2018,MeyersCohen,AAL,American Airlines Group Inc.,https://twitter.com/i/web/status/1019581414939996161,False,5.492
21123,1019582841196200000,"['airline', 'stocks', 'ride', 'on', 'uniteds', 'back', 'httpstcomkftdbpglz', 'ual', 'aal', 'dal', 'luv']",Wed Jul 18 14:01:06 +0000 2018,MarketCurrents,AAL,American Airlines Group Inc.,https://seekingalpha.com/news/3371056-airline-stocks-ride-uniteds-back?source=feed_f,False,5.843333333333334
21128,1019582902755942400,"['aal', 'weekly', 'hold', 'so', 'far', 'and', 'call', 'sweeps', 'coming', 'in']",Wed Jul 18 14:01:21 +0000 2018,canuck2usa,AAL,American Airlines Group Inc.,,False,5.344999999999999
21129,1019582907810238500,"['shares', 'of', 'ual', 'are', 'on', 'a', 'tear', 'up', 'roughly', 'and', 'they', 'are', 'taking', 'shares', 'of', 'dal', 'aal', 'and', 'others', 'along', 'for', 'the', 'ride', 'httpstcosuqpwjexa']",Wed Jul 18 14:01:22 +0000 2018,PlaneBusiness,AAL,American Airlines Group Inc.,https://twitter.com/i/web/status/1019582907810238465,False,5.301
21135,1019583054636113900,"['aal', 'aug', 'calls', 'sweep']",Wed Jul 18 14:01:57 +0000 2018,NickPoulopoulos,AAL,American Airlines Group Inc.,,False,5.34
21147,1019583254775517200,"['aal', 'aug', 'calls', 'sweeper', 'with', 'earnings', 'around', 'the', 'corner', 'seeing', 'lots', 'of', 'flow', 'running', 'right', 'into', 'earnings']",Wed Jul 18 14:02:45 +0000 2018,OptionsMamba,AAL,American Airlines Group Inc.,,False,5.818666666666668
21177,1019583561538637800,"['aal', 'aug', 'puts', 'sweep', 'puts', 'and', 'calls', 'heavy', 'on', 'this', 'airliner']",Wed Jul 18 14:03:58 +0000 2018,NickPoulopoulos,AAL,American Airlines Group Inc.,,False,5.1288888888888895
21196,1019583979073175600,"['trader', 'sells', 'aal', 'august', 'put', 'spreads']",Wed Jul 18 14:05:38 +0000 2018,KeeneOnMarket,AAL,American Airlines Group Inc.,,False,5.546666666666667
21226,1019584730382168000,"['rt', 'drugdoctor', 'ceinyseamexcamberenergy', 'premkt', 'soaring', 'on', 'approval', 'letter', 'shpg', 'cost', 'mnst', 'mdlz', 'wfm', 'sbac', 'vod', 'tm']",Wed Jul 18 14:08:37 +0000 2018,otc_whispers,AAL,American Airlines Group Inc.,,False,5.492
21292,1019586175722446800,"['boom', 'aal', 'in', 'minutes', 'from', 'my', 'iphone', 'in', 'bed', 'done', 'for', 'the', 'day', 'i', 'can', 'really', 'get', 'used', 'to', 'httpstcovfajtfn']",Wed Jul 18 14:14:21 +0000 2018,MTRisner,AAL,American Airlines Group Inc.,https://twitter.com/i/web/status/1019586175722446850,False,5.684444444444445
21308,1019586502148280300,"['aviation', 'flying', 'high', 'softening', 'crude', 'favourably', 'impacts', 'aal', 'dal', 'ual', 'all', 'up', 'to']",Wed Jul 18 14:15:39 +0000 2018,sanvai,AAL,American Airlines Group Inc.,,False,5.708571428571427
21322,1019586888481599500,"['took', 'profit', 'on', 'aal', 'calls', 'loaded', 'up', 'more', 'fb', 'and', 'amzn', 'puts', 'near', 'the', 'highs']",Wed Jul 18 14:17:11 +0000 2018,Miketrades2020,AAL,American Airlines Group Inc.,,False,5.645833333333333
21473,1019590710079696900,"['aal', 'active', 'trading', 'in', 'american', 'airlines', 'options', 'as', 'shares', 'rally', 'httpstcomkewhdavd']",Wed Jul 18 14:32:23 +0000 2018,mchaudhry82,AAL,American Airlines Group Inc.,,False,6.077777777777778
21546,1019592683696853000,"['rt', 'mtrisner', 'boom', 'aal', 'in', 'minutes', 'from', 'my', 'iphone', 'in', 'bed', 'done', 'for', 'the', 'day', 'i', 'can', 'really', 'get', 'used', 'to', 'this', 'tra']",Wed Jul 18 14:40:13 +0000 2018,ProfitMachine,AAL,American Airlines Group Inc.,,False,5.583809523809524
21611,1019594017510776800,"['aal', 'most', 'active', 'put', 'option', 'aug', 'puts', 'see', 'aal', 'option', 'chain', 'httpstcorxifksg']",Wed Jul 18 14:45:31 +0000 2018,MarketChmln,AAL,American Airlines Group Inc.,https://marketchameleon.com/Overview/AAL/OptionChain/?e=4736_20180817,False,5.746666666666666
21753,1019597275838939100,"['aal', 'american', 'airlines', 'group', 'c', 'option', 'order', 'flow', 'sentiment', 'has', 'shifted', 'from', 'bullish', 'to', 'bearish', 'httpstcoezwgyxgk']",Wed Jul 18 14:58:28 +0000 2018,MC_OptionTrades,AAL,American Airlines Group Inc.,https://marketchameleon.com/Overview/AAL/OptionOrderSentiment/,False,5.518181818181817
21758,1019597311813607400,"['amir', 'barak', 'aalgt', 'c']",Wed Jul 18 14:58:36 +0000 2018,meirbarak,AAL,American Airlines Group Inc.,,False,4.7
21810,1019597997603160000,"['of', 'bullish', 'unusual', 'option', 'activity', 'detected', 'for', 'aal', 'httpstcoorfstbfeiu', 'httpstcoptuwdtutt']",Wed Jul 18 15:01:20 +0000 2018,Optionsonar1,AAL,American Airlines Group Inc.,http://optionsonar.com/unusual-option-activity/aal/latest-trades,False,5.353333333333333
21835,1019598402873712600,"['airline', 'stock', 'roundup', 'earnings', 'beat', 'at', 'dal', 'amp', 'ual', 'aals', 'bearish', 'q', 'view', 'amp', 'more', 'httpstcodmbglbblmg', 'ha', 'dal', 'jblu', 'ual', 'aal', 'save']",Wed Jul 18 15:02:57 +0000 2018,whotrades,AAL,American Airlines Group Inc.,https://whotrades.com/people/984697114/timeline/4473014?showMore=1,False,5.615384615384615
21905,1019600019345805300,"['airline', 'stocks', 'ride', 'on', 'uniteds', 'back', 'ual', 'aal', 'dal', 'luv', 'jblu', 'alk', 'save', 'algt', 'jets', 'httpstcoexjviywem']",Wed Jul 18 15:09:22 +0000 2018,investmorris,AAL,American Airlines Group Inc.,https://seekingalpha.com/news/3371056,False,5.890000000000001
21935,1019600689142620200,"['of', 'bearish', 'unusual', 'option', 'activity', 'detected', 'for', 'aal', 'httpstcoorfstbfeiu', 'httpstcoklhxlva']",Wed Jul 18 15:12:02 +0000 2018,Optionsonar1,AAL,American Airlines Group Inc.,http://optionsonar.com/unusual-option-activity/aal/latest-trades,False,5.353333333333333
21941,1019600823846875100,"['jets', 'take', 'off', 'aal', 'dal', 'ual', 'luv', 'jblu', 'httpstcornvoppxxn']",Wed Jul 18 15:12:34 +0000 2018,ethxtrader,AAL,American Airlines Group Inc.,https://twitter.com/ethxtrader/status/1019218541000773633,False,5.4799999999999995
21966,1019601581589893100,"['dato', 'hoy', 'la', 'accin', 'de', 'american', 'airlines', 'group', 'aal', 'gana', 'una', 'aerolnea', 'muy', 'utilizada', 'por', 'socialistas', 'para', 'ir', 'httpstcoykcdkhq']",Wed Jul 18 15:15:34 +0000 2018,DanielFinTech,AAL,American Airlines Group Inc.,https://twitter.com/i/web/status/1019601581589893122,False,5.2690909090909095
22012,1019602744246616000,"['market', 'is', 'watchful', 'of', 'the', 'trade', 'war', 'with', 'financial', 'xlf', 'and', 'industrial', 'xli', 'sectors', 'up', 'transportation', 'xtn', 'sector', 'httpstcotuicyrurh']",Wed Jul 18 15:20:12 +0000 2018,streetpulseapp,AAL,American Airlines Group Inc.,https://twitter.com/i/web/status/1019602744246616064,False,5.2261538461538475
22141,1019605243003330600,"['top', 'gainers', 'gt', 'ffmh', 'evvty', 'gww', 'ual', 'scvl', 'avro', 'tpor', 'asml', 'ltxb', 'etcg', 'ellh', 'fmao', 'csx', 'tal', 'lcntu', 'nclh', 'httpstcofcavqfn']",Wed Jul 18 15:30:07 +0000 2018,MITickWatcher,AAL,American Airlines Group Inc.,https://twitter.com/i/web/status/1019605243003330560,False,5.626666666666666
22248,1019608106861453300,"['advlithium', 'announces', 'new', 'capital', 'investment', 'orocobrelimited', 'to', 'maintain', 'position', 'aal', 'orl', 'oro', 'orolf', 'avlif', 'httpstcowratasegv']",Wed Jul 18 15:41:30 +0000 2018,LivioFilice,AAL,American Airlines Group Inc.,https://twitter.com/i/web/status/1019608106861453312,False,5.817142857142857
