,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
15534,1019297249728368600,"['picked', 'up', 'aaoi']",Tue Jul 17 19:06:16 +0000 2018,Davesnothere_,AAOI,Applied Optoelectronics,,False,6.109999999999999
15675,1019304583804407800,"['what', 'a', 'disappointing', 'afternoon', 'in', 'aaoi', 'thought', 'she', 'was', 'ready', 'to', 'run', 'this', 'morning', 'looks', 'like', 'a', 'date', 'with', 'wh', 'httpstcoegalq']",Tue Jul 17 19:35:25 +0000 2018,trades_jk,AAOI,Applied Optoelectronics,https://twitter.com/i/web/status/1019304583804407808,False,5.754117647058823
15712,1019306235831734300,"['aaoi', 'weak', 'afternoon', 'action', 'and', 'now', 'testing']",Tue Jul 17 19:41:59 +0000 2018,ace_daytrader,AAOI,Applied Optoelectronics,,False,5.136666666666667
15803,1019310796046786600,"['retweeting', 'so', 'i', 'can', 'refer', 'back', 'to', 'this', 'aaoi', 'zto', 'httpstcoyiqtkodqv']",Tue Jul 17 20:00:06 +0000 2018,Hoops__McCann,AAOI,Applied Optoelectronics,https://twitter.com/scot1andt/status/1019310151013228546,False,5.377500000000001
15810,1019311047092600800,"['scotandt', 'aaoi', 'is', 'a', 'strange', 'beastgo', 'down', 'and', 'is', 'up', 'at', 'the', 'end', 'of', 'daygo', 'up', 'and', 'finishes', 'downbut', 'its', 'th', 'httpstcoxdfrybj']",Tue Jul 17 20:01:06 +0000 2018,DraBrb,AAOI,Applied Optoelectronics,https://twitter.com/i/web/status/1019311047092600832,False,5.016
15836,1019311969252175900,"['aaoi', 'httpstcogsymtmp']",Tue Jul 17 20:04:46 +0000 2018,SeekingAlpha,AAOI,Applied Optoelectronics,https://seekingalpha.com/article/4187849-applied-optoelectronics-binary-play-asia?source=feed_f,False,0.0
15837,1019311970372051000,"['aaoi', 'httpstcoxosxmhnsu']",Tue Jul 17 20:04:46 +0000 2018,SAlphaTech,AAOI,Applied Optoelectronics,https://seekingalpha.com/article/4187849-applied-optoelectronics-binary-play-asia?source=twitter_salphatech,False,0.0
15905,1019314673030717400,"['aaoi', 'applied', 'optoelectronics', 'to', 'announce', 'second', 'quarter', 'financial', 'results', 'httpstcomndnvcxo']",Tue Jul 17 20:15:30 +0000 2018,bthefirsttoknow,AAOI,Applied Optoelectronics,https://www.stockme.info/news/2018/07/17/applied-optoelectronics-to-announce-second-quarter-2018-financial-results,False,5.539999999999999
15914,1019314891998588900,"['applied', 'optoelectronics', 'to', 'announce', 'second', 'quarter', 'financial', 'results', 'aaoi', 'httpstcovgalcgezyu']",Tue Jul 17 20:16:22 +0000 2018,GNWLive,AAOI,Applied Optoelectronics,http://bit.ly/2mojcJm,False,5.539999999999999
15933,1019315575535947800,"['aaoi', 'applied', 'optoelectronics', 'to', 'announce', 'second', 'quarter', 'financial', 'results', 'httpstcovjlmevkxd']",Tue Jul 17 20:19:05 +0000 2018,greenpenny2016,AAOI,Applied Optoelectronics,http://ih.advfn.com/p.php?pid=nmona&article=77881429&adw=1126416,False,5.539999999999999
15943,1019315963794219000,"['aaoi', 'applied', 'optoelectronics', 'to', 'announce', 'second', 'quarter', 'financial', 'results', 'nasdaqaaoi', 'httpstcokzbyqltyp']",Tue Jul 17 20:20:38 +0000 2018,StockTexts,AAOI,Applied Optoelectronics,http://www.globenewswire.com/news-release/2018/07/17/1538623/0/en/Applied-Optoelectronics-to-Announce-Second-Quarter-2018-Financial-Results.html,False,5.539999999999999
15980,1019317744146288600,"['aaoi', 'applied', 'optoelectronics', 'to', 'announce', 'second', 'quarter', 'financial', 'results', 'httpstcomqpqniyli']",Tue Jul 17 20:27:42 +0000 2018,stockelite,AAOI,Applied Optoelectronics,http://bit.ly/2Nqio2n,False,5.539999999999999
16051,1019320081120137200,"['once', 'again', 'shorts', 'are', 'expecting', 'a', 'shoe', 'to', 'drop', 'and', 'nothing', 'slowly', 'bleeding', 'by', 'holding', 'aaoi']",Tue Jul 17 20:37:00 +0000 2018,hvymetalinvestr,AAOI,Applied Optoelectronics,,False,5.0133333333333345
16178,1019325872740937700,"['ual', 'csx', 'vktx', 'btcx', 'riot', 'mlnx', 'aaoi', 'cara', 'roku', 'gs', 'the', 'most', 'socially', 'trending', 'symbols', 'in', 'descending', 'order', 'httpstcomdygqcna']",Tue Jul 17 21:00:00 +0000 2018,traderead,AAOI,Applied Optoelectronics,https://twitter.com/i/web/status/1019325872740937728,False,5.2375
