,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
120,1016213318183333900,"['advance', 'auto', 'parts', 'aap', 'rating', 'increased', 'to', 'buy', 'at', 'valuengine', 'httpstcokzqlnvusb']",Mon Jul 09 06:51:50 +0000 2018,dakotafinancial,AAP,Advance Auto Parts,http://dakotafinancialnews.com/?p=305998,False,5.694999999999999
755,1016509281896685600,"['billion', 'in', 'sales', 'expected', 'for', 'advance', 'auto', 'parts', 'inc', 'aap', 'this', 'quarter', 'httpstcoppxucyy']",Tue Jul 10 02:27:53 +0000 2018,MareaInformativ,AAP,Advance Auto Parts,http://www.mareainformativa.com/?p=413362,False,5.692727272727274
758,1016509643122729000,"['advance', 'auto', 'parts', 'inc', 'aap', 'expected', 'to', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcokjpwmxv']",Tue Jul 10 02:29:19 +0000 2018,TickerReport,AAP,Advance Auto Parts,http://tickerreport.com/?p=3625358,False,5.627272727272728
761,1016510340924891100,"['billion', 'in', 'sales', 'expected', 'for', 'advance', 'auto', 'parts', 'inc', 'aap', 'this', 'quarter', 'httpstcowzvdkzuwz']",Tue Jul 10 02:32:05 +0000 2018,WatchlistN,AAP,Advance Auto Parts,http://zpr.io/6TuQx,False,5.692727272727274
771,1016514578786783200,"['brokerages', 'expect', 'advance', 'auto', 'parts', 'inc', 'aap', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcobsxzwrthxp']",Tue Jul 10 02:48:56 +0000 2018,dailypoliticaln,AAP,Advance Auto Parts,http://www.dailypolitical.com/?p=2191653,False,5.819999999999999
774,1016514671824785400,"['earnings', 'per', 'share', 'expected', 'for', 'advance', 'auto', 'parts', 'inc', 'aap', 'this', 'quarter', 'httpstconexwrvle']",Tue Jul 10 02:49:18 +0000 2018,TickerReport,AAP,Advance Auto Parts,http://tickerreport.com/?p=3625363,False,5.732727272727273
835,1016561825838714900,"['argus', 'analysts', 'give', 'advance', 'auto', 'parts', 'aap', 'a', 'price', 'target', 'httpstcoduywn']",Tue Jul 10 05:56:40 +0000 2018,ZolmaxNews,AAP,Advance Auto Parts,http://zolmax.com/?p=2371880,False,5.58
1353,1016748334600638500,"['aap', 'advance', 'auto', 'parts', 'inc', 'sec', 'filing', 'form', 'httpstcoalmeixoe']",Tue Jul 10 18:17:47 +0000 2018,StockTexts,AAP,Advance Auto Parts,http://www.sec.gov/Archives/edgar/data/1158449/000115844918000135/xslF345X03/wf-form4_153124633492485.xml,False,5.382857142857143
1355,1016748626482286600,"['aap', 'alert', 'new', 'advance', 'auto', 'parts', 'sec', 'filing', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Tue Jul 10 18:18:57 +0000 2018,Allstocknews,AAP,Advance Auto Parts,,False,5.638333333333333
1369,1016750493924843500,"['aap', 'advance', 'auto', 'parts', 'inc', 'sec', 'filing', 'form', 'httpstcozaazqrcs']",Tue Jul 10 18:26:22 +0000 2018,StockTexts,AAP,Advance Auto Parts,http://www.sec.gov/Archives/edgar/data/1065425/000115844918000139/xslF345X03/wf-form4_153124657644571.xml,False,5.382857142857143
1371,1016751433671172100,"['recent', 'aap', 'technical', 'alerts', 'bollinger', 'band', 'squeeze', 'plus', 'more', 'alerts', 'httpstcovyjdenx']",Tue Jul 10 18:30:06 +0000 2018,SwingTradeBot,AAP,Advance Auto Parts,https://swingtradebot.com/equities/AAP,False,5.906666666666666
1400,1016759725801791500,"['aap', 'new', 'insider', 'filing', 'on', 'director', 'eugene', 'i', 'jr', 'lee', 'httpstcouorjqasm']",Tue Jul 10 19:03:03 +0000 2018,InsiderAlertsIA,AAP,Advance Auto Parts,http://insideri.com/1242843_000115844918000137_0001158449-18-000137,False,5.6025
1406,1016760730794713100,"['btw', 'estimated', 'earnings', 'per', 'share', 'for', 'aap', 'is', 'its', 'of', 'the', 'current', 'price', 'httpstcoiyzpubvb']",Tue Jul 10 19:07:03 +0000 2018,1MinuteStock,AAP,Advance Auto Parts,https://unicornbay.com/t/AAP.US?utm_medium=tweet&utm_campaign=eps&utm_source=twitter,False,5.476666666666667
1555,1016801499140128800,"['do', 'you', 'know', 'that', 'book', 'value', 'for', 'aap', 'is', 'httpstcosudyqfuiwu']",Tue Jul 10 21:49:03 +0000 2018,1MinuteStock,AAP,Advance Auto Parts,https://unicornbay.com/t/AAP.US?utm_medium=tweet&utm_campaign=bookvalue&utm_source=twitter,False,5.88
1601,1016821000133103600,"['aap', 'advance', 'auto', 'parts', 'inc', 'sec', 'filing', 'form', 'httpstcoroujijz']",Tue Jul 10 23:06:32 +0000 2018,StockTexts,AAP,Advance Auto Parts,http://www.sec.gov/Archives/edgar/data/1158449/000092189518002087/xslF345X03/form406297165_07102018.xml,False,5.382857142857143
1681,1016879727099838500,"['australian', 'agricultural', 'projects', 'aapax', 'aap', 'k', 'c', 'ma', 'c', 'vol', 'm', 'av', 'k', 'soi', 'm', 'debt', 'httpstcosoihfob']",Wed Jul 11 02:59:54 +0000 2018,ShaMktAn,AAP,Advance Auto Parts,https://twitter.com/i/web/status/1016879727099838471,False,5.156923076923078
1696,1016892635494035500,"['aap', 'new', 'insider', 'filing', 'on', 'smith', 'jeffrey', 'c', 'transaction', 'code', 'a', 'httpstcomznadigy']",Wed Jul 11 03:51:11 +0000 2018,filing_scanner,AAP,Advance Auto Parts,http://www.filingscanner.com/Alerts/AAP.php,False,5.411111111111111
2213,1017073726284861400,"['today', 'was', 'a', 'great', 'trading', 'day', 'made', 'k', 'on', 'the', 'daily', 'options', 'trade', 'from', 'httpstcokrhozax', 'amp', 'hey', 'reduced', 'thei', 'httpstcowiuefr']",Wed Jul 11 15:50:47 +0000 2018,BradTHughes1,AAP,Advance Auto Parts,http://Optionsbypros.com,False,5.688235294117648
2214,1017073858480726000,"['im', 'an', 'aap', 'member', 'you', 'should', 'be', 'too', 'amzn', 'bought', 'at', 'ps', 'thank', 'you', 'jimcramer', 'amp', 'aap', 'httpstcoeypvrrnmfh']",Wed Jul 11 15:51:18 +0000 2018,Kings85_Forever,AAP,Advance Auto Parts,https://twitter.com/TheStreet/status/1017024960139849728,False,5.653846153846152
2293,1017095562712059900,"['aap', 'new', 'insider', 'filing', 'on', 'smith', 'jeffrey', 'c', 'transaction', 'code', 'a', 'httpstcomznadigy']",Wed Jul 11 17:17:33 +0000 2018,filing_scanner,AAP,Advance Auto Parts,http://www.filingscanner.com/Alerts/AAP.php,False,5.411111111111111
2431,1017138295250268200,"['v', 'kkr', 'hal', 'nue', 'gm', 'efx', 'unp', 'pcg', 'd', 'dgx', 'stt', 'nsa', 'kmb', 'ual', 'crm', 'aap', 'lb', 'ew', 'dri', 'pg', 'hpe', 'largest', 'moc', 'buys', 'httpstcodynfxgqfhq']",Wed Jul 11 20:07:21 +0000 2018,teresaarthur66,AAP,Advance Auto Parts,,False,4.996
2860,1017304824298139600,"['asx', 'gappers', 'cvv', 'volume', 'ntl', 'volume', 'aap', 'volume', 'httpstcoywxtjxfn']",Thu Jul 12 07:09:05 +0000 2018,Market_Scanner,AAP,Advance Auto Parts,https://twitter.com/i/web/status/1017304824298139648,False,5.78
3222,1017399175330385900,"['advance', 'auto', 'parts', 'expanding', 'its', 'office', 'space', 'in', 'raleigh', 'httpstcoemnrydtfw', 'advanceauto', 'aap']",Thu Jul 12 13:24:00 +0000 2018,The_Greensheet,AAP,Advance Auto Parts,https://www.autocareweek.com/?p=49127,False,5.5925
3593,1017450785230204900,"['advance', 'auto', 'parts', 'aap', 'pt', 'raised', 'to', 'at', 'rbc', 'capital', 'in', 'eps', 'power']",Thu Jul 12 16:49:05 +0000 2018,TopStockAlerts1,AAP,Advance Auto Parts,,False,5.694
3891,1017498761919107100,"['royal', 'bank', 'of', 'canada', 'raises', 'advance', 'auto', 'parts', 'aap', 'price', 'target', 'to', 'httpstcovsnlgihy']",Thu Jul 12 19:59:43 +0000 2018,MareaInformativ,AAP,Advance Auto Parts,http://www.mareainformativa.com/?p=435775,False,5.649090909090909
3900,1017499618270048300,"['royal', 'bank', 'of', 'canada', 'raises', 'advance', 'auto', 'parts', 'aap', 'price', 'target', 'to', 'httpstcosmmgerrugx']",Thu Jul 12 20:03:07 +0000 2018,TranscriptDaily,AAP,Advance Auto Parts,http://zpr.io/6aeUv,False,5.649090909090909
4043,1017524969532772400,"['investment', 'analysts', 'weekly', 'ratings', 'updates', 'for', 'advance', 'auto', 'parts', 'aap', 'httpstcogsulkpodq']",Thu Jul 12 21:43:52 +0000 2018,dakotafinancial,AAP,Advance Auto Parts,http://dakotafinancialnews.com/?p=314439,False,5.653333333333333
4045,1017525040777252900,"['investment', 'analysts', 'weekly', 'ratings', 'updates', 'for', 'advance', 'auto', 'parts', 'aap', 'httpstcoqqicbgx']",Thu Jul 12 21:44:09 +0000 2018,MareaInformativ,AAP,Advance Auto Parts,http://www.mareainformativa.com/?p=436104,False,5.653333333333333
4322,1017593775848394800,"['aap', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstconlgwmgyv', 'httpstconeukazuqv']",Fri Jul 13 02:17:16 +0000 2018,optioncharts,AAP,Advance Auto Parts,http://maximum-pain.com/options/open-interest/AAP,False,5.5775
4805,1017745165761568800,"['as', 'advance', 'auto', 'parts', 'inc', 'aap', 'share', 'price', 'rose', 'alpine', 'investment', 'management', 'llc', 'has', 'lowered', 'position', 'httpstcoupcvglbrn']",Fri Jul 13 12:18:50 +0000 2018,whatsonthorold2,AAP,Advance Auto Parts,https://www.whatsonthorold.com/2018/07/13/as-advance-auto-parts-inc-aap-share-price-rose-alpine-investment-management-llc-has-lowered-position/,False,5.676666666666667
4806,1017745376714149900,"['as', 'advance', 'auto', 'parts', 'inc', 'aap', 'stock', 'value', 'rose', 'alpine', 'investment', 'management', 'llc', 'has', 'decreased', 'its', 'holding', 'by', 'httpstcomwgphbutt']",Fri Jul 13 12:19:41 +0000 2018,mmahotstuff1,AAP,Advance Auto Parts,https://twitter.com/i/web/status/1017745376714149893,False,5.453333333333333
4807,1017745617400094700,"['as', 'advance', 'auto', 'parts', 'inc', 'aap', 'share', 'price', 'rose', 'shareholder', 'alpine', 'investment', 'management', 'llc', 'has', 'trimmed', 'its', 'position', 'by', 'million']",Fri Jul 13 12:20:38 +0000 2018,reurope_stock,AAP,Advance Auto Parts,,False,5.696
4808,1017745707019784200,"['alpine', 'investment', 'management', 'llc', 'has', 'trimmed', 'position', 'in', 'advance', 'auto', 'parts', 'inc', 'aap', 'as', 'valuation', 'rose', 'httpstcoqmimusgu']",Fri Jul 13 12:21:00 +0000 2018,bibeypost_stock,AAP,Advance Auto Parts,https://www.bibeypost.com/alpine-investment-management-llc-has-trimmed-position-in-advance-auto-parts-inc-aap-as-valuation-rose/,False,5.621818181818182
4810,1017745758454337500,"['rt', 'reuropestock', 'as', 'advance', 'auto', 'parts', 'inc', 'aap', 'share', 'price', 'rose', 'shareholder', 'alpine', 'investment', 'management', 'llc', 'has', 'trimmed', 'its', 'position', 'b']",Fri Jul 13 12:21:12 +0000 2018,AviseAnalytics,AAP,Advance Auto Parts,,False,5.52
6194,1018153514118340600,"['discussion', 'stirs', 'around', 'advance', 'auto', 'parts', 'inc', 'aap', 'this', 'week', 'here', 'is', 'what', 'analysts', 'are', 'saying', 'httpstcojvxzblwydo']",Sat Jul 14 15:21:28 +0000 2018,whatsonthorold2,AAP,Advance Auto Parts,https://www.whatsonthorold.com/2018/07/14/discussion-stirs-around-advance-auto-parts-inc-nyseaap-this-week-here-is-what-analysts-are-saying/,False,5.348571428571428
6195,1018153634918490100,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'advance', 'auto', 'parts', 'inc', 'aap', 'httpstcoycuaekxc']",Sat Jul 14 15:21:57 +0000 2018,mmahotstuff1,AAP,Advance Auto Parts,https://www.mmahotstuff.com/2018/07/14/can-analysts-adopt-a-bullish-outlook-for-advance-auto-parts-inc-nyseaap.html,False,5.556000000000001
6198,1018153813906247700,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'advance', 'auto', 'parts', 'inc', 'aap', 'httpstcojdqjnccno']",Sat Jul 14 15:22:40 +0000 2018,reurope_stock,AAP,Advance Auto Parts,https://reurope.com/2018/07/14/can-analysts-adopt-a-bullish-outlook-for-advance-auto-parts-inc-nyseaap/,False,5.556000000000001
6218,1018158607794401300,"['advance', 'auto', 'parts', 'receives', 'a', 'hold', 'from', 'stephens', 'aap', 'httpstcomkpkddc']",Sat Jul 14 15:41:43 +0000 2018,ARatings,AAP,Advance Auto Parts,http://www.analystratings.com/articles/advance-auto-parts-receives-a-hold-from-stephens/,False,5.675714285714286
6309,1018212955115212800,"['guggenheim', 'analysts', 'give', 'advance', 'auto', 'parts', 'aap', 'a', 'price', 'target', 'httpstcopxyuboifd']",Sat Jul 14 19:17:40 +0000 2018,MareaInformativ,AAP,Advance Auto Parts,http://www.mareainformativa.com/?p=439220,False,5.58
