,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2249,1017081568295350300,"['fdx', 'advisors', 'inc', 'lowered', 'its', 'amerisourcebergen', 'corp', 'com', 'abc', 'stake', 'as', 'stock', 'declined', 'httpstcodxztojbbo']",Wed Jul 11 16:21:57 +0000 2018,reurope_stock,ABC,AmerisourceBergen Corporation,https://reurope.com/2018/07/11/fdx-advisors-inc-lowered-its-amerisourcebergen-corp-com-abc-stake-as-stock-declined/,False,4.944444444444445
2305,1017098645504741400,"['abc', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcoytsgycdi', 'httpstcoecampwwdcd']",Wed Jul 11 17:29:48 +0000 2018,optioncharts,ABC,AmerisourceBergen Corporation,http://maximum-pain.com/options/open-interest/ABC,False,5.913333333333334
2318,1017100337138696200,"['looks', 'like', 'someone', 'knows', 'something', 'msft', 'amzn', 'fb', 'goog', 'jnj', 'jpm', 'googol', 'abc', 'wfc', 'wmt', 'cvx', 'hd', 'pg', 'unh', 'pfe', 'httpstcokwonxiej']",Wed Jul 11 17:36:31 +0000 2018,OneOClockDrop,ABC,AmerisourceBergen Corporation,https://twitter.com/i/web/status/1017100337138696192,False,5.765000000000001
2446,1017140278703030300,"['eps', 'for', 'amerisourcebergen', 'corporation', 'abc', 'expected', 'at', 'httpstcowfydkqin']",Wed Jul 11 20:15:14 +0000 2018,whatsonthorold2,ABC,AmerisourceBergen Corporation,https://www.whatsonthorold.com/2018/07/11/eps-for-amerisourcebergen-corporation-abc-expected-at-1-46/,False,5.231999999999999
2448,1017140337284911100,"['eps', 'expected', 'for', 'amerisourcebergen', 'corporation', 'abc', 'httpstcozdrdoxht']",Wed Jul 11 20:15:28 +0000 2018,mmahotstuff1,ABC,AmerisourceBergen Corporation,https://www.mmahotstuff.com/2018/07/11/1-46-eps-expected-for-amerisourcebergen-corporation-abc.html,False,5.3149999999999995
2453,1017140512359411700,"['amerisourcebergen', 'corporation', 'abc', 'eps', 'estimated', 'at', 'httpstcodbpqcphahi']",Wed Jul 11 20:16:10 +0000 2018,bibeypost_stock,ABC,AmerisourceBergen Corporation,https://www.bibeypost.com/amerisourcebergen-corporation-abc-eps-estimated-at-1-46/,False,5.195
2924,1017333536817377300,"['abcam', 'plc', 'abc', 'hold', 'rating', 'reconfirmed', 'at', 'peel', 'hunt', 'seikagaku', 'ordinary', 'shares', 'japan', 'hillaryhqcom', 'httpstcocslhonl']",Thu Jul 12 09:03:10 +0000 2018,usindexlive,ABC,AmerisourceBergen Corporation,https://twitter.com/i/web/status/1017333536817377280,False,5.4
2931,1017335295702913000,"['peel', 'hunt', 'reconfirms', 'its', 'hold', 'rating', 'on', 'abcam', 'plc', 'abc', 'shares', 'today', 'httpstcosntpifazdg']",Thu Jul 12 09:10:10 +0000 2018,The_CasualSmart,ABC,AmerisourceBergen Corporation,https://thecasualsmart.com/2018/07/12/peel-hunt-reconfirms-its-hold-rating-on-abcam-plc-lonabc-shares-today/,False,5.491111111111111
2932,1017335348496683000,"['abcam', 'plc', 'abc', 'shareholders', 'are', 'liking', 'the', 'news', 'that', 'peel', 'hunt', 'has', 'reiterated', 'their', 'hold', 'rating', 'on', 'the', 'stock', 'httpstcoccaqelpkt']",Thu Jul 12 09:10:22 +0000 2018,whatsonthorold2,ABC,AmerisourceBergen Corporation,https://www.whatsonthorold.com/2018/07/12/abcam-plc-lonabc-shareholders-are-liking-the-news-that-peel-hunt-has-reiterated-their-hold-rating-on-the-stock/,False,5.367500000000001
2933,1017335402183778300,"['abcam', 'plc', 'abc', 'hold', 'rating', 'has', 'just', 'been', 'reiterated', 'by', 'peel', 'hunt', 'httpstcopkano']",Thu Jul 12 09:10:35 +0000 2018,mmahotstuff1,ABC,AmerisourceBergen Corporation,https://www.mmahotstuff.com/2018/07/12/abcam-plc-lonabc-hold-rating-has-just-been-reiterated-by-peel-hunt-2.html,False,5.217777777777778
2934,1017335478742331400,"['peel', 'hunt', 'keeps', 'hold', 'rating', 'for', 'abcam', 'plc', 'abc', 'stock', 'whats', 'the', 'best', 'move', 'for', 'investors', 'httpstcoyqdrgptz']",Thu Jul 12 09:10:53 +0000 2018,reurope_stock,ABC,AmerisourceBergen Corporation,https://reurope.com/2018/07/12/peel-hunt-keeps-hold-rating-for-abcam-plc-lonabc-stock-whats-the-best-move-for-investors-2/,False,5.447142857142857
2935,1017335520685383700,"['abcam', 'plc', 'abc', 'shareholders', 'are', 'liking', 'the', 'news', 'that', 'peel', 'hunt', 'has', 'reiterated', 'their', 'hold', 'rating', 'on', 'the', 'stock', 'httpstcozaupgklnt']",Thu Jul 12 09:11:03 +0000 2018,bibeypost_stock,ABC,AmerisourceBergen Corporation,https://www.bibeypost.com/abcam-plc-lonabc-shareholders-are-liking-the-news-that-peel-hunt-has-reiterated-their-hold-rating-on-the-stock/,False,5.367500000000001
