,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
16633,1019349670181654500,"['binance', 'distributes', 'every', 'fork', 'meaning', 'you', 'get', 'free', 'airdrop', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'httpstcogfowxjcsu']",Tue Jul 17 22:34:34 +0000 2018,carolgibson394,ABEV,Ambev S.A.,http://binance.com/?ref=10078236,False,6.24
16686,1019352382600249300,"['grfico', 'dirio', 'abev', 'abev', 'httpstcodikzvorj']",Tue Jul 17 22:45:21 +0000 2018,pardoTRADER,ABEV,Ambev S.A.,,False,0.0
16931,1019367765478699000,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcofxiyvjotbs', 'theta', 'httpstcolkoyqsqk']",Tue Jul 17 23:46:28 +0000 2018,victorblake392,ABEV,Ambev S.A.,http://discord.gg/tXbaTxx,False,5.630714285714286
17368,1019400398166216700,"['binance', 'fees', 'are', 'x', 'less', 'than', 'bittrex', 'register', 'for', 'bonus', 'httpstcoybqujodrte', 'ko', 'nem', 'lmc', 'snrg', 'httpstconivtqnfi']",Wed Jul 18 01:56:09 +0000 2018,RobertE08533864,ABEV,Ambev S.A.,http://binance.com/?ref=10078236,False,5.04
17944,1019451019355357200,"['ambev', 's', 'as', 'abev', 'downgraded', 'by', 'valuengine', 'httpstcopgijyra']",Wed Jul 18 05:17:18 +0000 2018,TheMarketsDaily,ABEV,Ambev S.A.,http://zpr.io/6XiKV,False,5.08
18899,1019517314306322400,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcofxiyvjotbs', 'pm', 'httpstcofnmjjykyl']",Wed Jul 18 09:40:44 +0000 2018,victorblake392,ABEV,Ambev S.A.,http://discord.gg/tXbaTxx,False,5.623333333333334
18997,1019524980596494300,"['ambev', 's', 'as', 'abev', 'downgraded', 'by', 'valuengine', 'httpstcozzoswypz']",Wed Jul 18 10:11:11 +0000 2018,MareaInformativ,ABEV,Ambev S.A.,http://www.mareainformativa.com/?p=466312,False,5.08
19105,1019529557534298100,"['i', 'made', 'btc', 'in', 'day', 'trading', 'on', 'binance', 'sign', 'up', 'now', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'zny', 'httpstcoqsunmnbx']",Wed Jul 18 10:29:23 +0000 2018,carolgibson394,ABEV,Ambev S.A.,http://binance.com/?ref=10078236,False,5.936666666666665
19642,1019547434261930000,"['fortnite', 'vbucks', 'services', 'get', 'vbucks', 'for', 'cheap', 'more', 'info', 'httpstcoyqptbyzg', 'clns', 'dope', 'amb', 'xdn', 'httpstcoftmaogjjt']",Wed Jul 18 11:40:25 +0000 2018,JustinA25256101,ABEV,Ambev S.A.,http://discord.gg/gtJ4zym,False,5.474285714285714
20084,1019561712977137700,"['abev', 'ambev', 'sa', 'stocks', 'stockstowatch', 'httpstcotlnwxeyd', 'httpstcodvxvmdrf']",Wed Jul 18 12:37:09 +0000 2018,totalinvestor1,ABEV,Ambev S.A.,http://totalinvestor.blogspot.com/,False,5.0600000000000005
21959,1019601379260883000,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcofxiyvjotbs', 'sib', 'httpstcolfmnljtn']",Wed Jul 18 15:14:46 +0000 2018,victorblake392,ABEV,Ambev S.A.,http://discord.gg/tXbaTxx,False,5.630714285714286
23273,1019629295327686700,"['abev', 'just', 'warming', 'up', 'httpstcorvlgjyzq']",Wed Jul 18 17:05:42 +0000 2018,isaacfigueroap,ABEV,Ambev S.A.,,False,5.826666666666667
23278,1019629460205776900,"['abev', 'clear', 'correction', 'today', 'before', 'it', 'moves', 'higher', 'httpstcojnsybnhmlu']",Wed Jul 18 17:06:21 +0000 2018,isaacfigueroap,ABEV,Ambev S.A.,,False,5.602857142857144
25957,1019685369749672000,"['we', 'deliver', 'cheap', 'fortnite', 'vbucks', 'to', 'your', 'account', 'more', 'info', 'httpstcozslnaurry', 'dnr', 'bifi', 'srn', 'bpt', 'httpstcotsdxpctmnn']",Wed Jul 18 20:48:31 +0000 2018,OscarBo58830892,ABEV,Ambev S.A.,http://discord.gg/gtJ4zym,False,5.815
26989,1019705380052590600,"['morgan', 'stanley', 'expects', 'consumer', 'momentum', 'to', 'be', 'picking', 'up', 'in', 'brazil', 'abev', 'amp', 'chile', 'argentina', 'still', 'bottoming', 'ewz', 'httpstcozmpefo']",Wed Jul 18 22:08:02 +0000 2018,isaacfigueroap,ABEV,Ambev S.A.,https://twitter.com/i/web/status/1019705380052590592,False,5.538571428571429
27471,1019714770512023600,"['grfico', 'dirio', 'abev', 'abev', 'httpstcokqtqnou']",Wed Jul 18 22:45:21 +0000 2018,pardoTRADER,ABEV,Ambev S.A.,,False,0.0
27572,1019716952066068500,"['short', 'sale', 'volumenot', 'short', 'interest', 'for', 'abev', 'on', 'is', 'httpstcoybxyxhzg', 'sam', 'bud', 'bfb']",Wed Jul 18 22:54:01 +0000 2018,shortvolumes,ABEV,Ambev S.A.,http://shortvolumes.com/?t=ABEV,False,5.42
