,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
24473,1019657212661297200,"['replicate', 'skilled', 'traders', 'automatically', 'with', 'bitcoin', 'i', 'copy', 'wangzai', 'do', 'you', 'httpstcoxludxnef', 'httpstcoyeipjlt']",Wed Jul 18 18:56:38 +0000 2018,RayPreston20,ABT,Abbott Laboratories,https://1broker.com/?r=25023,False,5.8
24513,1019658161308012500,"['free', 'chrome', 'extension', 'to', 'hide', 'tweets', 'that', 'overshill', 'crypto', 'cash', 'tags', 'amp', 'promote', 'groups', 'httpstcodaoxbwqqj', 'no', 'httpstcohrlkydlub']",Wed Jul 18 19:00:24 +0000 2018,shillkill_fan,ABT,Abbott Laboratories,http://www.shillkill.com,False,5.663333333333334
24522,1019658321840648200,"['replicate', 'successful', 'traders', 'automatically', 'with', 'bitcoin', 'i', 'copy', 'wangzai', 'do', 'you', 'httpstcooohdolunsf']",Wed Jul 18 19:01:02 +0000 2018,samyhsaowsard,ABT,Abbott Laboratories,https://twitter.com/i/web/status/1019658321840648192,False,6.095000000000001
24609,1019660048560218100,"['rt', 'abbottnews', 'freestyle', 'libre', 'is', 'now', 'used', 'by', 'more', 'than', 'k', 'people', 'worldwide', 'revolutionizing', 'how', 'people', 'manage', 'their', 'diabetes', 'httpst']",Wed Jul 18 19:07:54 +0000 2018,AnnKristinSRas1,ABT,Abbott Laboratories,,False,5.427142857142857
24648,1019660738531610600,"['duplicate', 'lucrative', 'traders', 'automatically', 'with', 'bitcoin', 'i', 'copy', 'wangzai', 'do', 'you', 'httpstcodimpuwevk']",Wed Jul 18 19:10:39 +0000 2018,CareyWatson19,ABT,Abbott Laboratories,https://twitter.com/i/web/status/1019660738531610625,False,5.8
24752,1019662869967855600,"['abbott', 'laboratories', 'abt', 'expected', 'to', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcocwcroxxm']",Wed Jul 18 19:19:07 +0000 2018,MareaInformativ,ABT,Abbott Laboratories,http://www.mareainformativa.com/?p=471624,False,5.57
24831,1019664799880212500,"['copy', 'lucrative', 'traders', 'automatically', 'with', 'bitcoin', 'i', 'copy', 'wangzai', 'do', 'you', 'httpstcohcizvig', 'httpstcogajkaucww']",Wed Jul 18 19:26:47 +0000 2018,AmandaC20269937,ABT,Abbott Laboratories,https://1broker.com/?r=25023,False,5.7475000000000005
24840,1019665054881312800,"['abt', 'mr', 'jackson', 'success', 'rate', 'return', 'httpstcodnhpmxzvc']",Wed Jul 18 19:27:48 +0000 2018,stockhoot,ABT,Abbott Laboratories,https://stockhoot.com/ExtRecommendation.aspx?Id=d53fc2b6-f9ad-41f8-96c4-51c19b5aa2cf,False,5.7
24843,1019665104269262800,"['rt', 'abbottnews', 'abt', 'q', 'results', 'are', 'in', 'we', 'beat', 'street', 'estimates', 'on', 'the', 'top', 'and', 'bottom', 'lines', 'and', 'delivered', 'organic', 'sales', 'growth']",Wed Jul 18 19:27:59 +0000 2018,Audrakat,ABT,Abbott Laboratories,,False,5.466666666666667
24853,1019665316933177300,"['duplicate', 'successful', 'traders', 'automatically', 'with', 'bitcoin', 'i', 'copy', 'wangzai', 'do', 'you', 'httpstcoaaathycdrf']",Wed Jul 18 19:28:50 +0000 2018,JohnJoh46199076,ABT,Abbott Laboratories,https://twitter.com/i/web/status/1019665316933177346,False,6.095000000000001
24880,1019666097480532000,"['abt', 'is', 'bullish', 'above', 'trade', 'near', 'httpstcobhqdrlhfb', 'httpstcowjeivawcr']",Wed Jul 18 19:31:56 +0000 2018,tradespoon,ABT,Abbott Laboratories,http://tradespoon.com/s.php?t=$ABT,False,5.576
25001,1019668830719623200,"['abt', 'mr', 'jackson', 'success', 'rate', 'return', 'httpstcoxiqesjsp']",Wed Jul 18 19:42:48 +0000 2018,stockhoot,ABT,Abbott Laboratories,https://stockhoot.com/ExtRecommendation.aspx?Id=6d09991f-8f61-4a6e-845d-1433d6a290c7,False,5.7
