,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
17262,1019392850776035300,"['httpstcofnophzebl', 'video', 'watchlist', 'spy', 'qqq', 'xly', 'xlk', 'adbe', 'amzn', 'hd', 'iq', 'nflx']",Wed Jul 18 01:26:09 +0000 2018,Ascend_Trading,ADBE,Adobe Systems Incorporated,https://youtu.be/ZHFYADZzHTk,False,5.5
17386,1019401673649901600,"['kpak', 'kpak', 'would', 'like', 'to', 'see', 'your', 'thoughts', 'on', 'adbe', 'if', 'you', 'dont', 'mind']",Wed Jul 18 02:01:13 +0000 2018,crypto_christo,ADBE,Adobe Systems Incorporated,,False,5.6054545454545455
17427,1019405509626138600,"['rt', 'bretkenwell', 'adbe', 'wants', 'moar', 'httpstcomqpjvtqjq']",Wed Jul 18 02:16:27 +0000 2018,RealPrav,ADBE,Adobe Systems Incorporated,,False,5.13
17512,1019411409371844600,"['adbe', 'cryptochristo', 'camph', 'httpstcogsvlydv']",Wed Jul 18 02:39:54 +0000 2018,kpak82,ADBE,Adobe Systems Incorporated,,False,0.0
19425,1019540249179930600,"['rt', 'kpak', 'adbe', 'cryptochristo', 'camph', 'httpstcogsvlydv']",Wed Jul 18 11:11:52 +0000 2018,ChrissyPetrill1,ADBE,Adobe Systems Incorporated,,False,4.88
19562,1019544838377787400,"['rt', 'kpak', 'adbe', 'cryptochristo', 'camph', 'httpstcogsvlydv']",Wed Jul 18 11:30:06 +0000 2018,upbeatinvestor,ADBE,Adobe Systems Incorporated,,False,4.88
19788,1019553125282304000,"['the', 'top', 'scored', 'health', 'care', 'company', 'is', 'atrion', 'corp', 'atri', 'scored', 'at', 'key', 'words', 'sell', 'upgraded', 'report', 'd', 'httpstcoznlgztorao']",Wed Jul 18 12:03:02 +0000 2018,myQuikfo,ADBE,Adobe Systems Incorporated,https://twitter.com/i/web/status/1019553125282304001,False,5.722666666666668
19792,1019553194928635900,"['the', 'top', 'scored', 'financials', 'company', 'is', 'bancorpsouth', 'inc', 'bxs', 'scored', 'at', 'key', 'words', 'buy', 'sell', 'break', 'upgr', 'httpstcojowaqaog']",Wed Jul 18 12:03:18 +0000 2018,myQuikfo,ADBE,Adobe Systems Incorporated,https://twitter.com/i/web/status/1019553194928635905,False,5.656923076923078
19798,1019553339875340300,"['rt', 'myquikfo', 'the', 'top', 'scored', 'financials', 'company', 'is', 'bancorpsouth', 'inc', 'bxs', 'scored', 'at', 'key', 'words', 'buy', 'sell', 'break', 'upgraded', 'over']",Wed Jul 18 12:03:53 +0000 2018,naku_kuroshio19,ADBE,Adobe Systems Incorporated,,False,5.549333333333334
19852,1019554922033922000,"['confident', 'investor', 'indicator', 'analysis', 'for', 'interesting', 'results', 'from', 'ibp', 'lrcx', 'adbe', 'mu', 'httpstcojxrhavvgm']",Wed Jul 18 12:10:10 +0000 2018,ConfidentInvest,ADBE,Adobe Systems Incorporated,http://www.confident-investor.com/2018/07/18/confident-investor-indicator-analysis-for-7-18-2018-interesting-results-from-ibp-lrcx-adbe-mu/,False,5.975
20098,1019562369998090200,"['rt', 'pennystock', 'good', 'morning', 'adding', 'more', 'aryc', 'this', 'is', 'a', 'great', 'investment', 'opportunity', 'dont', 'miss', 'out', 'a', 'beautiful', 'run', 'to', 'multi']",Wed Jul 18 12:39:46 +0000 2018,lorijofenne,ADBE,Adobe Systems Incorporated,,False,5.6944444444444455
20416,1019569701637316600,"['seeing', 'some', 'great', 'chart', 'setups', 'out', 'there', 'pypl', 'adbe', 'nvda', 'ostk', 'riot', 'zuo', 'iq', 'twtr', 'zto', 'sfix', 'tsla']",Wed Jul 18 13:08:54 +0000 2018,CumbucoTrader,ADBE,Adobe Systems Incorporated,,False,5.308571428571428
20466,1019570577919676400,"['aottrades', 'good', 'morning', 'do', 'any', 'of', 'these', 'look', 'good', 'to', 'you', 'nvda', 'pypl', 'adbe', 'many', 'thanks']",Wed Jul 18 13:12:23 +0000 2018,CumbucoTrader,ADBE,Adobe Systems Incorporated,,False,5.996666666666667
