,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2209,1017072730045370400,"['aroports', 'de', 'paris', 'sa', 'june', 'traffic', 'figures', 'adp', 'httpstcotrvdstd']",Wed Jul 11 15:46:49 +0000 2018,GNWLive,ADP,Automatic Data Processing,http://bit.ly/2zv63Yn,False,5.326666666666666
2210,1017072731869806600,"['aroports', 'de', 'paris', 'sa', 'trafic', 'du', 'mois', 'de', 'juin', 'adp', 'httpstcoocnudpg']",Wed Jul 11 15:46:50 +0000 2018,GNWLive,ADP,Automatic Data Processing,http://bit.ly/2zv66n1,False,5.228
2262,1017085968078311400,"['dmoneydtx', 'strengthwise', 'adp', 'looks', 'like', 'best', 'of', 'those', 'with', 'unp', 'not', 'far', 'behind', 'as', 'you', 'know', 'im', 'most', 'skeptical', 'httpstcoaomblodidl']",Wed Jul 11 16:39:25 +0000 2018,SunAndStormInv,ADP,Automatic Data Processing,https://twitter.com/i/web/status/1017085968078311424,False,5.531428571428571
2265,1017086594694701000,"['sunandstorminv', 'yes', 'i', 'will', 'agree', 'on', 'wmt', 'all', 'the', 'bad', 'news', 'baked', 'in', 'pretty', 'much', 'imo', 'yes', 'adp', 'big', 'support', 'around', 't', 'httpstcoyvdgowbwdo']",Wed Jul 11 16:41:55 +0000 2018,Dmoneydtx,ADP,Automatic Data Processing,https://twitter.com/i/web/status/1017086594694701056,False,5.844444444444444
2308,1017099574807326700,"['rt', 'smartmoneyact', 'buying', 'in', 'options', 'land', 'on', 'tuesday', 'sr', 'stock', 'replacement', 'adp', 'mrk', 'bll', 'kmb', 'ma', 'ba', 'nov', 'apc', 'vfc', 'p', 'grpn', 'dnk']",Wed Jul 11 17:33:30 +0000 2018,salomon69479215,ADP,Automatic Data Processing,,False,5.482857142857143
2418,1017132173898461200,"['weeks', 'most', 'significant', 'insider', 'trades', 'july', 'adp', 'cost', 'nke', 'wsm', 'httpstcoyiixefxegp', 'httpstcosiilphxigm']",Wed Jul 11 19:43:02 +0000 2018,Focus_on_Dvds,ADP,Automatic Data Processing,https://buff.ly/2zjmkPV,False,5.636
2715,1017233846159511600,"['weeks', 'most', 'significant', 'insider', 'trades', 'july', 'adp', 'cost', 'nke', 'wsm', 'httpstcoyiixefxegp', 'httpstcouytizqbx']",Thu Jul 12 02:27:02 +0000 2018,Focus_on_Dvds,ADP,Automatic Data Processing,https://buff.ly/2zjmkPV,False,5.636
2818,1017286724634972200,"['zacks', 'investment', 'research', 'downgrades', 'automatic', 'data', 'processing', 'adp', 'to', 'hold', 'httpstcosplypbqpml']",Thu Jul 12 05:57:10 +0000 2018,ledgerzette,ADP,Automatic Data Processing,http://ledgergazette.com/?p=2820673,False,5.800000000000002
2821,1017287304556302300,"['zacks', 'investment', 'research', 'downgrades', 'automatic', 'data', 'processing', 'adp', 'to', 'hold', 'httpstcolytoeho']",Thu Jul 12 05:59:28 +0000 2018,dakotafinancial,ADP,Automatic Data Processing,http://dakotafinancialnews.com/?p=312346,False,5.800000000000002
2823,1017288276087013400,"['analysts', 'downgrades', 'for', 'july', 'th', 'adp', 'dlph', 'dnb', 'hli', 'icl', 'iea', 'iii', 'immr', 'immu', 'inve', 'httpstcojfwkrtuywg']",Thu Jul 12 06:03:19 +0000 2018,WatchlistN,ADP,Automatic Data Processing,http://zpr.io/6armK,False,5.188
