,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
13425,1019187999848976400,"['q', 'earnings', 'forecast', 'for', 'alliance', 'data', 'systems', 'co', 'ads', 'issued', 'by', 'william', 'blair', 'httpstcorylwscm']",Tue Jul 17 11:52:09 +0000 2018,OlympiaReport,ADS,Alliance Data Systems Corporation,http://theolympiareport.com/?p=929660,False,5.3876923076923084
13435,1019189118394359800,"['q', 'earnings', 'forecast', 'for', 'alliance', 'data', 'systems', 'co', 'ads', 'issued', 'by', 'william', 'blair', 'httpstcozlpwnnjm']",Tue Jul 17 11:56:36 +0000 2018,dispatchtribune,ADS,Alliance Data Systems Corporation,http://dispatchtribunal.com/?p=2058894,False,5.3876923076923084
13453,1019190113685811200,"['ads', 'alliance', 'data', 'systems', 'corporation', 'nyseads', 'files', 'an', 'k', 'regulation', 'fd', 'disclosure', 'httpstcoievmtrufj']",Tue Jul 17 12:00:33 +0000 2018,marketexclusive,ADS,Alliance Data Systems Corporation,https://marketexclusive.com/alliance-data-systems-corporation-nyseads-files-an-8-k-regulation-fd-disclosure-42/2018/07/,False,5.132
13605,1019197547150282800,"['ads', 'technical', 'alerts', 'stochastic', 'sell', 'signal', 'volume', 'surge', 'new', 'downtrend', 'wide', 'range', 'bar', 'downsi', 'httpstcolpyfyp']",Tue Jul 17 12:30:05 +0000 2018,SwingTradeBot,ADS,Alliance Data Systems Corporation,https://swingtradebot.com/equities/ADS,False,5.5888888888888895
13613,1019198036461879300,"['ads', 'new', 'sec', 'filing', 'for', 'ads', 'form', 'k', 'no', 'httpstcodtwynrwlj']",Tue Jul 17 12:32:02 +0000 2018,Stock_News_Now,ADS,Alliance Data Systems Corporation,http://stocknewsflow.com/1101215_000110121518000158_0001101215-18-000158,False,5.015555555555554
13847,1019208502127054800,"['wolfe', 'research', 'starts', 'alliance', 'data', 'systems', 'ads', 'at', 'outperform', 'httpstcoqwzkcnh']",Tue Jul 17 13:13:37 +0000 2018,AnalystWire,ADS,Alliance Data Systems Corporation,http://streetinsider.com/r/14405677,False,5.542857142857143
14326,1019233036817387500,"['alliance', 'data', 'systems', 'ads', 'research', 'coverage', 'started', 'at', 'wolfe', 'research', 'httpstcorrmpwqetm']",Tue Jul 17 14:51:07 +0000 2018,dispatchtribune,ADS,Alliance Data Systems Corporation,http://dispatchtribunal.com/?p=2059306,False,5.662222222222222
14515,1019243633537581000,"['alliance', 'data', 'systems', 'ads', 'research', 'coverage', 'started', 'at', 'wolfe', 'research', 'httpstcoizyzgdb']",Tue Jul 17 15:33:13 +0000 2018,EnterpriseLeade,ADS,Alliance Data Systems Corporation,http://theenterpriseleader.com/?p=992619,False,5.662222222222222
15206,1019279596733153300,"['ads', 'alliance', 'data', 'systems', 'corporation', 'nyseads', 'has', 'coverage', 'initiated', 'with', 'a', 'outperform', 'rating', 'httpstcogtlpje', 'stocks']",Tue Jul 17 17:56:07 +0000 2018,marketexclusive,ADS,Alliance Data Systems Corporation,https://marketexclusive.com/alliance-data-systems-corporation-nyseads-has-coverage-initiated-with-a-outperform-rating/2018/07/,False,5.451666666666667
17928,1019450036390957000,"['alliance', 'data', 'systems', 'ads', 'scheduled', 'to', 'post', 'earnings', 'on', 'thursday', 'httpstcolpjjdwi']",Wed Jul 18 05:13:23 +0000 2018,TranscriptDaily,ADS,Alliance Data Systems Corporation,http://zpr.io/6Xiy2,False,5.616
