,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
100,1016200281749643300,"['short', 'sale', 'volumenot', 'short', 'interest', 'for', 'd', 'on', 'is', 'httpstcolsbhlore', 'aee', 'cms', 'exc', 'sre']",Mon Jul 09 06:00:01 +0000 2018,shortvolumes,AEE,Ameren Corporation,http://shortvolumes.com/?t=D,False,5.3175
192,1016269912829030400,"['aee', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcovudbghyh', 'httpstcopsbwlbklz']",Mon Jul 09 10:36:43 +0000 2018,optioncharts,AEE,Ameren Corporation,http://maximum-pain.com/options/open-interest/AEE,False,5.5775
294,1016313738390048800,"['headtohead', 'contrast', 'ameren', 'aee', 'and', 'united', 'utilities', 'group', 'uugry', 'httpstcoacloxhksz']",Mon Jul 09 13:30:52 +0000 2018,TranscriptDaily,AEE,Ameren Corporation,http://zpr.io/6TqEp,False,5.8
486,1016377458273091600,"['trend', 'reversal', 'down', 'alert', 'aee', 'ameren', 'tradeideas', 'via', 'httpstcovsrobzxj', 'to', 'free', 'trading', 'room']",Mon Jul 09 17:44:04 +0000 2018,AlertTrade,AEE,Ameren Corporation,http://AlertTrade.us,False,5.567500000000001
725,1016491449175724000,"['significant', 'winning', 'streak', 'for', 'mgee', 'aee', 'dlr', 'alrm', 'sdlp', 'on', 'this', 'monday']",Tue Jul 10 01:17:01 +0000 2018,Pros_Trader,AEE,Ameren Corporation,,False,5.722857142857142
802,1016536638464225300,"['tmt', 'aee', 'pow', 'krc', 'tno', 'hot', 'in', 'v', 'sector', 'ltr', 'mtb', 'sbr', 'srn', 'early', 'vanadium', 'hunters', 'too', 'httpstcopwnptif']",Tue Jul 10 04:16:35 +0000 2018,gassin123Charts,AEE,Ameren Corporation,https://twitter.com/sirdancerlot/status/1016269138661027840,False,5.022857142857143
803,1016537771274526700,"['rt', 'gassincharts', 'tmt', 'aee', 'pow', 'krc', 'tno', 'hot', 'in', 'v', 'sector', 'ltr', 'mtb', 'sbr', 'srn', 'early', 'vanadium', 'hunters', 'too', 'httpstcop']",Tue Jul 10 04:21:05 +0000 2018,sstraussss,AEE,Ameren Corporation,,False,5.005000000000001
821,1016549128791195600,"['rt', 'gassincharts', 'tmt', 'aee', 'pow', 'krc', 'tno', 'hot', 'in', 'v', 'sector', 'ltr', 'mtb', 'sbr', 'srn', 'early', 'vanadium', 'hunters', 'too', 'httpstcop']",Tue Jul 10 05:06:13 +0000 2018,thegoldentrade,AEE,Ameren Corporation,,False,5.005000000000001
846,1016569610328404000,"['tmt', 'pow', 'srn', 'aee', 'sbr', 'ltr', 'mtb', 'cheap', 'vanadium', 'hunters']",Tue Jul 10 06:27:36 +0000 2018,gassin123Charts,AEE,Ameren Corporation,,False,4.84
847,1016569674446749700,"['rt', 'gassincharts', 'tmt', 'pow', 'srn', 'aee', 'sbr', 'ltr', 'mtb', 'cheap', 'vanadium', 'hunters']",Tue Jul 10 06:27:51 +0000 2018,thegoldentrade,AEE,Ameren Corporation,,False,4.8533333333333335
