,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
547,1016406382520741900,"['american', 'electric', 'power', 'company', 'inc', 'aep', 'receives', 'consensus', 'target', 'price', 'from', 'brokerages', 'httpstcoyzdzwres']",Mon Jul 09 19:39:00 +0000 2018,TranscriptDaily,AEP,American Electric Power Company,http://zpr.io/6TjQy,False,5.697
642,1016442458069262300,"['american', 'electric', 'power', 'company', 'inc', 'aep', 'eps', 'estimated', 'at', 'httpstcoccbvwpgd']",Mon Jul 09 22:02:21 +0000 2018,whatsonthorold2,AEP,American Electric Power Company,https://www.whatsonthorold.com/2018/07/09/american-electric-power-company-inc-aep-eps-estimated-at-0-81/,False,5.671428571428571
643,1016442670435196900,"['eps', 'for', 'american', 'electric', 'power', 'company', 'inc', 'aep', 'expected', 'at', 'httpstcovcmuqyjn']",Mon Jul 09 22:03:11 +0000 2018,reurope_stock,AEP,American Electric Power Company,https://reurope.com/2018/07/09/eps-for-american-electric-power-company-inc-aep-expected-at-0-81/,False,5.635000000000001
644,1016442734230560800,"['american', 'electric', 'power', 'company', 'inc', 'aep', 'eps', 'estimated', 'at', 'httpstcobmcajmfjv']",Mon Jul 09 22:03:27 +0000 2018,bibeypost_stock,AEP,American Electric Power Company,https://www.bibeypost.com/american-electric-power-company-inc-aep-eps-estimated-at-0-81/,False,5.671428571428571
728,1016492627112398800,"['took', 'my', 'k', 'account', 'to', 'k', 'today', 'using', 'option', 'trades', 'from', 'httpstcooepfsucl', 'yasss', 'foxa', 'gps', 'utx', 'psmt', 'httpstcokqpmkscgah']",Tue Jul 10 01:21:42 +0000 2018,mikeguerin13,AEP,American Electric Power Company,http://Optionsbypros.com,False,5.4
752,1016508848968851500,"['mondays', 'highest', 'below', 'or', 'min', 'low', 'trading', 'range', 'amp', 'upavg', 'gain', 'of', 'todays', 'thirteen', 'min', 'bars', 'min', 'httpstcofjmpaqhem']",Tue Jul 10 02:26:10 +0000 2018,15minofPham,AEP,American Electric Power Company,https://twitter.com/i/web/status/1016508848968851456,False,5.2106666666666674
871,1016595033343037400,"['mmex', 'mmex', 'resources', 'corp', 'enters', 'into', 'solar', 'power', 'plan', 'for', 'its', 'refinery', 'project', 'mmex', 'forms', 'solar', 'pow', 'mmex', 'aep', 'httpstcopvaznxjxe']",Tue Jul 10 08:08:38 +0000 2018,epistemology_1,AEP,American Electric Power Company,https://twitter.com/i/web/status/1016595033343037446,False,5.635384615384615
963,1016649793664438300,"['american', 'electric', 'power', 'aep', 'now', 'covered', 'by', 'barclays', 'httpstcoxdajgjngi']",Tue Jul 10 11:46:13 +0000 2018,ThisLincolnian,AEP,American Electric Power Company,http://thelincolnianonline.com/?p=2174152,False,5.9799999999999995
1020,1016660995039641600,"['big', 'put', 'activity', 'httpstcotdyyvwcm', 'bw', 'fti', 'ntes', 'hbi', 'adtn', 'lnc', 'hes', 'ttwo', 'aaoi', 'holx', 'fang', 'all', 'nwl', 'httpstcospkavls']",Tue Jul 10 12:30:44 +0000 2018,DailyStockPlays,AEP,American Electric Power Company,http://www.dailystockplays.com/Unusual-Put-Option-Activity-Today-2018-07-09.html,False,5.723999999999999
1061,1016669904831963100,"['initiations', 'aep', 'aiz', 'amr', 'apls', 'bip', 'cboe', 'ceqp', 'cfrx', 'cio', 'fosl', 'gdot', 'good', 'hear', 'kalv', 'krys', 'lyb', 'myok', 'nbl', 'new']",Tue Jul 10 13:06:08 +0000 2018,OpenOutcrier,AEP,American Electric Power Company,,False,6.62
1062,1016669907990270000,"['rt', 'openoutcrier', 'initiations', 'aep', 'aiz', 'amr', 'apls', 'bip', 'cboe', 'ceqp', 'cfrx', 'cio', 'fosl', 'gdot', 'good', 'hear', 'kalv', 'krys', 'lyb', 'myok', 'nbl']",Tue Jul 10 13:06:09 +0000 2018,tradnews_,AEP,American Electric Power Company,,False,5.973333333333334
1167,1016697950775496700,"['aep', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcomiqbhhf', 'httpstcodkpzelqgi']",Tue Jul 10 14:57:35 +0000 2018,optioncharts,AEP,American Electric Power Company,http://maximum-pain.com/options/max-pain/AEP,False,4.680000000000001
1654,1016853743437000700,"['httpstcoxkkvb', 'aep', 'american', 'electric', 'power', 'up', 'million', 'gain', 'aep', 'has', 'made', 'notable', 'gains', 'in', 'httpstcoecgzfbub']",Wed Jul 11 01:16:39 +0000 2018,42Stocks,AEP,American Electric Power Company,http://42stocks.com/sym/aep.html,False,6.246
1791,1016968116973244400,"['mmex', 'mmex', 'resources', 'corp', 'enters', 'into', 'solar', 'power', 'plan', 'for', 'its', 'refinery', 'project', 'mmex', 'forms', 'solar', 'pow', 'mmex', 'aep', 'httpstcoacvukybem']",Wed Jul 11 08:51:08 +0000 2018,epistemology_1,AEP,American Electric Power Company,https://twitter.com/i/web/status/1016968116973244416,False,5.635384615384615
1798,1016970202477682700,"['american', 'electric', 'power', 'aep', 'coverage', 'initiated', 'at', 'barclays', 'httpstcotfdogwyxf']",Wed Jul 11 08:59:25 +0000 2018,dispatchtribune,AEP,American Electric Power Company,http://dispatchtribunal.com/?p=2046194,False,5.97
1839,1016992977456107500,"['american', 'electric', 'power', 'aep', 'receives', 'new', 'coverage', 'from', 'analysts', 'at', 'barclays', 'httpstcoqltibaqk']",Wed Jul 11 10:29:55 +0000 2018,EnterpriseLeade,AEP,American Electric Power Company,http://theenterpriseleader.com/?p=978746,False,5.865555555555556
2128,1017055410963079200,"['aep', 'is', 'bullish', 'above', 'trade', 'near', 'httpstcojsmpypy', 'httpstcopxxbqfwhxv']",Wed Jul 11 14:38:00 +0000 2018,tradespoon,AEP,American Electric Power Company,http://tradespoon.com/s.php?t=$AEP,False,5.76
2455,1017140777867268100,"['aep', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcomiqbhhf', 'httpstcohnxsozfj']",Wed Jul 11 20:17:13 +0000 2018,optioncharts,AEP,American Electric Power Company,http://maximum-pain.com/options/max-pain/AEP,False,4.888
2532,1017156247265693700,"['httpstcoxkkvb', 'aep', 'american', 'electric', 'power', 'up', 'million', 'gain', 'aep', 'has', 'made', 'notable', 'gains', 'in', 'httpstcosinrpipbt']",Wed Jul 11 21:18:41 +0000 2018,42Stocks,AEP,American Electric Power Company,http://42stocks.com/sym/aep.html,False,6.246
2598,1017190364690731000,"['analysts', 'set', 'american', 'electric', 'power', 'company', 'inc', 'aep', 'pt', 'at', 'httpstcoryionlmr']",Wed Jul 11 23:34:16 +0000 2018,MareaInformativ,AEP,American Electric Power Company,http://www.mareainformativa.com/?p=427970,False,5.515555555555555
2599,1017190563991388200,"['american', 'electric', 'power', 'company', 'inc', 'aep', 'given', 'consensus', 'rating', 'of', 'buy', 'by', 'analysts', 'httpstcoqplbxcvq']",Wed Jul 11 23:35:03 +0000 2018,EnterpriseLeade,AEP,American Electric Power Company,http://theenterpriseleader.com/?p=980641,False,5.6499999999999995
2616,1017193851763740700,"['investors', 'sell', 'american', 'electric', 'power', 'aep', 'on', 'strength', 'aep', 'httpstcokylclt']",Wed Jul 11 23:48:07 +0000 2018,WatchlistN,AEP,American Electric Power Company,http://zpr.io/6awBE,False,6.145714285714285
2617,1017193865659469800,"['investors', 'sell', 'shares', 'of', 'american', 'electric', 'power', 'aep', 'on', 'strength', 'aep', 'httpstcoontgixufk']",Wed Jul 11 23:48:10 +0000 2018,TickerReport,AEP,American Electric Power Company,http://tickerreport.com/?p=3629875,False,6.071111111111112
2827,1017289407848681500,"['american', 'electric', 'power', 'aep', 'receives', 'new', 'coverage', 'from', 'analysts', 'at', 'barclays', 'httpstcoljvounuch']",Thu Jul 12 06:07:49 +0000 2018,ZolmaxNews,AEP,American Electric Power Company,http://zolmax.com/?p=2376529,False,5.865555555555556
3566,1017445117945360400,"['american', 'electric', 'power', 'aep', 'stock', 'rating', 'upgraded', 'by', 'zacks', 'investment', 'research', 'httpstcondtyanhvsm']",Thu Jul 12 16:26:33 +0000 2018,WeekHerald,AEP,American Electric Power Company,http://weekherald.com/?p=2986172,False,5.96
3567,1017445365950316500,"['american', 'electric', 'power', 'aep', 'stock', 'rating', 'upgraded', 'by', 'zacks', 'investment', 'research', 'httpstcobnkolcto']",Thu Jul 12 16:27:33 +0000 2018,OlympiaReport,AEP,American Electric Power Company,http://theolympiareport.com/?p=920377,False,5.96
3927,1017503366874837000,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'iau', 'on', 'is', 'httpstcoipbcjkxje', 'aep', 'cgnx', 'obe', 'hpe']",Thu Jul 12 20:18:01 +0000 2018,shortvolumes,AEP,American Electric Power Company,http://shortvolumes.com/?t=IAU,False,5.273333333333333
3946,1017506081394831400,"['as', 'american', 'electric', 'power', 'aep', 'stock', 'rose', 'payden', 'amp', 'rygel', 'increased', 'holding', 'by', 'million', 'httpstcoodeltdzce']",Thu Jul 12 20:28:48 +0000 2018,whatsonthorold2,AEP,American Electric Power Company,https://www.whatsonthorold.com/2018/07/12/as-american-electric-power-aep-stock-rose-payden-rygel-increased-holding-by-4-26-million/,False,6.112727272727272
