,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
262,1016306603149017100,"['big', 'put', 'activity', 'httpstcokemdkcp', 'foxa', 'gps', 'utx', 'clx', 'psmt', 'met', 'cop', 'fslr', 'gern', 'lea', 'hal', 'gme', 'httpstcoidxxkmro']",Mon Jul 09 13:02:30 +0000 2018,DailyStockPlays,AES,The AES Corporation,http://www.dailystockplays.com/Unusual-Put-Option-Activity-Today-2018-07-05.html,False,5.583333333333333
485,1016377266526474200,"['aes', 'just', 'popped', 'up', 'on', 'quickrunner', 'scanner', 'we', 'will', 'see', 'if', 'the', 'momentum', 'holds']",Mon Jul 09 17:43:18 +0000 2018,BullandMoon,AES,The AES Corporation,,False,5.59
549,1016407044486811600,"['i', 'dont', 'throw', 'darts', 'at', 'a', 'board', 'i', 'bet', 'on', 'sure', 'things', 'read', 'suntzu', 'the', 'art', 'of', 'war', 'every', 'battle', 'is', 'won', 'before', 'it', 'httpstcoywxmxlbo']",Mon Jul 09 19:41:37 +0000 2018,stickycactusink,AES,The AES Corporation,https://twitter.com/i/web/status/1016407044486811652,False,5.235454545454545
625,1016436254551040000,"['scan', 'results', 'fell', 'below', 'dma', 'today', 'dova', 'pets', 'acad', 'ora', 'mlnx', 'cold', 'peg', 'inn', 'aes', 'pnm', 'httpstconzguowg']",Mon Jul 09 21:37:42 +0000 2018,SwingTradeBot,AES,The AES Corporation,https://swingtradebot.com/events/2/equities?selected_date=2018-07-09,False,5.3125
1191,1016704180470276100,"['midmorning', 'highest', 'trading', 'range', 'compared', 'to', 'open', 'min', 'amp', 'vol', 'gt', 'k', 'ba', 'exc', 'pg', 'cy', 'httpstcomnxrsyleys']",Tue Jul 10 15:22:20 +0000 2018,15minofPham,AES,The AES Corporation,https://twitter.com/i/web/status/1016704180470276096,False,5.408333333333332
1281,1016728798266523600,"['a', 'bullish', 'big', 'mac', 'bullish', 'has', 'occurred', 'at', 'pm', 'jul', 'at', 'on', 'the', 'aes', 'corp', 'aes', 'aes', 'want', 'to', 'earnregi', 'httpstcovgjgsxvi']",Tue Jul 10 17:00:10 +0000 2018,websofttechies,AES,The AES Corporation,https://twitter.com/i/web/status/1016728798266523651,False,5.326153846153847
1321,1016742197994061800,"['aes', 'aes', 'downgraded', 'by', 'zacks', 'investment', 'research', 'to', 'sell', 'httpstcodyeeoakjpu']",Tue Jul 10 17:53:24 +0000 2018,ConsumerFeed,AES,The AES Corporation,http://zpr.io/6aPHy,False,5.5440000000000005
1328,1016742840280518700,"['aes', 'aes', 'downgraded', 'by', 'zacks', 'investment', 'research', 'to', 'sell', 'httpstcoeccruonai']",Tue Jul 10 17:55:57 +0000 2018,MareaInformativ,AES,The AES Corporation,http://www.mareainformativa.com/?p=418167,False,5.5440000000000005
1410,1016761367653699600,"['rt', 'minofpham', 'midmorning', 'highest', 'trading', 'range', 'compared', 'to', 'open', 'min', 'amp', 'vol', 'gt', 'k', 'ba', 'exc', 'pg', 'cy', 'dia', 'k']",Tue Jul 10 19:09:35 +0000 2018,salomon69479215,AES,The AES Corporation,,False,5.332
1466,1016775047141384200,"['aes', 'ivz', 'f', 'posibles', 'hls', 'httpstcoowjrnlwmb']",Tue Jul 10 20:03:56 +0000 2018,amcno03,AES,The AES Corporation,,False,4.64
