,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4106,1017539041636507600,"['rt', 'tradingmz', 'doj', 'is', 'said', 'not', 'planning', 'to', 'challenge', 'aet', 'cvs', 'deal', 'reorg', 'says']",Thu Jul 12 22:39:47 +0000 2018,mergerpie,AET,Aetna Inc.,,False,5.3133333333333335
4122,1017541875329142800,"['we', 'calculated', 'day', 'expected', 'return', 'of', 'aet', 'for', 'you', 'httpstcombejbyqo']",Thu Jul 12 22:51:02 +0000 2018,1MinuteStock,AET,Aetna Inc.,https://unicornbay.com/t/AET.US?utm_medium=tweet&utm_campaign=expreturn&utm_source=twitter,False,5.6725
4152,1017550006973165600,"['financial', 'and', 'healthcare', 'flow', 'for', 'thursday', 'abbv', 'aet', 'bac', 'c', 'celg', 'ecyt', 'chrs', 'fanh', 'fprx', 'holx', 'mdco', 'wfc', 'some', 'n', 'httpstcomwgcspycyl']",Thu Jul 12 23:23:21 +0000 2018,OptionsMamba,AET,Aetna Inc.,https://twitter.com/i/web/status/1017550006973165568,False,5.233333333333333
4193,1017558802584031200,"['aetna', 'aet', 'sees', 'large', 'volume', 'increase', 'httpstcoanosnkhosu']",Thu Jul 12 23:58:18 +0000 2018,ThisLincolnian,AET,Aetna Inc.,http://thelincolnianonline.com/?p=2180156,False,6.04
4195,1017559041407639600,"['aetna', 'aet', 'sees', 'unusuallyhigh', 'trading', 'volume', 'httpstcooatydyxa']",Thu Jul 12 23:59:15 +0000 2018,WeekHerald,AET,Aetna Inc.,http://weekherald.com/?p=2986897,False,5.913333333333334
4262,1017576654896549900,"['aet', 'aetna', 'watching', 'for', 'a', 'breakout', 'here', 'httpstcogcxwwfzqh']",Fri Jul 13 01:09:14 +0000 2018,the_chart_life,AET,Aetna Inc.,,False,5.444999999999999
4281,1017579602154283000,"['rt', 'optionsmamba', 'financial', 'and', 'healthcare', 'flow', 'for', 'thursday', 'abbv', 'aet', 'bac', 'c', 'celg', 'ecyt', 'chrs', 'fanh', 'fprx', 'holx', 'mdco', 'wfc', 'some', 'new', 'nam']",Fri Jul 13 01:20:57 +0000 2018,stocksnovice,AET,Aetna Inc.,,False,5.3980000000000015
4349,1017598790956658700,"['rt', 'dimebsteamroll', 'new', 'update', 'washington', 'insurance', 'regulator', 'says', 'hasnt', 'had', 'contact', 'w', 'doj', 'regulator', 'dont', 'have', 'direct', 'information', 'on']",Fri Jul 13 02:37:12 +0000 2018,RoguePharm,AET,Aetna Inc.,,False,5.492857142857143
4516,1017665803079086100,"['havens', 'advisors', 'llc', 'has', 'position', 'in', 'aetna', 'inc', 'aet', 'httpstcoiuabbn']",Fri Jul 13 07:03:29 +0000 2018,ConsumerFeed,AET,Aetna Inc.,https://ift.tt/2LeaRTs,False,5.31
4519,1017665836591517700,"['rdl', 'financial', 'inc', 'decreases', 'position', 'in', 'aetna', 'inc', 'aet', 'httpstcocydxsinda']",Fri Jul 13 07:03:37 +0000 2018,ConsumerFeed,AET,Aetna Inc.,https://ift.tt/2Jj4nkm,False,5.236
