,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8996,1018767766856327200,"['aegon', 'nv', 'heavy', 'volume', 'for', 'aegon', 'stock', 'agn', 'httpstcoofzozlyo', 'httpstconyhjvktiat']",Mon Jul 16 08:02:18 +0000 2018,MScreener,AGN,Allergan plc,http://www.4-traders.com//AEGON-N-V-6275/,False,5.225
9032,1018780250543538200,"['agn', 'httpstcoubgwvmbtrd']",Mon Jul 16 08:51:54 +0000 2018,SeekingAlpha,AGN,Allergan plc,https://seekingalpha.com/article/4187408-allergan-crucial-period-ahead-company-activist-pressure-mounts?source=feed_f,False,0.0
9044,1018782053746204700,"['rt', 'seekingalpha', 'agn', 'httpstcoubgwvmbtrd']",Mon Jul 16 08:59:04 +0000 2018,AviseAnalytics,AGN,Allergan plc,https://seekingalpha.com/article/4187408-allergan-crucial-period-ahead-company-activist-pressure-mounts?source=feed_f,False,4.88
9328,1018816534448410600,"['allergan', 'inc', 'agn', 'institutional', 'investors', 'q', 'sentiment', 'httpstcorsqjmkp']",Mon Jul 16 11:16:05 +0000 2018,whatsonthorold2,AGN,Allergan plc,https://www.whatsonthorold.com/2018/07/16/allergan-inc-nyseagn-institutional-investors-2018-q1-sentiment/,False,5.0280000000000005
9329,1018816604652687400,"['allergan', 'inc', 'agn', 'institutional', 'investor', 'sentiment', 'is', 'httpstcoohvfouejf']",Mon Jul 16 11:16:21 +0000 2018,mmahotstuff1,AGN,Allergan plc,https://www.mmahotstuff.com/2018/07/16/allergan-inc-nyseagn-institutional-investor-sentiment-is-0-5.html,False,5.232
9333,1018816854012432400,"['allergan', 'inc', 'agn', 'institutional', 'investors', 'q', 'sentiment', 'httpstcoourczm']",Mon Jul 16 11:17:21 +0000 2018,bibeypost_stock,AGN,Allergan plc,https://www.bibeypost.com/allergan-inc-nyseagn-institutional-investors-q1-2018-sentiment/,False,5.0280000000000005
9504,1018831393600700400,"['now', 'offering', 'day', 'free', 'trial', 'to', 'options', 'day', 'trading', 'team', 'room', 'or', 'twtr', 'feed', 'httpstcommiobmypn', 'agn', 'aapl', 'nflx', 'tsla', 'amzn', 'googl']",Mon Jul 16 12:15:07 +0000 2018,optionalarmchat,AGN,Allergan plc,http://ow.ly/Plrz30kQURK,False,5.940000000000001
9895,1018856319028289500,"['crucial', 'period', 'ahead', 'for', 'agn', 'as', 'activist', 'pressure', 'mounts', 'httpstcomhvtjsqrb', 'httpstcosrkigzlav']",Mon Jul 16 13:54:10 +0000 2018,thenonconsensus,AGN,Allergan plc,http://thenonconsensus.com/blog/2018/7/14/allergan-crucial-period-ahead-for-company,False,4.903333333333333
10523,1018891808980512800,"['to', 'trade', 'alerts', 'with', 'to', 'profit', 'potential', 'everyday', 'try', 'our', 'team', 'httpstcohajhyaej', 'fb', 'nflx', 'amzn', 'agn', 'tsla', 'aapl', 'gs']",Mon Jul 16 16:15:12 +0000 2018,optionalarmchat,AGN,Allergan plc,http://ow.ly/cBb930kQURS,False,5.98
10896,1018919392573382700,"['want', 'the', 'latest', 'upgrades', 'amp', 'downgrades', 'for', 'phii', 'unh', 'peet', 'bkng', 'agn', 'checkout', 'marketbeat', 'daily', 'httpstconsjudsyidj']",Mon Jul 16 18:04:48 +0000 2018,RatingsNetwork,AGN,Allergan plc,http://bit.ly/arndailyw,False,5.466666666666666
