,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
106,1016206633050009600,"['apartment', 'investment', 'and', 'managements', 'aiv', 'hold', 'rating', 'reiterated', 'at', 'bmo', 'capital', 'markets', 'httpstcoubhalyc']",Mon Jul 09 06:25:16 +0000 2018,dailypoliticaln,AIV,Apartment Investment and Management Company,http://www.dailypolitical.com/?p=2190015,False,5.6000000000000005
496,1016381049776017400,"['aiv', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcogufucwwuk', 'httpstcoatehzve']",Mon Jul 09 17:58:20 +0000 2018,optioncharts,AIV,Apartment Investment and Management Company,http://maximum-pain.com/options/max-pain/AIV,False,4.888
946,1016636689878585300,"['weekly', 'analysts', 'ratings', 'changes', 'for', 'apartment', 'investment', 'and', 'management', 'aiv', 'httpstcokvwmofstd']",Tue Jul 10 10:54:09 +0000 2018,ledgerzette,AIV,Apartment Investment and Management Company,http://ledgergazette.com/?p=2816885,False,5.322222222222221
1284,1016730589528027100,"['aiv', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcotmyyheqx', 'httpstcoziljner']",Tue Jul 10 17:07:17 +0000 2018,optioncharts,AIV,Apartment Investment and Management Company,http://maximum-pain.com/options/open-interest/AIV,False,5.5775
1668,1016868512869077000,"['apartment', 'investment', 'and', 'management', 'aiv', 'and', 'great', 'ajax', 'ajx', 'financial', 'comparison', 'httpstcojwdqoxhir']",Wed Jul 11 02:15:20 +0000 2018,OlympiaReport,AIV,Apartment Investment and Management Company,http://theolympiareport.com/?p=916163,False,5.66125
1669,1016868784185933800,"['analyzing', 'great', 'ajax', 'ajx', 'amp', 'apartment', 'investment', 'and', 'management', 'aiv', 'httpstcodnekuai']",Wed Jul 11 02:16:25 +0000 2018,dispatchtribune,AIV,Apartment Investment and Management Company,http://dispatchtribunal.com/?p=2045561,False,5.786666666666666
2490,1017148034658992100,"['eps', 'for', 'apartment', 'investment', 'and', 'management', 'company', 'aiv', 'expected', 'at', 'httpstcoxatagwi']",Wed Jul 11 20:46:03 +0000 2018,whatsonthorold2,AIV,Apartment Investment and Management Company,https://www.whatsonthorold.com/2018/07/11/eps-for-apartment-investment-and-management-company-aiv-expected-at-0-62/,False,5.3374999999999995
2491,1017148098903269400,"['analysts', 'see', 'eps', 'for', 'apartment', 'investment', 'and', 'management', 'company', 'aiv', 'httpstcoaqzxzkisw']",Wed Jul 11 20:46:19 +0000 2018,mmahotstuff1,AIV,Apartment Investment and Management Company,https://www.mmahotstuff.com/2018/07/11/analysts-see-0-62-eps-for-apartment-investment-and-management-company-aiv.html,False,5.392499999999999
2492,1017148266071380000,"['eps', 'expected', 'for', 'apartment', 'investment', 'and', 'management', 'company', 'aiv', 'httpstcobgqehfrhl']",Wed Jul 11 20:46:58 +0000 2018,reurope_stock,AIV,Apartment Investment and Management Company,https://reurope.com/2018/07/11/0-62-eps-expected-for-apartment-investment-and-management-company-aiv-2/,False,5.3999999999999995
2494,1017148382102655000,"['apartment', 'investment', 'and', 'management', 'company', 'aiv', 'analysts', 'see', 'eps', 'httpstcoeoqmsndai']",Wed Jul 11 20:47:26 +0000 2018,bibeypost_stock,AIV,Apartment Investment and Management Company,https://www.bibeypost.com/apartment-investment-and-management-company-aiv-analysts-see-0-62-eps/,False,5.417142857142857
2552,1017164628642750500,"['scan', 'results', 'macd', 'bullish', 'signal', 'line', 'cross', 'today', 'fast', 'nxst', 'mygn', 'gden', 'gil', 'tree', 'serv', 'aiv', 'dis', 'insm', 'httpstcoxaxuzl']",Wed Jul 11 21:52:00 +0000 2018,SwingTradeBot,AIV,Apartment Investment and Management Company,https://swingtradebot.com/events/64/equities?selected_date=2018-07-11,False,5.619999999999999
4052,1017526532716277800,"['scan', 'results', 'cup', 'with', 'handle', 'today', 'aet', 'crh', 'homb', 'plya', 'are', 'txn', 'hun', 'schn', 'esrx', 'aiv', 'httpstcoogpsozrio']",Thu Jul 12 21:50:04 +0000 2018,SwingTradeBot,AIV,Apartment Investment and Management Company,https://swingtradebot.com/events/61/equities?selected_date=2018-07-12,False,5.611428571428571
4464,1017639325931106300,"['analyzing', 'apartment', 'investment', 'and', 'management', 'aiv', 'and', 'great', 'ajax', 'ajx', 'httpstcoftwnflgesh']",Fri Jul 13 05:18:16 +0000 2018,WatchlistN,AIV,Apartment Investment and Management Company,http://zpr.io/6avVY,False,5.75
4662,1017714654221688800,"['financial', 'review', 'great', 'ajax', 'ajx', 'versus', 'apartment', 'investment', 'and', 'management', 'aiv', 'httpstcoawjfjastr']",Fri Jul 13 10:17:36 +0000 2018,MareaInformativ,AIV,Apartment Investment and Management Company,http://www.mareainformativa.com/?p=437757,False,5.6025
5450,1017858146868457500,"['aimco', 'claims', 'against', 'airbnb', 'cleared', 'to', 'proceed', 'in', 'florida', 'httpstcojsavyno', 'aiv', 'airb']",Fri Jul 13 19:47:47 +0000 2018,MarketCurrents,AIV,Apartment Investment and Management Company,https://seekingalpha.com/news/3370060-aimco-claims-airbnb-cleared-proceed-florida?source=feed_f,False,5.33
5765,1017976888969527300,"['aiv', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcogufucwwuk', 'httpstcoptjomofq']",Sat Jul 14 03:39:38 +0000 2018,optioncharts,AIV,Apartment Investment and Management Company,http://maximum-pain.com/options/max-pain/AIV,False,4.888
7413,1018412300812869600,"['headtohead', 'analysis', 'apartment', 'investment', 'and', 'management', 'aiv', 'and', 'great', 'ajax', 'ajx', 'httpstcomdrbjiv']",Sun Jul 15 08:29:48 +0000 2018,ledgerzette,AIV,Apartment Investment and Management Company,http://ledgergazette.com/?p=2826416,False,5.757142857142857
7572,1018441319558078500,"['earnings', 'per', 'share', 'expected', 'for', 'apartment', 'investment', 'and', 'management', 'co', 'aiv', 'this', 'quarter', 'httpstcofhbxnfhgum']",Sun Jul 15 10:25:06 +0000 2018,MareaInformativ,AIV,Apartment Investment and Management Company,http://www.mareainformativa.com/?p=447325,False,5.601666666666667
11153,1018936643728957400,"['want', 'the', 'latest', 'upgrades', 'amp', 'downgrades', 'for', 'ptie', 'aiv', 'pdli', 'pvg', 'pnm', 'checkout', 'marketbeat', 'daily', 'httpstconsjudsyidj']",Mon Jul 16 19:13:21 +0000 2018,RatingsNetwork,AIV,Apartment Investment and Management Company,http://bit.ly/arndailyw,False,5.466666666666666
