,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1426,1016767804861710300,"['is', 'assurant', 'aiz', 'a', 'sell', 'what', 'does', 'morgan', 'stanley', 'think', 'httpstcojbrgljsuhc']",Tue Jul 10 19:35:09 +0000 2018,The_CasualSmart,AIZ,Assurant,https://thecasualsmart.com/2018/07/10/is-assurant-aiz-a-sell-what-does-morgan-stanley-think/,False,5.325
1427,1016767865318461400,"['morgan', 'stanley', 'begins', 'covering', 'assurant', 'aiz', 'stock', 'shares', 'to', 'hit', 'httpstcomacdpddmxk']",Tue Jul 10 19:35:24 +0000 2018,whatsonthorold2,AIZ,Assurant,https://www.whatsonthorold.com/2018/07/10/morgan-stanley-begins-covering-assurant-aiz-stock-shares-to-hit-125-0/,False,5.477500000000001
1428,1016767919563444200,"['is', 'assurant', 'aiz', 'a', 'buy', 'or', 'a', 'sell', 'what', 'does', 'morgan', 'stanley', 'think', 'httpstcoponkfzogl']",Tue Jul 10 19:35:37 +0000 2018,The_CasualSmart,AIZ,Assurant,https://floridarecorder.com/2018/07/10/is-assurant-aiz-a-buy-or-a-sell-what-does-morgan-stanley-think/,False,5.372727272727274
1429,1016767963523928000,"['is', 'assurant', 'aiz', 'finally', 'worth', 'your', 'time', 'what', 'does', 'morgan', 'stanley', 'think', 'httpstcomftemrmn']",Tue Jul 10 19:35:47 +0000 2018,reurope_stock,AIZ,Assurant,https://reurope.com/2018/07/10/is-assurant-aiz-finally-worth-your-time-what-does-morgan-stanley-think/,False,5.558000000000001
1432,1016768057132421100,"['does', 'assurant', 'aiz', 'look', 'attractive', 'now', 'morgan', 'stanley', 'initiates', 'coverage', 'httpstconekhwmve']",Tue Jul 10 19:36:10 +0000 2018,bibeypost_stock,AIZ,Assurant,https://www.bibeypost.com/does-assurant-aiz-look-attractive-now-morgan-stanley-initiates-coverage/,False,5.7542857142857144
1443,1016769665035620400,"['assurant', 'aiz', 'reaches', 'new', 'month', 'high', 'at', 'httpstcodowlynyys']",Tue Jul 10 19:42:33 +0000 2018,WeekHerald,AIZ,Assurant,http://weekherald.com/?p=2981520,False,5.9
1444,1016769988189966300,"['assurant', 'aiz', 'hits', 'new', 'year', 'high', 'at', 'httpstcoabqyffrhx']",Tue Jul 10 19:43:50 +0000 2018,OlympiaReport,AIZ,Assurant,http://theolympiareport.com/?p=915710,False,5.744
1501,1016788490607059000,"['aiz', 'continues', 'to', 'face', 'pressure', 'at', 'its', 'normal', 'price', 'the', 'sva', 'adjusted', 'book', 'value', 'httpstcowbhltumwm']",Tue Jul 10 20:57:21 +0000 2018,SVAInsights,AIZ,Assurant,,False,5.415000000000002
1585,1016810633252233200,"['these', 'are', 'the', 'stocks', 'in', 'finance', 'sector', 'that', 'yesterday', 'reached', 'alltime', 'highs', 'aiz', 'tsc', 'spgi', 'tru', 'cbre']",Tue Jul 10 22:25:21 +0000 2018,stocks2_com,AIZ,Assurant,,False,5.1899999999999995
2136,1017057254988804100,"['assurant', 'aiz', 'price', 'target', 'increased', 'to', 'by', 'analysts', 'at', 'suntrust', 'banks', 'httpstcoagxleyrtk']",Wed Jul 11 14:45:20 +0000 2018,WatchlistN,AIZ,Assurant,http://zpr.io/6aaWy,False,5.3175
