,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
28,1016085297661120500,"['arthur', 'j', 'gallagher', 'amp', 'co', 'ajg', 'vs', 'marsh', 'amp', 'mclennan', 'companies', 'mmc', 'critical', 'contrast', 'httpstcoaettrnzeq']",Sun Jul 08 22:23:07 +0000 2018,ConsumerFeed,AJG,Arthur J. Gallagher & Co.,http://zpr.io/6Tnx3,False,4.924444444444444
29,1016086242583351300,"['arthur', 'j', 'gallagher', 'amp', 'co', 'ajg', 'vs', 'marsh', 'amp', 'mclennan', 'companies', 'mmc', 'critical', 'contrast', 'httpstcocdjcvakgd']",Sun Jul 08 22:26:52 +0000 2018,MareaInformativ,AJG,Arthur J. Gallagher & Co.,http://www.mareainformativa.com/?p=407083,False,4.924444444444444
62,1016127105334173700,"['rt', 'optionshawk', 'ajg', 'ceo', 'bought', 'k', 'in', 'stock', 'may', 'be', 'one', 'to', 'follow', 'always', 'been', 'a', 'preferred', 'play', 'of', 'mine', 'in', 'this', 'group', 'sitting', 'right', 'on']",Mon Jul 09 01:09:15 +0000 2018,StayThirsty_Jay,AJG,Arthur J. Gallagher & Co.,,False,5.661666666666666
101,1016201710065324000,"['ajg', 'arthur', 'j', 'gallagher', 'amp', 'co', 'acquires', 'milne', 'alexander', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 09 06:05:42 +0000 2018,Allstocknews,AJG,Arthur J. Gallagher & Co.,,False,5.444000000000001
174,1016257323960954900,"['arthur', 'j', 'gallagher', 'acquires', 'milne', 'alexander', 'httpstcocxzaoahqb', 'ajg']",Mon Jul 09 09:46:41 +0000 2018,MarketCurrents,AJG,Arthur J. Gallagher & Co.,https://seekingalpha.com/news/3368482-arthur-j-gallagher-acquires-milne-alexander?source=feed_f,False,5.3999999999999995
421,1016352676693438500,"['arthur', 'j', 'gallagher', 'acquires', 'reassurance', 'holdings', 'inc', 'httpstcohdrnpizd', 'ajg']",Mon Jul 09 16:05:35 +0000 2018,MarketCurrents,AJG,Arthur J. Gallagher & Co.,https://seekingalpha.com/news/3368667-arthur-j-gallagher-acquires-reassurance-holdings-inc?source=feed_f,False,5.18
422,1016352701813284900,"['ajg', 'arthur', 'j', 'gallagher', 'amp', 'co', 'acquires', 'reassurance', 'holdings', 'inc', 'coverdell', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 09 16:05:41 +0000 2018,Allstocknews,AJG,Arthur J. Gallagher & Co.,,False,5.36
467,1016369343217700900,"['ajg', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcorhknmopp', 'httpstcotzafiyzje']",Mon Jul 09 17:11:49 +0000 2018,optioncharts,AJG,Arthur J. Gallagher & Co.,http://maximum-pain.com/options/open-interest/AJG,False,5.5775
501,1016382207399624700,"['ajg', 'arthur', 'j', 'gallagher', 'acquires', 'reassurance', 'holdings', 'terms', 'not', 'disclosed', 'httpstcoxmgarzig']",Mon Jul 09 18:02:56 +0000 2018,Briefingcom,AJG,Arthur J. Gallagher & Co.,http://bit.ly/2L1lWdw,False,4.89
649,1016444751745253400,"['arthur', 'j', 'gallagher', 'amp', 'co', 'ajg', 'analysts', 'see', 'eps', 'httpstcozxixyxei']",Mon Jul 09 22:11:28 +0000 2018,whatsonthorold2,AJG,Arthur J. Gallagher & Co.,https://www.whatsonthorold.com/2018/07/09/arthur-j-gallagher-co-ajg-analysts-see-0-62-eps/,False,5.323333333333333
650,1016444993601491000,"['eps', 'expected', 'for', 'arthur', 'j', 'gallagher', 'amp', 'co', 'ajg', 'httpstcobdrwhnfs']",Mon Jul 09 22:12:25 +0000 2018,reurope_stock,AJG,Arthur J. Gallagher & Co.,https://reurope.com/2018/07/09/0-62-eps-expected-for-arthur-j-gallagher-co-ajg/,False,5.303333333333334
651,1016445128343474200,"['eps', 'expected', 'for', 'arthur', 'j', 'gallagher', 'amp', 'co', 'ajg', 'httpstcoqgqbqxmes']",Mon Jul 09 22:12:57 +0000 2018,bibeypost_stock,AJG,Arthur J. Gallagher & Co.,https://www.bibeypost.com/0-62-eps-expected-for-arthur-j-gallagher-co-ajg/,False,5.303333333333334
