,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
15140,1019275558272815100,"['chemical', 'stocks', 'poised', 'to', 'outshine', 'q', 'earnings', 'estimates', 'httpstcowcfivbit', 'alb', 'ce', 'emn', 'ngvt']",Tue Jul 17 17:40:04 +0000 2018,whotrades,ALB,Albemarle Corporation,https://whotrades.com/people/984697114/timeline/4471654?showMore=1,False,5.248571428571428
15219,1019280201690251300,"['alb', 'breaking', 'up', 'and', 'through', 'mo', 'and', 'mo', 'downtrend', 'lines', 'nice', 'gap', 'to', 'fill', 'up', 'there', 'in', 'the', 's', 'sqm', 'testing', 'a', 'httpstconkahyjcl']",Tue Jul 17 17:58:32 +0000 2018,dantestrading,ALB,Albemarle Corporation,https://twitter.com/i/web/status/1019280201690251276,False,5.326315789473685
15580,1019299581216030700,"['alb', 'finally', 'moving', 'httpstcodyqmbgs']",Tue Jul 17 19:15:32 +0000 2018,dimitrisnatsis,ALB,Albemarle Corporation,https://twitter.com/dimitrisnatsis/status/1014144352036245505,False,5.470000000000001
15841,1019312069751894000,"['alb', 'closed', 'gt', 'dma', 'for', 'first', 'time', 'since', 'jan', 'needs', 'gt', 'for', 'me', 'to', 'nibble']",Tue Jul 17 20:05:09 +0000 2018,jfhksar88,ALB,Albemarle Corporation,,False,5.303333333333334
15856,1019312476964474900,"['alb', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcopfrikgydl', 'httpstcondwalqnnp']",Tue Jul 17 20:06:47 +0000 2018,optioncharts,ALB,Albemarle Corporation,http://maximum-pain.com/options/open-interest/ALB,False,5.5775
16034,1019319545742405600,"['after', 'reaching', 'milestone', 'is', 'albemarle', 'corporation', 'albs', 'short', 'interest', 'revealing', 'something', 'httpstcoenftyeynx']",Tue Jul 17 20:34:52 +0000 2018,mmahotstuff1,ALB,Albemarle Corporation,https://www.mmahotstuff.com/2018/07/17/after-reaching-milestone-is-albemarle-corporation-nysealbs-short-interest-revealing-something.html,False,5.248571428571428
16039,1019319709953556500,"['albemarle', 'corporation', 'albs', 'trend', 'unknown', 'especially', 'after', 'increased', 'shorts', 'httpstcoouwjmrbof']",Tue Jul 17 20:35:31 +0000 2018,reurope_stock,ALB,Albemarle Corporation,https://reurope.com/2018/07/17/albemarle-corporation-nysealbs-trend-unknown-especially-after-increased-shorts/,False,5.468571428571429
16043,1019319855965712400,"['is', 'albemarle', 'corporation', 'albs', 'fuel', 'running', 'low', 'reports', 'show', 'more', 'sellers', 'httpstcowjswgxeseo']",Tue Jul 17 20:36:06 +0000 2018,bibeypost_stock,ALB,Albemarle Corporation,https://www.bibeypost.com/is-albemarle-corporation-nysealbs-fuel-running-low-reports-show-more-sellers/,False,5.3100000000000005
17505,1019410910560116700,"['chemical', 'stocks', 'poised', 'to', 'outshine', 'q', 'earnings', 'estimates', 'ce', 'emn', 'ngvt', 'alb', 'httpstcowaaldchy']",Wed Jul 18 02:37:55 +0000 2018,TalkMarkets,ALB,Albemarle Corporation,https://goo.gl/YjzmEY,False,5.248571428571428
17671,1019425287631564800,"['do', 'you', 'know', 'that', 'book', 'value', 'for', 'alb', 'is', 'httpstconhkmdii']",Wed Jul 18 03:35:03 +0000 2018,1MinuteStock,ALB,Albemarle Corporation,https://unicornbay.com/t/ALB.US?utm_medium=tweet&utm_campaign=bookvalue&utm_source=twitter,False,5.88
