,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
10126,1018869314047406100,"['align', 'technology', 'algn', 'pt', 'raised', 'to', 'at', 'stifel', 'nicolaus', 'httpstcogshbfxr']",Mon Jul 16 14:45:48 +0000 2018,OlympiaReport,ALGN,Align Technology,http://theolympiareport.com/?p=927583,False,5.62
10154,1018871615977934800,"['algn', 'straight', 'teeth', 'setup', 'again', 'its', 'been', 'a', 'beast', 'for', 'a', 'few', 'years', 'now', 'httpstcouvypywgltx']",Mon Jul 16 14:54:57 +0000 2018,offbeatoperator,ALGN,Align Technology,,False,5.109230769230769
10165,1018872229369696300,"['align', 'technology', 'algn', 'given', 'new', 'price', 'target', 'at', 'morgan', 'stanley', 'httpstcoybhipazgo']",Mon Jul 16 14:57:23 +0000 2018,TheMarketsDaily,ALGN,Align Technology,http://zpr.io/6XA27,False,5.630000000000001
10170,1018872772892774400,"['stifel', 'nicolaus', 'boosts', 'align', 'technology', 'algn', 'price', 'target', 'to', 'httpstcocebxzykp']",Mon Jul 16 14:59:33 +0000 2018,TranscriptDaily,ALGN,Align Technology,http://zpr.io/6XA2c,False,5.5200000000000005
10183,1018873075528622100,"['algn', 'align', 'technology', 'stock', 'price', 'target', 'raised', 'to', 'from', 'at', 'stifel', 'nicolaus']",Mon Jul 16 15:00:45 +0000 2018,CapitalQuail,ALGN,Align Technology,,False,5.5649999999999995
10326,1018881598215917600,"['rt', 'wrigleytom', 'top', 'ibd', 'via', 'ibdinvestors', 'current', 'outlook', 'confirmed', 'uptrend', 'distribution', 'days', 'sp', 'nasdaq', 'some', 'strong']",Mon Jul 16 15:34:37 +0000 2018,ruipsilva75,ALGN,Align Technology,,False,5.668333333333334
10654,1018899129991192600,"['rt', 'tmltrader', 'setups', 'and', 'watch', 'list', 'nflx', 'etsy', 'abmd', 'algn', 'newr', 'docu', 'rng', 'zto', 'five', 'rh', 'following', 'charts', 'courtesy', 'of', 'marketsm']",Mon Jul 16 16:44:17 +0000 2018,MarketSmith,ALGN,Align Technology,,True,5.426666666666667
10950,1018922685877882900,"['rt', 'jbrianellis', 'congratulations', 'to', 'algn', 's', 'jennifer', 'olsonwilk', 'on', 'being', 'named', 'one', 'of', 'the', 'most', 'influential', 'people', 'in', 'dentistry', 'by', 'the']",Mon Jul 16 18:17:53 +0000 2018,LucyHobbsProj,ALGN,Align Technology,,False,5.5562499999999995
10951,1018922689963184100,"['rt', 'jbrianellis', 'congratulations', 'to', 'algn', 's', 'jennifer', 'olsonwilk', 'on', 'being', 'named', 'one', 'of', 'the', 'most', 'influential', 'people', 'in', 'dentistry', 'by', 'the']",Mon Jul 16 18:17:54 +0000 2018,The_Daily_Floss,ALGN,Align Technology,,False,5.5562499999999995
10952,1018922692353851400,"['rt', 'jbrianellis', 'congratulations', 'to', 'algn', 's', 'jennifer', 'olsonwilk', 'on', 'being', 'named', 'one', 'of', 'the', 'most', 'influential', 'people', 'in', 'dentistry', 'by', 'the']",Mon Jul 16 18:17:55 +0000 2018,bencodental,ALGN,Align Technology,,False,5.5562499999999995
10953,1018922694144942100,"['rt', 'jbrianellis', 'congratulations', 'to', 'algn', 's', 'jennifer', 'olsonwilk', 'on', 'being', 'named', 'one', 'of', 'the', 'most', 'influential', 'people', 'in', 'dentistry', 'by', 'the']",Mon Jul 16 18:17:55 +0000 2018,theincisaledge,ALGN,Align Technology,,False,5.5562499999999995
11282,1018944671496704000,"['rmb', 'capital', 'management', 'llc', 'trimmed', 'holding', 'in', 'align', 'technology', 'inc', 'algn', 'as', 'share', 'price', 'rose', 'httpstcobqctiuo']",Mon Jul 16 19:45:15 +0000 2018,whatsonthorold2,ALGN,Align Technology,https://www.whatsonthorold.com/2018/07/16/rmb-capital-management-llc-trimmed-holding-in-align-technology-inc-algn-as-share-price-rose/,False,5.758000000000001
11286,1018944871422361600,"['rmb', 'capital', 'management', 'llc', 'lowered', 'its', 'align', 'technology', 'inc', 'algn', 'stake', 'as', 'market', 'valuation', 'rose', 'httpstcokqzbcjs']",Mon Jul 16 19:46:03 +0000 2018,mmahotstuff1,ALGN,Align Technology,https://www.mmahotstuff.com/2018/07/16/rmb-capital-management-llc-lowered-its-align-technology-inc-algn-stake-as-market-valuation-rose.html,False,5.657777777777778
11293,1018945091900182500,"['as', 'align', 'technology', 'inc', 'algn', 'market', 'valuation', 'rose', 'rmb', 'capital', 'management', 'llc', 'cut', 'position', 'by', 'million', 'httpstcoswkbhlvoe']",Mon Jul 16 19:46:55 +0000 2018,bibeypost_stock,ALGN,Align Technology,https://www.bibeypost.com/as-align-technology-inc-algn-market-valuation-rose-rmb-capital-management-llc-cut-position-by-6-12-million/,False,5.689090909090909
11539,1018965255647526900,"['rt', 'wrigleytom', 'top', 'ibd', 'via', 'ibdinvestors', 'current', 'outlook', 'confirmed', 'uptrend', 'distribution', 'days', 'sp', 'nasdaq', 'some', 'strong']",Mon Jul 16 21:07:03 +0000 2018,Traderideas1,ALGN,Align Technology,,False,5.668333333333334
12245,1019061634034294800,"['algn', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoevvqifhqtp', 'httpstcovowqmnux']",Tue Jul 17 03:30:01 +0000 2018,optioncharts,ALGN,Align Technology,http://maximum-pain.com/options/max-pain/ALGN,False,4.680000000000001
12405,1019090777983594500,"['rt', 'wrigleytom', 'top', 'ibd', 'via', 'ibdinvestors', 'current', 'outlook', 'confirmed', 'uptrend', 'distribution', 'days', 'sp', 'nasdaq', 'some', 'strong']",Tue Jul 17 05:25:49 +0000 2018,KodiakCap,ALGN,Align Technology,,False,5.668333333333334
12574,1019110810344443900,"['align', 'technology', 'algn', 'pt', 'raised', 'to', 'at', 'morgan', 'stanley', 'httpstcoxbfgmdnmy']",Tue Jul 17 06:45:26 +0000 2018,OlympiaReport,ALGN,Align Technology,http://theolympiareport.com/?p=928926,False,5.5114285714285725
12576,1019111064271839200,"['align', 'technology', 'algn', 'given', 'new', 'price', 'target', 'at', 'stifel', 'nicolaus', 'httpstcowjkdzhyp']",Tue Jul 17 06:46:26 +0000 2018,ThisLincolnian,ALGN,Align Technology,http://thelincolnianonline.com/?p=2187920,False,5.760000000000001
12577,1019111240340209700,"['align', 'technology', 'algn', 'pt', 'raised', 'to', 'at', 'morgan', 'stanley', 'httpstcoyzoouhpudh']",Tue Jul 17 06:47:08 +0000 2018,ConsumerFeed,ALGN,Align Technology,http://zpr.io/6XwhY,False,5.5114285714285725
14610,1019248633731014700,"['daytrade', 'out', 'of', 'algn', 'weekly', 'calls', 'from', 'to', 'profits']",Tue Jul 17 15:53:05 +0000 2018,KeeneOnMarket,ALGN,Align Technology,,False,5.417142857142857
