,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
105,1016204582936907800,"['aan', 'aapl', 'abbv', 'adm', 'afl', 'alle', 'am', 'amgp', 'amp', 'amt', 'andx', 'aon', 'aos', 'apd', 'apog', 'aqn', 'avgo', 'ay', 'bac', 'bam', 'bep', 'bip', 'httpstcokfogxrm']",Mon Jul 09 06:17:07 +0000 2018,SeekingAlpha,ALLE,Allegion plc,https://seekingalpha.com/article/4185992-dividend-senseis-portfolio-update-42-3-reasons-perfect-jobs-report-spells-great-news-stocks?source=feed_f,False,5.116666666666667
123,1016215579886223400,"['rt', 'seekingalpha', 'aan', 'aapl', 'abbv', 'adm', 'afl', 'alle', 'am', 'amgp', 'amp', 'amt', 'andx', 'aon', 'aos', 'apd', 'apog', 'aqn', 'avgo', 'ay', 'httpstcoqqhydckkjr']",Mon Jul 09 07:00:49 +0000 2018,CNBCTradersFan,ALLE,Allegion plc,https://twitter.com/i/web/status/1016215579886223361,False,5.1066666666666665
212,1016285433620258800,"['allegion', 'plc', 'alle', 'receives', 'average', 'target', 'price', 'from', 'brokerages', 'httpstcozkdhryysd']",Mon Jul 09 11:38:23 +0000 2018,WatchlistN,ALLE,Allegion plc,http://zpr.io/6TGxv,False,5.298333333333333
213,1016285443296583700,"['allegion', 'plc', 'alle', 'receives', 'average', 'target', 'price', 'from', 'brokerages', 'httpstconmzthqiwlq']",Mon Jul 09 11:38:26 +0000 2018,MareaInformativ,ALLE,Allegion plc,http://www.mareainformativa.com/?p=409829,False,5.298333333333333
215,1016286134266146800,"['analysts', 'set', 'allegion', 'plc', 'alle', 'pt', 'at', 'httpstcouknqozzvsl']",Mon Jul 09 11:41:10 +0000 2018,TickerReport,ALLE,Allegion plc,http://tickerreport.com/?p=3624408,False,5.087999999999999
313,1016317664459919400,"['aan', 'aapl', 'abbv', 'adm', 'afl', 'alle', 'am', 'amgp', 'amp', 'amt', 'andx', 'aon', 'aos', 'apd', 'apog', 'aqn', 'avgo', 'ay', 'bac', 'bam', 'bep', 'bip', 'httpstcowkemtutfm']",Mon Jul 09 13:46:28 +0000 2018,adamgalas1,ALLE,Allegion plc,https://seekingalpha.com/article/4185992-dividend-senseis-portfolio-update-42-3-reasons-perfect-jobs-report-spells-great-news-stocks?source=tweet,False,5.116666666666667
465,1016368892778860500,"['stock', 'analysts', 'upgrades', 'for', 'july', 'th', 'alle', 'cuz', 'ggp', 'h', 'ifnny', 'lmnx', 'lpx', 'pru', 'teva', 'tgna', 'httpstcoiglpfhaw']",Mon Jul 09 17:10:01 +0000 2018,TheMarketsDaily,ALLE,Allegion plc,http://zpr.io/6TzyB,False,5.16
492,1016380063581966300,"['sweet', 'listaan', 'aapl', 'abbv', 'adm', 'afl', 'alle', 'am', 'amgp', 'amp', 'amt', 'andx', 'aon', 'aos', 'apd', 'apog', 'aqn', 'avgo', 'ay', 'bac', 'httpstcozykyfdgmj']",Mon Jul 09 17:54:25 +0000 2018,str8toace,ALLE,Allegion plc,https://twitter.com/i/web/status/1016380063581966338,False,5.764
656,1016447045622747100,"['eps', 'for', 'allegion', 'plc', 'alle', 'expected', 'at', 'httpstcoeutvoieale']",Mon Jul 09 22:20:35 +0000 2018,whatsonthorold2,ALLE,Allegion plc,https://www.whatsonthorold.com/2018/07/09/eps-for-allegion-plc-alle-expected-at-1-21/,False,5.22
657,1016447231933800400,"['eps', 'expected', 'for', 'allegion', 'plc', 'alle', 'httpstcoavlbpscm']",Mon Jul 09 22:21:19 +0000 2018,reurope_stock,ALLE,Allegion plc,https://reurope.com/2018/07/09/1-21-eps-expected-for-allegion-plc-alle/,False,5.326666666666667
658,1016447298795077600,"['eps', 'expected', 'for', 'allegion', 'plc', 'alle', 'httpstcorbbhzuwg']",Mon Jul 09 22:21:35 +0000 2018,bibeypost_stock,ALLE,Allegion plc,https://www.bibeypost.com/1-21-eps-expected-for-allegion-plc-alle/,False,5.326666666666667
887,1016611455372812300,"['allegion', 'alle', 'upgraded', 'by', 'zacks', 'investment', 'research', 'to', 'hold', 'httpstcohrrlmdtdp']",Tue Jul 10 09:13:53 +0000 2018,WatchlistN,ALLE,Allegion plc,http://zpr.io/6TwRy,False,5.493333333333333
888,1016612059847458800,"['allegion', 'alle', 'upgraded', 'by', 'zacks', 'investment', 'research', 'to', 'hold', 'httpstcohlehkxrtu']",Tue Jul 10 09:16:17 +0000 2018,TickerReport,ALLE,Allegion plc,http://tickerreport.com/?p=3626001,False,5.493333333333333
1245,1016719369211121700,"['earnings', 'per', 'share', 'expected', 'for', 'allegion', 'plc', 'alle', 'this', 'quarter', 'httpstcocynsblld']",Tue Jul 10 16:22:42 +0000 2018,WatchlistN,ALLE,Allegion plc,http://zpr.io/6TVbb,False,5.737500000000001
1246,1016719978060492800,"['zacks', 'brokerages', 'anticipate', 'allegion', 'plc', 'alle', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoxbcltqyz']",Tue Jul 10 16:25:07 +0000 2018,TickerReport,ALLE,Allegion plc,http://tickerreport.com/?p=3626748,False,5.851428571428571
1247,1016719981684383700,"['earnings', 'per', 'share', 'expected', 'for', 'allegion', 'plc', 'alle', 'this', 'quarter', 'httpstcozepnbpln']",Tue Jul 10 16:25:08 +0000 2018,MareaInformativ,ALLE,Allegion plc,http://www.mareainformativa.com/?p=417677,False,5.737500000000001
1345,1016746930100031500,"['ir', 'alle', 'httpstcoyaqmffkcm']",Tue Jul 10 18:12:13 +0000 2018,SeekingAlpha,ALLE,Allegion plc,https://seekingalpha.com/article/4186412-allegion-overlooked-wide-moat-former-spin?source=feed_f,False,4.949999999999999
1744,1016936907522048000,"['allegion', 'alle', 'raised', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcoomvzpac']",Wed Jul 11 06:47:07 +0000 2018,OlympiaReport,ALLE,Allegion plc,http://theolympiareport.com/?p=916484,False,5.634285714285714
1843,1016996089839353900,"['allegion', 'alle', 'rating', 'increased', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcorwrudqij']",Wed Jul 11 10:42:17 +0000 2018,MareaInformativ,ALLE,Allegion plc,http://www.mareainformativa.com/?p=421707,False,5.6
