,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
20485,1019570981239697400,"['amat', 'and', 'lrcx', 'as', 'mentioned', 'yesterday', 'trade', 'the', 'move', 'today', 'charts', 'coming', 'httpstcoydyxrhzcsd']",Wed Jul 18 13:13:59 +0000 2018,lcc007,AMAT,Applied Materials,https://stocktwits.com/lcc007/message/130530460,False,5.5311111111111115
20489,1019571071975125000,"['ways', 'to', 'trade', 'chip', 'stocks', 'into', 'earnings', 'amat', 'lrcx', 'klac', 'mu', 'wdc', 'nvda', 'intc', 'amd', 'stx', 'txn', 'httpstcoekgbkwjr', 'via', 'thestreet']",Wed Jul 18 13:14:20 +0000 2018,Sarge986,AMAT,Applied Materials,https://www.thestreet.com/investing/6-chip-stocks-to-trade-into-earnings-14654252,False,5.582222222222222
20494,1019571124093489200,"['ceinyseamexcamberenergy', 'premkt', 'soaring', 'on', 'approval', 'letter', 'amzn', 'tsla', 'wmt', 'tgt', 'nvda', 'spy', 'gld', 'httpstcoghrxsfpy']",Wed Jul 18 13:14:33 +0000 2018,Drugdoctor2014,AMAT,Applied Materials,https://twitter.com/i/web/status/1019571124093489152,False,5.68
20497,1019571194863841300,"['good', 'morning', 'traders', 'below', 'are', 'some', 'oi', 'changes', 'for', 'wednesday', 'call', 'msft', 'avp', 'arnc', 'luv', 'crc', 'fcau', 'ldos', 'httpstcoqpyzzsruk']",Wed Jul 18 13:14:50 +0000 2018,OptionsMamba,AMAT,Applied Materials,https://twitter.com/i/web/status/1019571194863841281,False,5.616666666666667
20500,1019571218591223800,"['amat', 'as', 'mentioned', 'coming', 'off', 'this', 'week', 'base', 'very', 'tradeable', 'even', 'within', 'this', 'range', 'httpstcorndhxgeh']",Wed Jul 18 13:14:55 +0000 2018,lcc007,AMAT,Applied Materials,,False,5.281666666666666
20518,1019571641582522400,"['recent', 'amat', 'technical', 'alerts', 'nonadx', 'bearish', 'plus', 'more', 'alerts', 'httpstcokiqficobcw']",Wed Jul 18 13:16:36 +0000 2018,SwingTradeBot,AMAT,Applied Materials,https://swingtradebot.com/equities/AMAT,False,5.984999999999999
20541,1019571893815238700,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'gww', 'ual']",Wed Jul 18 13:17:36 +0000 2018,mnttrust71,AMAT,Applied Materials,,False,5.322222222222222
20553,1019572174070452200,"['morning', 'watchlist', 'cbio', 'i', 'iq', 'amat', 'zsan', 'ual', 'nflx', 'izea', 'chfs', 'mdgs', 'myos', 'i', 'pzza', 'zyne', 'gpro', 'bbox', 'huya', 'httpstcodxdnacxoy']",Wed Jul 18 13:18:43 +0000 2018,SwingingForward,AMAT,Applied Materials,https://twitter.com/i/web/status/1019572174070452224,False,6.133333333333333
20579,1019572615630016500,"['amat', 'cant', 'benefit', 'that', 'much', 'from', 'good', 'asml', 'numbers', 'tbh']",Wed Jul 18 13:20:28 +0000 2018,volosh131,AMAT,Applied Materials,,False,5.648571428571429
20586,1019572885776560100,"['optionshawk', 'those', 'amat', 'calls', 'r', 'going', 'to', 'b', 'up', 'nicely', 'this', 'morning']",Wed Jul 18 13:21:33 +0000 2018,marcg359,AMAT,Applied Materials,,False,5.34888888888889
