,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
48,1016114043638112300,"['rt', 'tradesatoshi', 'amg', 'amgchain', 'will', 'be', 'delisted', 'from', 'tradesatoshi', 'the', 'devs', 'reset', 'the', 'blockchain', 'and', 'did', 'not', 'inform', 'us', 'causing', 'lo']",Mon Jul 09 00:17:21 +0000 2018,BogdanoffJr,AMG,Affiliated Managers Group,,False,5.191666666666666
113,1016211345136549900,"['analyzing', 'pjt', 'partners', 'pjt', 'amp', 'affiliated', 'managers', 'group', 'amg', 'httpstcovnrfgwabpw']",Mon Jul 09 06:43:59 +0000 2018,OlympiaReport,AMG,Affiliated Managers Group,http://theolympiareport.com/?p=912458,False,5.895
117,1016211959648268300,"['affiliated', 'managers', 'group', 'amg', 'versus', 'pjt', 'partners', 'pjt', 'critical', 'analysis', 'httpstcocpfxaxzyb']",Mon Jul 09 06:46:26 +0000 2018,WeekHerald,AMG,Affiliated Managers Group,http://weekherald.com/?p=2978286,False,5.326666666666667
206,1016278275155529700,"['amg', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcokuzcdqg', 'httpstcosuveiqcsh']",Mon Jul 09 11:09:56 +0000 2018,optioncharts,AMG,Affiliated Managers Group,http://maximum-pain.com/options/open-interest/AMG,False,5.5775
611,1016427949904580600,"['amg', 'preearnings', 'aggressive', 'bullish', 'trade', 'holding', 'multiple', 'time', 'frame', 'support', 'with', 'bullish', 'seasonality', 'amg', 'httpstcorndvhqifw']",Mon Jul 09 21:04:42 +0000 2018,ichimokutrading,AMG,Affiliated Managers Group,https://twitter.com/i/web/status/1016427949904580608,False,5.595
852,1016576140457041900,"['rt', 'tradesatoshi', 'amg', 'amgchain', 'will', 'be', 'delisted', 'from', 'tradesatoshi', 'the', 'devs', 'reset', 'the', 'blockchain', 'and', 'did', 'not', 'inform', 'us', 'causing', 'lo']",Tue Jul 10 06:53:33 +0000 2018,CryptoMoguMogu,AMG,Affiliated Managers Group,,False,5.191666666666666
928,1016630296106668000,"['weekly', 'investment', 'analysts', 'ratings', 'changes', 'for', 'affiliated', 'managers', 'group', 'amg', 'httpstcobpsjyqywa']",Tue Jul 10 10:28:45 +0000 2018,EnterpriseLeade,AMG,Affiliated Managers Group,http://theenterpriseleader.com/?p=976637,False,5.4175
1300,1016737098634649600,"['trend', 'reversal', 'up', 'alert', 'amg', 'affiliated', 'managers', 'group', 'tradeideas', 'via', 'httpstcovsrobzxj', 'to', 'free', 'trading', 'room']",Tue Jul 10 17:33:09 +0000 2018,AlertTrade,AMG,Affiliated Managers Group,http://AlertTrade.us,False,5.804
1510,1016793399071068200,"['amg', 'affiliated', 'managers', 'group', 'inc', 'sec', 'filing', 'form', 'httpstcokomwzptos']",Tue Jul 10 21:16:52 +0000 2018,StockTexts,AMG,Affiliated Managers Group,http://www.sec.gov/Archives/edgar/data/1004434/000117911018009594/xslF345X03/edgar.xml,False,5.203333333333333
1528,1016796218830319600,"['amg', 'new', 'insider', 'filing', 'on', 'executive', 'chairman', 'sean', 'm', 'healey', 'httpstcojdpqupexeu']",Tue Jul 10 21:28:04 +0000 2018,InsiderAlertsIA,AMG,Affiliated Managers Group,http://insideri.com/1195471_000117911018009594_0001179110-18-009594,False,5.522857142857143
