,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2876,1017313330732683300,"['billion', 'in', 'sales', 'expected', 'for', 'autonation', 'inc', 'an', 'this', 'quarter', 'httpstcoqzeopgtaq']",Thu Jul 12 07:42:53 +0000 2018,WatchlistN,AN,AutoNation,http://zpr.io/6a279,False,5.553333333333334
2889,1017316049866272800,"['have', 'you', 'heard', 'pull', 'the', 'trigger', 'feat', 'eni', 'an', 'antonio', 'by', 'dusty', 'shags', 'on', 'soundcloud', 'np', 'httpstcovqjbfjhig']",Thu Jul 12 07:53:41 +0000 2018,BiXunSn10,AN,AutoNation,https://soundcloud.com/dustyshags1/pull-the-trigger-feat-eni-an-antonio?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter,False,5.156666666666667
2899,1017321835388645400,"['head', 'to', 'head', 'survey', 'autonation', 'an', 'versus', 'carmax', 'kmx', 'httpstcolwqlgggvu']",Thu Jul 12 08:16:41 +0000 2018,TheMarketsDaily,AN,AutoNation,http://zpr.io/6a2xv,False,5.453333333333333
2902,1017326150635393000,"['autonation', 'an', 'cut', 'to', 'underweight', 'at', 'morgan', 'stanley', 'httpstcodsdxex']",Thu Jul 12 08:33:49 +0000 2018,dispatchtribune,AN,AutoNation,http://dispatchtribunal.com/?p=2048520,False,4.7700000000000005
3095,1017371387848282100,"['an', 'autonation', 'announces', 'second', 'quarter', 'earnings', 'conference', 'call', 'and', 'audio', 'webcast', 'scheduled', 'for', 'wednesd', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Thu Jul 12 11:33:35 +0000 2018,Allstocknews,AN,AutoNation,,False,5.5825
3214,1017397572615508000,"['autonation', 'an', 'rating', 'lowered', 'to', 'underweight', 'at', 'morgan', 'stanley', 'httpstcorwuizaa']",Thu Jul 12 13:17:38 +0000 2018,EnterpriseLeade,AN,AutoNation,http://theenterpriseleader.com/?p=981963,False,5.123333333333334
3363,1017415324491178000,"['nirxandin', 'dema', 'dikeve', 'dikirin', 'mna', 'eqelan', 'j', 'li', 'benda', 'bilindbna', 'bihay', 'an', 'disekinin']",Thu Jul 12 14:28:10 +0000 2018,Yaa_starr,AN,AutoNation,,False,4.826666666666667
3540,1017442504508149800,"['autonation', 'an', 'shares', 'gap', 'down', 'to', 'httpstcouvklwdh']",Thu Jul 12 16:16:10 +0000 2018,ThisLincolnian,AN,AutoNation,http://thelincolnianonline.com/?p=2179408,False,5.016
3714,1017468670749093900,"['a', 'bullish', 'big', 'mac', 'bullish', 'has', 'occurred', 'at', 'pm', 'jul', 'at', 'on', 'autonation', 'inc', 'an', 'an', 'want', 'to', 'earnregis', 'httpstcorxqkvb']",Thu Jul 12 18:00:09 +0000 2018,websofttechies,AN,AutoNation,https://twitter.com/i/web/status/1017468670749093888,False,5.2614285714285725
3992,1017513171752575000,"['an', 'autonation', 'inc', 'sec', 'filing', 'form', 'httpstcokorwukly']",Thu Jul 12 20:56:59 +0000 2018,StockTexts,AN,AutoNation,http://www.sec.gov/Archives/edgar/data/350698/000035069818000108/xslF345X03/wf-form4_153142867941426.xml,False,5.008
