,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
103,1016202059278938100,"['zacks', 'brokerages', 'anticipate', 'aon', 'plc', 'aon', 'will', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcozyqecpivs']",Mon Jul 09 06:07:05 +0000 2018,TheMarketsDaily,AON,Aon plc,http://zpr.io/6THva,False,5.803333333333334
127,1016218013132050400,"['aon', 'apollominerals', 'excellent', 'infrastructure', 'and', 'ground', 'conditions', 'confirmed', 'at', 'historical', 'salau', 'tungsten', 'mine', 'httpstcoexvmujfva']",Mon Jul 09 07:10:29 +0000 2018,Brand_UK,AON,Aon plc,http://www.branduk.net/apollo-minerals-excellent-infrastructure-and-ground-conditions-confirmed-at-historical-salau-tungsten-mine/,False,5.889999999999999
132,1016222146685698000,"['rt', 'branduk', 'aon', 'apollominerals', 'excellent', 'infrastructure', 'and', 'ground', 'conditions', 'confirmed', 'at', 'historical', 'salau', 'tungsten', 'mine', 'httpst']",Mon Jul 09 07:26:54 +0000 2018,BrandMultiComms,AON,Aon plc,,False,5.777777777777777
135,1016223348278333400,"['aon', 'apollominerals', 'provide', 'yet', 'more', 'compelling', 'evidence', 'that', 'salau', 'is', 'one', 'of', 'the', 'highest', 'quality', 'tungsten', 'mines', 'httpstcovtbzpymtp']",Mon Jul 09 07:31:41 +0000 2018,Alan__Green,AON,Aon plc,https://twitter.com/i/web/status/1016223348278333441,False,5.588333333333334
152,1016239030856450000,"['aon', 'apollo', 'minerals', 'confirms', 'excellent', 'infrastructure', 'and', 'ground', 'conditions', 'at', 'salau', 'mine', 'httpstcoowrrwgzlt']",Mon Jul 09 08:34:00 +0000 2018,proactive_au,AON,Aon plc,https://twitter.com/i/web/status/1016239030856450049,False,5.7733333333333325
207,1016279590749327400,"['aon', 'aon', 'cut', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcorxevlt']",Mon Jul 09 11:15:10 +0000 2018,EnterpriseLeade,AON,Aon plc,http://theenterpriseleader.com/?p=975172,False,5.213333333333334
282,1016308518285205500,"['recent', 'aon', 'technical', 'alerts', 'macd', 'bullish', 'signal', 'line', 'cross', 'plus', 'more', 'alerts', 'httpstcoduiovvbw']",Mon Jul 09 13:10:07 +0000 2018,SwingTradeBot,AON,Aon plc,https://swingtradebot.com/equities/AON,False,5.577142857142857
289,1016309757773115400,"['not', 'sure', 'what', 'to', 'do', 'with', 'aon', 'explore', 'our', 'fundamental', 'pros', 'and', 'cons', 'httpstcoirrksrsnv']",Mon Jul 09 13:15:03 +0000 2018,1MinuteStock,AON,Aon plc,https://unicornbay.com/t/AON.US?utm_medium=tweet&utm_campaign=notsureproscons&utm_source=twitter,False,5.484999999999999
354,1016333397491421200,"['aon', 'atabove', 'daysmad', 'cl', 'nearhi', 'alltfs', 'ch', 'medfltm', 'tlm', 'ilm', 'clop', 'rv', 'vl']",Mon Jul 09 14:48:59 +0000 2018,tymorapro,AON,Aon plc,,False,5.08
560,1016411475462811600,"['aon', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcolkeckrix']",Mon Jul 09 19:59:14 +0000 2018,optioncharts,AON,Aon plc,https://twitter.com/i/web/status/1016411475462811648,False,5.9975000000000005
801,1016535714668744700,"['mondays', 'highest', 'trading', 'range', 'compared', 'to', 'open', 'min', 'amp', 'vol', 'gt', 'k', 'bks', 'apc', 'httpstcopmibpvs']",Tue Jul 10 04:12:55 +0000 2018,15minofPham,AON,Aon plc,https://twitter.com/i/web/status/1016535714668744706,False,5.3566666666666665
983,1016652696722591700,"['earnings', 'per', 'share', 'expected', 'for', 'aon', 'plc', 'aon', 'this', 'quarter', 'httpstconihqywpnt']",Tue Jul 10 11:57:46 +0000 2018,ConsumerFeed,AON,Aon plc,http://zpr.io/6TSMT,False,5.840000000000001
1030,1016661945477410800,"['aon', 'technical', 'alerts', 'upside', 'dma', 'break', 'new', 'uptrend', 'crossed', 'above', 'dma', 'stochastic', 'reached', 'httpstcoduiovvbw']",Tue Jul 10 12:34:31 +0000 2018,SwingTradeBot,AON,Aon plc,https://swingtradebot.com/equities/AON,False,5.741428571428571
1389,1016756686269251600,"['aon', 'june', 'catastrophe', 'report', 'estimates', 'economic', 'losses', 'approaching', 'b', 'httpstcojwwqkwlzd', 'aon']",Tue Jul 10 18:50:59 +0000 2018,MarketCurrents,AON,Aon plc,https://seekingalpha.com/news/3369050-aon-june-catastrophe-report-estimates-economic-losses-approaching-4b?source=feed_f,False,4.974285714285713
