,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5559,1017881797886206000,"['robertclarkewm', 'wmcorpanalysis', 'wmalhittle', 'rtdukes', 'sounds', 'like', 'the', 'beginning', 'of', 'a', 'trend', 'anadarko', 'apc', 'just', 'ann', 'httpstcowqxbmqm']",Fri Jul 13 21:21:46 +0000 2018,anuj_goyal,APC,Anadarko Petroleum Corporation,https://twitter.com/i/web/status/1017881797886205953,False,5.66
5633,1017914806169489400,"['pypl', 'apc', 'kmb', 'options', 'have', 'the', 'largest', 'change', 'in', 'volume', 'free', 'options', 'screener', 'httpstcohyhlqawuq']",Fri Jul 13 23:32:56 +0000 2018,optioncharts,APC,Anadarko Petroleum Corporation,http://maximum-pain.com/screener/options-volume-change-screener,False,6.046666666666667
5729,1017959431244582900,"['rt', 'petenajarian', 'wow', 'what', 'a', 'morning', 'lost', 'internet', 'early', 'getting', 'ready', 'for', 'todays', 'last', 'meeting', 'no', 'halftimereport', 'for', 'me', 'today', 'soon', 'we']",Sat Jul 14 02:30:15 +0000 2018,TopNotch034,APC,Anadarko Petroleum Corporation,,False,5.574
5978,1018099946812256300,"['pypl', 'apc', 'kmb', 'options', 'have', 'the', 'largest', 'change', 'in', 'volume', 'free', 'options', 'screener', 'httpstcohyhlqawuq']",Sat Jul 14 11:48:37 +0000 2018,optioncharts,APC,Anadarko Petroleum Corporation,http://maximum-pain.com/screener/options-volume-change-screener,False,6.046666666666667
6043,1018118115945861100,"['were', 'analysts', 'bullish', 'anadarko', 'petroleum', 'corporation', 'apc', 'this', 'week', 'httpstcooroddfncf']",Sat Jul 14 13:00:49 +0000 2018,whatsonthorold2,APC,Anadarko Petroleum Corporation,https://www.whatsonthorold.com/2018/07/14/were-analysts-bullish-anadarko-petroleum-corporation-nyseapc-this-week/,False,4.8933333333333335
6045,1018118196853919700,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'anadarko', 'petroleum', 'corporation', 'apc', 'httpstcolsjnrwf']",Sat Jul 14 13:01:08 +0000 2018,mmahotstuff1,APC,Anadarko Petroleum Corporation,https://www.mmahotstuff.com/2018/07/14/can-analysts-adopt-a-bullish-outlook-for-anadarko-petroleum-corporation-nyseapc.html,False,5.340000000000001
6047,1018118481655554000,"['are', 'analysts', 'bullish', 'anadarko', 'petroleum', 'corporation', 'apc', 'after', 'last', 'week', 'httpstcotduzree']",Sat Jul 14 13:02:16 +0000 2018,bibeypost_stock,APC,Anadarko Petroleum Corporation,https://www.bibeypost.com/are-analysts-bullish-anadarko-petroleum-corporation-nyseapc-after-last-week-2/,False,4.774285714285715
6261,1018205605838893000,"['financial', 'survey', 'black', 'ridge', 'oil', 'amp', 'gas', 'anfc', 'vs', 'anadarko', 'petroleum', 'apc', 'httpstcobqqsmdllk']",Sat Jul 14 18:48:28 +0000 2018,MareaInformativ,APC,Anadarko Petroleum Corporation,http://www.mareainformativa.com/?p=438702,False,5.073333333333333
6312,1018213084685570000,"['httpstcofiemfycc', 'lt', 'must', 'read', 'before', 'buying', 'tim', 'sykes', 'stock', 'alerts', 'intc', 'bac', 'mu', 'apc', 'gild']",Sat Jul 14 19:18:11 +0000 2018,Sw1ng_Trader,APC,Anadarko Petroleum Corporation,https://bit.ly/2yXcQdc,False,5.52
7110,1018366848734244900,"['anadarko', 'petroleum', 'apc', 'price', 'target', 'raised', 'to', 'httpstcowgwozaia']",Sun Jul 15 05:29:11 +0000 2018,dispatchtribune,APC,Anadarko Petroleum Corporation,http://dispatchtribunal.com/?p=2053016,False,5.236
