,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
17228,1019389916508250100,"['benjaminasmith', 'midasletter', 'is', 'the', 'tsx', 'regulation', 'common', 'among', 'major', 'exchanges', 'remaining', 'ownership', 'of', 'lhs', 'httpstcokumnmpct']",Wed Jul 18 01:14:30 +0000 2018,Trade2Sail,APH,Amphenol Corporation,https://twitter.com/i/web/status/1019389916508250112,False,5.318
17339,1019398962439184400,"['wolfofweedst', 'canadapotstocks', 'mmjinvesting', 'realtheprophet', 'do', 'you', 'have', 'any', 'thoughts', 'on', 'the', 'scyb', 'aph', 'deal', 'seems', 'httpstcovnmrvhecj']",Wed Jul 18 01:50:26 +0000 2018,markraven12,APH,Amphenol Corporation,https://twitter.com/i/web/status/1019398962439184384,False,5.704444444444444
17473,1019408685867642900,"['join', 'us', 'to', 'get', 'premium', 'trading', 'signals', 'join', 'us', 'httpstcomgvnmztd', 'rf', 'eac', 'ace', 'chat', 'hst', 'xlm', 'kmi', 'httpstcoxjfdzue']",Wed Jul 18 02:29:05 +0000 2018,AmosPatterson13,APH,Amphenol Corporation,http://discord.gg/tXbaTxx,False,6.0672727272727265
17493,1019410145258897400,"['huge', 'coin', 'selection', 'low', 'fees', 'and', 'very', 'reliable', 'join', 'binance', 'register', 'for', 'bonus', 'httpstcosyjwfred', 'httpstcoonsqpodmsv']",Wed Jul 18 02:34:53 +0000 2018,evanalsop4864,APH,Amphenol Corporation,http://binance.com/?ref=10078236,False,5.724999999999999
17544,1019414530827407400,"['our', 'bot', 'on', 'discord', 'notifies', 'faster', 'than', 'crypto', 'tracker', 'bot', 'join', 'us', 'httpstcotcqihqwiir', 'iota', 'pay', 'httpstcoxxhglunzvy']",Wed Jul 18 02:52:18 +0000 2018,RicardoPark10,APH,Amphenol Corporation,http://discord.gg/tXbaTxx,False,5.79142857142857
17551,1019414964933742600,"['rt', 'ricardopark', 'our', 'bot', 'on', 'discord', 'notifies', 'faster', 'than', 'crypto', 'tracker', 'bot', 'join', 'us', 'httpstcotcqihqwiir', 'iota', 'pay', 'fcx', 'ji']",Wed Jul 18 02:54:02 +0000 2018,iotacoin_news,APH,Amphenol Corporation,http://discord.gg/tXbaTxx,False,5.677499999999999
17677,1019425707431260200,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcootuncdz', 'cofi', 'httpstcourwvngal']",Wed Jul 18 03:36:43 +0000 2018,oliverpaige625,APH,Amphenol Corporation,http://discord.gg/tXbaTxx,False,5.630714285714286
17837,1019438623094173700,"['kucoin', 'gives', 'out', 'dividends', 'for', 'holding', 'kucoin', 'shares', 'kcs', 'register', 'for', 'bonus', 'httpstcodrnsrqjof', 'bos', 'httpstcolgqxtacpat']",Wed Jul 18 04:28:02 +0000 2018,JosePerryman3,APH,Amphenol Corporation,http://kucoin.com/#/?r=E3aQNa,False,5.884444444444444
17865,1019443837419380700,"['trade', 'on', 'binance', 'with', 'discount', 'trading', 'fee', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'amb', 'ltc', 'pfe', 'httpstcoxoojeqys']",Wed Jul 18 04:48:45 +0000 2018,chloeball366,APH,Amphenol Corporation,http://binance.com/?ref=10078236,False,5.83111111111111
17954,1019451225560027100,"['coin', 'listings', 'pump', 'our', 'bot', 'detects', 'before', 'official', 'announcement', 'join', 'us', 'httpstcocotmebo', 'httpstcoihxxypvlxf']",Wed Jul 18 05:18:07 +0000 2018,RonaldF05176792,APH,Amphenol Corporation,http://discord.gg/tXbaTxx,False,5.6866666666666665
