,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4341,1017596269085233200,"['update', 'on', 'aprn', 'swing', 'currently', 'up', 'and', 'riding', 'strength', 'working', 'on', 'riding', 'winners', 'so', 'gonna', 'let', 'this', 'position', 'r', 'httpstcoszoiowgll']",Fri Jul 13 02:27:11 +0000 2018,JacobGErickson,APRN,Blue Apron Holdings,https://twitter.com/i/web/status/1017596269085233152,False,5.766666666666667
4403,1017620274471026700,"['call', 'of', 'the', 'day', 'come', 'check', 'us', 'out', 'gt', 'httpstcoqkicinqtv', 'staf', 'abus', 'cntf', 'sogo', 'iq', 'i', 'jagx', 'mdb', 'ango', 'httpstcoircfoey']",Fri Jul 13 04:02:34 +0000 2018,StocksThatGo,APRN,Blue Apron Holdings,http://noremacnewelltrading.com,False,5.552
4463,1017639278493519900,"['blue', 'apron', 'aprn', 'shares', 'gap', 'down', 'following', 'analyst', 'downgrade', 'httpstcoybwmwws']",Fri Jul 13 05:18:05 +0000 2018,OlympiaReport,APRN,Blue Apron Holdings,http://theolympiareport.com/?p=921352,False,5.31
4468,1017639985665765400,"['blue', 'apron', 'aprn', 'shares', 'gap', 'down', 'following', 'analyst', 'downgrade', 'httpstcoaetogwjh']",Fri Jul 13 05:20:54 +0000 2018,dispatchtribune,APRN,Blue Apron Holdings,http://dispatchtribunal.com/?p=2050651,False,5.31
4475,1017642339660005400,"['call', 'of', 'the', 'day', 'staf', 'abus', 'cntf', 'sogo', 'iq', 'i', 'jagx', 'mdb', 'ango', 'plug', 'atnm', 'pavm', 'rhe', 'akrx', 'izea', 'kiq', 'aprn', 'httpstcotdschswxu']",Fri Jul 13 05:30:15 +0000 2018,StocksThatGo,APRN,Blue Apron Holdings,https://twitter.com/i/web/status/1017642339660005376,False,5.5
4724,1017727599034765300,"['premarket', 'top', 'gainers', 'pixy', 'obsv', 'lmfa', 'mtsl', 'snes', 'imgn', 'glmd', 'hmi', 'mfgp', 'mysz', 'uxin', 'aprn', 'bkep', 'httpstconfehpbai']",Fri Jul 13 11:09:02 +0000 2018,Super1NYC,APRN,Blue Apron Holdings,https://twitter.com/i/web/status/1017727599034765312,False,6.76
4726,1017727728072777700,"['rt', 'supernyc', 'premarket', 'top', 'gainers', 'pixy', 'obsv', 'lmfa', 'mtsl', 'snes', 'imgn', 'glmd', 'hmi', 'mfgp', 'mysz', 'uxin', 'aprn', 'bkep', 'vstm', 'pstg']",Fri Jul 13 11:09:33 +0000 2018,GKesarios,APRN,Blue Apron Holdings,,False,5.82
4734,1017728775688204300,"['rt', 'supernyc', 'premarket', 'top', 'gainers', 'pixy', 'obsv', 'lmfa', 'mtsl', 'snes', 'imgn', 'glmd', 'hmi', 'mfgp', 'mysz', 'uxin', 'aprn', 'bkep', 'vstm', 'pstg']",Fri Jul 13 11:13:43 +0000 2018,Traderideas1,APRN,Blue Apron Holdings,,False,5.82
4737,1017730431653990400,"['rt', 'supernyc', 'premarket', 'top', 'gainers', 'pixy', 'obsv', 'lmfa', 'mtsl', 'snes', 'imgn', 'glmd', 'hmi', 'mfgp', 'mysz', 'uxin', 'aprn', 'bkep', 'vstm', 'pstg']",Fri Jul 13 11:20:18 +0000 2018,buildwealth16,APRN,Blue Apron Holdings,,False,5.82
4756,1017734127297019900,"['rt', 'supernyc', 'premarket', 'top', 'gainers', 'pixy', 'obsv', 'lmfa', 'mtsl', 'snes', 'imgn', 'glmd', 'hmi', 'mfgp', 'mysz', 'uxin', 'aprn', 'bkep', 'vstm', 'pstg']",Fri Jul 13 11:34:59 +0000 2018,trading2018,APRN,Blue Apron Holdings,,False,5.82
4822,1017747678287937500,"['rt', 'supernyc', 'premarket', 'top', 'gainers', 'pixy', 'obsv', 'lmfa', 'mtsl', 'snes', 'imgn', 'glmd', 'hmi', 'mfgp', 'mysz', 'uxin', 'aprn', 'bkep', 'vstm', 'pstg']",Fri Jul 13 12:28:49 +0000 2018,BelisleBrian,APRN,Blue Apron Holdings,,False,5.82
4829,1017748611885649900,"['pm', 'price', 'ampor', 'vol', 'leaders', 'aoamest', 'adxs', 'pixy', 'aipt', 'cei', 'snes', 'bioc', 'gogo', 'glmd', 'hmny', 'aprn', 'httpstcoeydptkdefj']",Fri Jul 13 12:32:32 +0000 2018,mchaudhry82,APRN,Blue Apron Holdings,,False,5.475
4846,1017751862827716600,"['pre', 'market', 'movers', 'adxs', 'gogo', 'hmny', 'aipt', 'bioc', 'aprn', 'cei', 'glmd', 'pixy', 'snes']",Fri Jul 13 12:45:27 +0000 2018,TopStockAlerts1,APRN,Blue Apron Holdings,,False,5.71
4894,1017757744823259100,"['aprn', 'httpstcolkxbboqdq']",Fri Jul 13 13:08:50 +0000 2018,WallStJesus,APRN,Blue Apron Holdings,,False,0.0
4895,1017757879145812000,"['rt', 'wallstjesus', 'aprn', 'httpstcolkxbboqdq']",Fri Jul 13 13:09:22 +0000 2018,contrarianduck_,APRN,Blue Apron Holdings,,False,4.88
4908,1017759727520895000,"['premarket', 'top', 'gainers', 'pixy', 'adxs', 'aipt', 'bioc', 'cei', 'snes', 'glmd', 'gogo', 'obsv', 'mysz', 'wwe', 'atos', 'vstm', 'httpstcoqjxwyih']",Fri Jul 13 13:16:42 +0000 2018,Super1NYC,APRN,Blue Apron Holdings,https://twitter.com/i/web/status/1017759727520894976,False,6.76
4913,1017760054924206100,"['rt', 'supernyc', 'premarket', 'top', 'gainers', 'pixy', 'adxs', 'aipt', 'bioc', 'cei', 'snes', 'glmd', 'gogo', 'obsv', 'mysz', 'wwe', 'atos', 'vstm', 'uxin', 'tndm']",Fri Jul 13 13:18:00 +0000 2018,f8d1435,APRN,Blue Apron Holdings,,False,5.82
