,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
41,1016104193994772500,"['avb', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoyswypvl', 'httpstcogylnjkc']",Sun Jul 08 23:38:12 +0000 2018,optioncharts,AVB,AvalonBay Communities,http://maximum-pain.com/options/max-pain/AVB,False,4.680000000000001
754,1016509202292932600,"['zacks', 'analysts', 'expect', 'avalonbay', 'communities', 'inc', 'avb', 'will', 'announce', 'quarterly', 'sales', 'of', 'million', 'httpstconcqskrdq']",Tue Jul 10 02:27:34 +0000 2018,EnterpriseLeade,AVB,AvalonBay Communities,http://theenterpriseleader.com/?p=976319,False,5.643999999999999
757,1016509582028484600,"['million', 'in', 'sales', 'expected', 'for', 'avalonbay', 'communities', 'inc', 'avb', 'this', 'quarter', 'httpstcoqhoiwykb']",Tue Jul 10 02:29:04 +0000 2018,dispatchtribune,AVB,AvalonBay Communities,http://dispatchtribunal.com/?p=2043499,False,5.660000000000001
760,1016510294997205000,"['brokerages', 'anticipate', 'avalonbay', 'communities', 'inc', 'avb', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcovdewwxvop']",Tue Jul 10 02:31:54 +0000 2018,TranscriptDaily,AVB,AvalonBay Communities,http://zpr.io/6TuQR,False,5.8275
1274,1016726921919410200,"['eps', 'for', 'avalonbay', 'communities', 'inc', 'avb', 'expected', 'at', 'httpstcoxiwhumpg']",Tue Jul 10 16:52:42 +0000 2018,The_CasualSmart,AVB,AvalonBay Communities,https://thecasualsmart.com/2018/07/10/eps-for-avalonbay-communities-inc-avb-expected-at-2-20-2/,False,5.308
1380,1016754298468913200,"['avb', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcoqiecjkrpm']",Tue Jul 10 18:41:29 +0000 2018,optioncharts,AVB,AvalonBay Communities,https://twitter.com/i/web/status/1016754298468913152,False,5.9975000000000005
3503,1017435133148876800,"['icm', 'asset', 'management', 'has', 'lifted', 'by', 'its', 'ascena', 'retail', 'group', 'asna', 'holding', 'avalonbay', 'communities', 'avb', 'sent', 'httpstcodwjmnmz']",Thu Jul 12 15:46:53 +0000 2018,beyond_ninety,AVB,AvalonBay Communities,https://twitter.com/i/web/status/1017435133148876806,False,5.592727272727273
4963,1017768296287031300,"['is', 'there', 'a', 'bearish', 'outlook', 'for', 'avalonbay', 'communities', 'inc', 'avb', 'this', 'week', 'httpstcofwnneey']",Fri Jul 13 13:50:45 +0000 2018,reurope_stock,AVB,AvalonBay Communities,https://reurope.com/2018/07/13/is-there-a-bearish-outlook-for-avalonbay-communities-inc-nyseavb-this-week/,False,5.271111111111111
4964,1017768443930644500,"['how', 'many', 'avalonbay', 'communities', 'inc', 'avbs', 'analysts', 'are', 'bullish', 'httpstcogtbnuihg']",Fri Jul 13 13:51:20 +0000 2018,bibeypost_stock,AVB,AvalonBay Communities,https://www.bibeypost.com/how-many-avalonbay-communities-inc-nyseavbs-analysts-are-bullish/,False,5.226666666666667
6769,1018295998597255200,"['avb', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoyswypvl', 'httpstcoxhprbuggmf']",Sun Jul 15 00:47:39 +0000 2018,optioncharts,AVB,AvalonBay Communities,http://maximum-pain.com/options/max-pain/AVB,False,4.888
