,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8492,1018573855940476900,"['rt', 'financialbuzz', 'watch', 'us', 'report', 'live', 'from', 'the', 'floor', 'of', 'the', 'nyse', 'this', 'weeks', 'weekly', 'wrapup', 'includes', 'ayi', 'azz', 'tsla', 'acxm', 'sdrl', 'ipg', 'mu']",Sun Jul 15 19:11:46 +0000 2018,gabriel40729763,AYI,Acuity Brands,,False,5.341333333333334
8499,1018575701270769700,"['rt', 'financialbuzz', 'watch', 'us', 'report', 'live', 'from', 'the', 'floor', 'of', 'the', 'nyse', 'this', 'weeks', 'weekly', 'wrapup', 'includes', 'ayi', 'azz', 'tsla', 'acxm', 'sdrl', 'ipg', 'mu']",Sun Jul 15 19:19:06 +0000 2018,enolaglaser2,AYI,Acuity Brands,,False,5.341333333333334
8500,1018575797001556000,"['rt', 'financialbuzz', 'watch', 'us', 'report', 'live', 'from', 'the', 'floor', 'of', 'the', 'nyse', 'this', 'weeks', 'weekly', 'wrapup', 'includes', 'ayi', 'azz', 'tsla', 'acxm', 'sdrl', 'ipg', 'mu']",Sun Jul 15 19:19:28 +0000 2018,rosemar95061418,AYI,Acuity Brands,,False,5.341333333333334
8554,1018585435096768500,"['rt', 'financialbuzz', 'watch', 'us', 'report', 'live', 'from', 'the', 'floor', 'of', 'the', 'nyse', 'this', 'weeks', 'weekly', 'wrapup', 'includes', 'ayi', 'azz', 'tsla', 'acxm', 'sdrl', 'ipg', 'mu']",Sun Jul 15 19:57:46 +0000 2018,stormysterlin13,AYI,Acuity Brands,,False,5.341333333333334
8555,1018585587740217300,"['rt', 'financialbuzz', 'watch', 'us', 'report', 'live', 'from', 'the', 'floor', 'of', 'the', 'nyse', 'this', 'weeks', 'weekly', 'wrapup', 'includes', 'ayi', 'azz', 'tsla', 'acxm', 'sdrl', 'ipg', 'mu']",Sun Jul 15 19:58:23 +0000 2018,carlene72320400,AYI,Acuity Brands,,False,5.341333333333334
9100,1018797909297586200,"['acuity', 'brands', 'inc', 'ayi', 'will', 'be', 'paying', 'shareholders', 'dividends', 'of', 'on', 'aug', 'httpstcoaqhvpjwdkj']",Mon Jul 16 10:02:04 +0000 2018,whatsonthorold2,AYI,Acuity Brands,https://www.whatsonthorold.com/2018/07/16/acuity-brands-inc-nyseayi-will-be-paying-shareholders-dividends-of-0-13-on-aug-1-2018/,False,5.49
9102,1018798017179213800,"['will', 'aug', 'be', 'the', 'day', 'acuity', 'brands', 'inc', 'ayi', 'makes', 'dividends', 'of', 'httpstcoxltasunw']",Mon Jul 16 10:02:30 +0000 2018,mmahotstuff1,AYI,Acuity Brands,https://www.mmahotstuff.com/2018/07/16/will-aug-1-2018-be-the-day-acuity-brands-inc-nyseayi-makes-dividends-of-0-13.html,False,5.546
9104,1018798193541353500,"['acuity', 'brands', 'inc', 'ayi', 'dividends', 'will', 'reach', 'on', 'aug', 'and', 'this', 'is', 'why', 'httpstcoppozdrcob']",Mon Jul 16 10:03:12 +0000 2018,reurope_stock,AYI,Acuity Brands,https://reurope.com/2018/07/16/acuity-brands-inc-nyseayi-dividends-will-reach-0-13-on-aug-1-2018-and-this-is-why/,False,5.4363636363636365
9106,1018798292409430000,"['acuity', 'brands', 'inc', 'ayi', 'expected', 'to', 'pay', 'on', 'aug', 'httpstcoqwmvofvxc']",Mon Jul 16 10:03:35 +0000 2018,bibeypost_stock,AYI,Acuity Brands,https://www.bibeypost.com/acuity-brands-inc-nyseayi-expected-to-pay-0-13-on-aug-1-2018/,False,5.354285714285715
9350,1018818672415174700,"['ex', 'div', 'tomorrow', 'adnt', 'ayi', 'cl', 'tastytrade']",Mon Jul 16 11:24:34 +0000 2018,Tony_BATtista,AYI,Acuity Brands,,False,5.18
9403,1018824664259416000,"['rt', 'tonybattista', 'ex', 'div', 'tomorrow', 'adnt', 'ayi', 'cl', 'tastytrade']",Mon Jul 16 11:48:23 +0000 2018,abcbrady,AYI,Acuity Brands,,False,5.079999999999999
10099,1018867417693507600,"['acuity', 'brands', 'inc', 'ayi', 'to', 'issue', 'quarterly', 'dividend', 'of', 'on', 'august', 'st', 'httpstcoxrujgwfuw']",Mon Jul 16 14:38:16 +0000 2018,ledgerzette,AYI,Acuity Brands,http://ledgergazette.com/?p=2829419,False,5.220000000000001
10639,1018898080396075000,"['acuity', 'brands', 'goes', 'exdividend', 'tomorrow', 'httpstcoisftkttlsr', 'ayi']",Mon Jul 16 16:40:07 +0000 2018,MarketCurrents,AYI,Acuity Brands,https://seekingalpha.com/news/3370368-acuity-brands-goes-ex-dividend-tomorrow?source=feed_f,False,5.733333333333333
14636,1019250374971183100,"['dividend', 'todayp', 'adnt', 'aft', 'aif', 'apog', 'atda', 'atdb', 'ayi', 'cca', 'cdc', 'cdl', 'cen', 'cey', 'cez', 'cfa', 'cfo', 'cid', 'cif', 'cil', 'httpstcoypouyxxsu']",Tue Jul 17 16:00:00 +0000 2018,MITickWatcher,AYI,Acuity Brands,https://twitter.com/i/web/status/1019250374971183106,False,5.9
25736,1019681930038726700,"['acuity', 'brands', 'inc', 'ayi', 'sellers', 'covered', 'of', 'their', 'shorts', 'httpstcodzjdi']",Wed Jul 18 20:34:51 +0000 2018,Fanob_stock,AYI,Acuity Brands,http://fanob.com/2018/07/18/acuity-brands-inc-holding-company-nyseayi-sellers-covered-1-23-of-their-shorts/,False,5.400000000000001
25770,1019682414640222200,"['acuity', 'brands', 'inc', 'ayi', 'shorts', 'decreased', 'by', 'after', 'short', 'covering', 'httpstcomcghtdrx']",Wed Jul 18 20:36:47 +0000 2018,bibeypost_stock,AYI,Acuity Brands,https://www.bibeypost.com/acuity-brands-inc-holding-company-nyseayi-shorts-decreased-by-1-23-after-short-covering/,False,4.98
26648,1019697810105565200,"['ah', 'price', 'ampor', 'vol', 'leaders', 'aopmest', 'ndls', 'gst', 'csco', 'enb', 'bhlb', 'inpx', 'ayi', 'ibm', 'gsat', 'cmc', 'dpw', 'tgtx', 'httpstcogtjspuybb']",Wed Jul 18 21:37:57 +0000 2018,mchaudhry82,AYI,Acuity Brands,,False,5.4719999999999995
