,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
21749,1019597217848483800,"['lmt', 'sld', 'c', 'overnight', 'of', 'next', 'up', 'is', 'ba', 'httpstcofyaneztoxk']",Wed Jul 18 14:58:14 +0000 2018,OphirGottlieb,BA,The Boeing Company,https://twitter.com/OphirGottlieb/status/1019295617816801280,True,5.262857142857143
21815,1019598037704994800,"['stocknerds', 'im', 'live', 'central', 'with', 'mikelsevere', 'on', 'owhbottomline', 'so', 'much', 'to', 'discuss', 'nflx', 'back', 'to', 'rec', 'httpstcoszhnjnqre']",Wed Jul 18 15:01:30 +0000 2018,TJReazor,BA,The Boeing Company,https://twitter.com/i/web/status/1019598037704994816,False,5.5145454545454555
21828,1019598227346092000,"['the', 'best', 'dow', 'stocks', 'of', 'so', 'far', 'themotleyfool', 'stocks', 'ba', 'unh', 'v', 'nke', 'msft', 'httpstcomkyfieey']",Wed Jul 18 15:02:15 +0000 2018,TMFMathGuy,BA,The Boeing Company,https://www.fool.com/investing/2018/07/18/the-5-best-dow-stocks-of-2018-so-far.aspx,False,5.136
21838,1019598433173364700,"['ba', 'even']",Wed Jul 18 15:03:04 +0000 2018,cnbctickers,BA,The Boeing Company,,False,5.13
21869,1019599139531841500,"['morning', 'price', 'volume', 'leaders', 'amzn', 'nflx', 'aapl', 'baba', 'bac', 'brkb', 'mu', 'ba', 'iq', 'fb', 'msft', 'googl', 'see', 'the', 'full', 'list', 'at', 'httpstcofnfefykz']",Wed Jul 18 15:05:52 +0000 2018,Barchart,BA,The Boeing Company,https://twitter.com/i/web/status/1019599139531841541,True,5.511666666666667
21878,1019599292980396000,"['ba', 'over', 'yesterday', 'high']",Wed Jul 18 15:06:29 +0000 2018,newbieHH,BA,The Boeing Company,,False,5.28
21893,1019599791284719600,"['rt', 'tmfmathguy', 'the', 'best', 'dow', 'stocks', 'of', 'so', 'far', 'themotleyfool', 'stocks', 'ba', 'unh', 'v', 'nke', 'msft', 'httpstcomkyfieey']",Wed Jul 18 15:08:28 +0000 2018,financialway,BA,The Boeing Company,https://www.fool.com/investing/2018/07/18/the-5-best-dow-stocks-of-2018-so-far.aspx,False,5.112727272727272
21937,1019600738144510000,"['rt', 'carlquintanilla', 'ba', 'httpstcowfwtrwv']",Wed Jul 18 15:12:13 +0000 2018,cinamitch,BA,The Boeing Company,https://twitter.com/W7VOA/status/1019594629346463744,False,4.779999999999999
21960,1019601400068804600,"['rt', 'dannystewart', 'stocknerds', 'will', 'we', 'get', 'a', 'follow', 'through', 'friday', 'in', 'the', 'markets', 'some', 'actionable', 'stocks', 'to', 'research', 'httpstcogz']",Wed Jul 18 15:14:51 +0000 2018,DanCfa,BA,The Boeing Company,,False,5.666666666666667
22057,1019603610328535000,"['ba', 'clancy', 'grab', 'the', 'boys', 'and', 'surround', 'the', 'house', 'were', 'looking', 'for', 'a', 'breakout', 'httpstcoyrycmhi']",Wed Jul 18 15:23:38 +0000 2018,Quarry_Rock,BA,The Boeing Company,,False,5.343333333333333
22166,1019605782709534700,"['rt', 'quarryrock', 'ba', 'clancy', 'grab', 'the', 'boys', 'and', 'surround', 'the', 'house', 'were', 'looking', 'for', 'a', 'breakout', 'httpstcoyrycmhi']",Wed Jul 18 15:32:16 +0000 2018,MicroCapEquity,BA,The Boeing Company,,False,5.307692307692307
22251,1019608127958868000,"['ba', 'holding', 'my', 'call', 'spreads', 'through', 'friday', 'this', 'puppy', 'going', 'to', 'give', 'me', 'complete', 'fills', 'for', 'the', 'holding', 't', 'httpstcomwxlpmlykh']",Wed Jul 18 15:41:35 +0000 2018,secretagent00,BA,The Boeing Company,https://stocktwits.com/secrettrader00/message/130561760,False,5.767222222222223
22255,1019608232912973800,"['ba', 'eadsy', 'boeing', 'leads', 'airbus', 'at', 'farnborough', 'piles', 'on', 'more', 'big', 'orders', 'air', 'force', 'one', 'deal', 'finalized', 'httpstcoffyvqjlgjk']",Wed Jul 18 15:42:00 +0000 2018,newswelldone,BA,The Boeing Company,https://www.StockNewsWires.com/ba-eadsy-boeing-leads-airbus-at-farnborough-piles-on-more-big-orders-air-force-one-deal-finalized/,False,5.471666666666667
22321,1019609620241842200,"['nydoughpro', 'same', 'with', 'ba', 'bkng', 'sputtering', 'rocket', 'engines', 'httpstcoqhbnryml']",Wed Jul 18 15:47:31 +0000 2018,smohan0,BA,The Boeing Company,,False,5.535
22370,1019610365435363300,"['jeradoptiontra', 'thank', 'you', 'jerad', 'nflx', 'yesterday', 'ba', 'today', 'only', 'in', 'httpstcoiwyjtken']",Wed Jul 18 15:50:29 +0000 2018,AjAwesomecalls,BA,The Boeing Company,http://Awesomecalls.com,False,5.7057142857142855
22591,1019614911708717000,"['transports', 'having', 'a', 'monster', 'day', 'courtesy', 'of', 'ba', 'getting', 'the', 'air', 'force', 'contract', 'and', 'good', 'es', 'from', 'csx', 'last', 'nigh', 'httpstcoorffzbwyp']",Wed Jul 18 16:08:33 +0000 2018,kiwitrader24,BA,The Boeing Company,https://twitter.com/i/web/status/1019614911708717057,False,5.302352941176471
22751,1019617732780855300,"['the', 'best', 'dow', 'stocks', 'of', 'so', 'far', 'httpstcoixksqzwim', 'nke', 'msft', 'unh', 'v', 'ba', 'httpstcowqtpdp']",Wed Jul 18 16:19:45 +0000 2018,JorelLaraKalel,BA,The Boeing Company,http://bit.ly/2zLKO4G,False,5.111111111111112
22852,1019619956969955300,"['batscientist', 'hit', 'ba', 'twice', 'today', 'for', 'and', 'yet', 'lost', 'on', 'a', 'spy', 'putkeep', 'moving', 'forward']",Wed Jul 18 16:28:36 +0000 2018,JeffThayer4,BA,The Boeing Company,,False,5.0369230769230775
22966,1019622804306587600,"['sarge', 'oliviabvoz', 'you', 'know', 'my', 'calls', 'are', 'in', 'ba', 'httpstcoemfvvhu']",Wed Jul 18 16:39:54 +0000 2018,slowmohockey,BA,The Boeing Company,https://twitter.com/BoeingDefense/status/1019619113071730688,False,5.6085714285714285
22977,1019622997961867300,"['rt', 'slowmohockey', 'sarge', 'oliviabvoz', 'you', 'know', 'my', 'calls', 'are', 'in', 'ba', 'httpstcoemfvvhu']",Wed Jul 18 16:40:41 +0000 2018,Sarge986,BA,The Boeing Company,https://twitter.com/BoeingDefense/status/1019619113071730688,False,5.517499999999999
23020,1019623982679461900,"['romanian', 'air', 'force', 'picks', 'ba', 's', 'subsidiary', 'tapestry', 'solutions', 'to', 'modernize', 'maintenance', 'for', 'its', 'f', 'fighter', 'jets', 'httpstcokotxtbsh']",Wed Jul 18 16:44:35 +0000 2018,hotpennyalerts,BA,The Boeing Company,http://crweworld.com/article/news-provided-by-pr-newswire/740217/romanian-air-force-selects-boeing-subsidiary-tapestry-solutions-to-modernize-maintenance-for-its-f-16-fighter-jets,False,5.1571428571428575
23064,1019624902415052800,"['usairforce', 'formalizes', 'b', 'boeing', 'ba', 'contract', 'for', 'presidential', 'aircraft', 'govcon', 'httpstcoozdfwoohk']",Wed Jul 18 16:48:15 +0000 2018,GovConWire,BA,The Boeing Company,https://www.govconwire.com/2018/07/usaf-formalizes-3-9b-boeing-contract-for-2-presidential-planes/,False,5.3428571428571425
23069,1019625083600621600,"['boeing', 'ba', 'is', 'pitching', 'the', 'us', 'a', 'new', 'f', 'using', 'its', 'super', 'hornet', 'game', 'plan', 'via', 'defenseone', 'httpstcobqfudzs']",Wed Jul 18 16:48:58 +0000 2018,InsiderChl,BA,The Boeing Company,https://www.defenseone.com/business/2018/07/boeing-pitching-new-f-15-using-its-super-hornet-game-plan/149839/,False,5.628
23139,1019626427392626700,"['rt', 'slowmohockey', 'sarge', 'oliviabvoz', 'you', 'know', 'my', 'calls', 'are', 'in', 'ba', 'httpstcoemfvvhu']",Wed Jul 18 16:54:18 +0000 2018,LaurieInMadison,BA,The Boeing Company,https://twitter.com/BoeingDefense/status/1019619113071730688,False,5.517499999999999
23298,1019629959952912400,"['rt', 'absurdcomrade', 'peaceisrighthya', 'wgeary', 'delshade', 'sipriorg', 'us', 'is', 'an', 'unparalleled', 'case', 'where', 'the', 'state', 'military', 'apparatus', 'functions', 'in']",Wed Jul 18 17:08:20 +0000 2018,absurdcomrade,BA,The Boeing Company,,False,5.2716666666666665
23323,1019630482647076900,"['rt', 'barchart', 'morning', 'price', 'volume', 'leaders', 'amzn', 'nflx', 'aapl', 'baba', 'bac', 'brkb', 'mu', 'ba', 'iq', 'fb', 'msft', 'googl', 'see', 'the', 'full', 'list', 'at', 'httpst']",Wed Jul 18 17:10:25 +0000 2018,edjaworska,BA,The Boeing Company,,False,5.4630769230769225
23336,1019630839439638500,"['boeing', 'in', 'talks', 'with', 'others', 'over', 'german', 'helicopter', 'deal', 'reuters', 'httpstcolpowearc', 'eadsy', 'ba']",Wed Jul 18 17:11:50 +0000 2018,MarketCurrents,BA,The Boeing Company,https://seekingalpha.com/news/3371146-boeing-talks-others-german-helicopter-deal-reuters?source=feed_f,False,5.3839999999999995
23465,1019633720691527700,"['ba', 'httpstcomsiqsbg']",Wed Jul 18 17:23:17 +0000 2018,autistictrader,BA,The Boeing Company,https://twitter.com/reutersbiz/status/1019632162721746944,False,4.68
23513,1019634579735445500,"['ba', 'back', 'at', 'highs']",Wed Jul 18 17:26:42 +0000 2018,TradeWithNinja,BA,The Boeing Company,,False,4.92
