,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
17778,1019433966493937700,"['headtohead', 'contrast', 'endologix', 'elgx', 'versus', 'baxter', 'international', 'bax', 'httpstcoqngcmusi']",Wed Jul 18 04:09:32 +0000 2018,ConsumerFeed,BAX,Baxter International Inc.,http://zpr.io/6Xizq,False,5.433333333333334
17783,1019434173805850600,"['headtohead', 'contrast', 'endologix', 'elgx', 'versus', 'baxter', 'international', 'bax', 'httpstcojylpcvc']",Wed Jul 18 04:10:21 +0000 2018,MareaInformativ,BAX,Baxter International Inc.,http://www.mareainformativa.com/?p=465923,False,5.433333333333334
17910,1019448779894853600,"['coin', 'listings', 'pump', 'our', 'bot', 'detects', 'before', 'official', 'announcement', 'join', 'us', 'httpstcoirbfumt', 'httpstcobvrqkric']",Wed Jul 18 05:08:24 +0000 2018,Michael40684539,BAX,Baxter International Inc.,http://discord.gg/tXbaTxx,False,5.6866666666666665
17933,1019450428365459500,"['binance', 'fees', 'are', 'x', 'less', 'than', 'bittrex', 'register', 'for', 'bonus', 'httpstcosaisnxjbb', 'omg', 'fcx', 'lsk', 'doge', 'httpstcomypig']",Wed Jul 18 05:14:57 +0000 2018,danhodges4591,BAX,Baxter International Inc.,http://binance.com/?ref=10078236,False,5.095555555555555
18151,1019465011310334000,"['free', 'chrome', 'extension', 'to', 'hide', 'tweets', 'that', 'overshill', 'crypto', 'cash', 'tags', 'amp', 'promote', 'groups', 'httpstcodaoxbwqqj', 'no', 'httpstcolmkoqghpo']",Wed Jul 18 06:12:54 +0000 2018,shillkill_fan,BAX,Baxter International Inc.,http://www.shillkill.com,False,5.663333333333334
18160,1019465750464081900,"['trade', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'on', 'trading', 'fees', 'register', 'for', 'bonus', 'httpstcodcqftjfxzq', 'httpstcoiiyhfchrt']",Wed Jul 18 06:15:50 +0000 2018,jesse_vallejo,BAX,Baxter International Inc.,http://binance.com/?ref=10078236,False,5.789090909090908
18333,1019478252514103300,"['cnbcfastmoney', 'coinbase', 'babb', 'bax']",Wed Jul 18 07:05:31 +0000 2018,IQCrypto,BAX,Baxter International Inc.,,False,0.0
18637,1019498986107998200,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcoshpgm']",Wed Jul 18 08:27:54 +0000 2018,oliverpaige625,BAX,Baxter International Inc.,https://twitter.com/i/web/status/1019498986107998208,False,5.699999999999999
18856,1019514741952262100,"['brokerages', 'expect', 'baxter', 'international', 'inc', 'bax', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcosenvkqj']",Wed Jul 18 09:30:30 +0000 2018,ZolmaxNews,BAX,Baxter International Inc.,http://zolmax.com/?p=2389365,False,5.8999999999999995
18882,1019515843183562800,"['free', 'chrome', 'extension', 'to', 'hide', 'tweets', 'that', 'overshill', 'crypto', 'cash', 'tags', 'amp', 'promote', 'groups', 'httpstcodaoxbwqqj', 'no', 'httpstcoxqnfejsh']",Wed Jul 18 09:34:53 +0000 2018,shillkill_fan,BAX,Baxter International Inc.,http://www.shillkill.com,False,5.663333333333334
18917,1019519591154929700,"['best', 'and', 'cheapest', 'exchange', 'to', 'trade', 'crypto', 'check', 'it', 'out', 'register', 'for', 'bonus', 'httpstcoufiwnbk', 'wfc', 'httpstcozjenrkwdiq']",Wed Jul 18 09:49:46 +0000 2018,carolyn47529089,BAX,Baxter International Inc.,http://binance.com/?ref=10078236,False,5.739999999999999
18930,1019520360667115500,"['rt', 'hello', 'babb', 'private', 'equity', 'sale', 'is', 'at', 'of', 'target', 'see', 'getbabb', 'and', 'httpstcohtpwxoeuv', 'for', 'more', 'info', 'blockchain', 'ba']",Wed Jul 18 09:52:50 +0000 2018,Rokovnjac77,BAX,Baxter International Inc.,https://www.crowdcube.com/companies/babb-group-ltd/pitches/lERGKZ,False,5.613333333333332
