,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
9108,1018798647297888300,"['the', 'markets', 'top', 'dividend', 'stocks', 'httpstcolcjmhfmsaq', 'gm', 'de', 'emr', 'px', 'so', 'f', 'bbt', 'nsc', 'pru', 'met', 'd', 'exc', 'tgt', 'mpc', 'hpq']",Mon Jul 16 10:05:00 +0000 2018,FinInvTr,BBT,BB&T Corporation,https://buff.ly/2mcn8g9,False,5.363636363636363
9295,1018813156548927500,"['contrasting', 'bbampt', 'bbt', 'amp', 'city', 'chco', 'httpstcohnqokbb']",Mon Jul 16 11:02:39 +0000 2018,EnterpriseLeade,BBT,BB&T Corporation,http://theenterpriseleader.com/?p=989483,False,5.6
9502,1018831291767185400,"['rt', 'kushmanspicks', 'time', 'for', 'this', 'weeks', 'potstock', 'chart', 'picks', 'part', 'ahg', 'alef', 'att', 'bamm', 'bbt', 'bliss', 'budd', 'cali', 'cann', 'chv', 'cnnx']",Mon Jul 16 12:14:43 +0000 2018,Turner29718588,BBT,BB&T Corporation,,False,5.336363636363637
9665,1018843096921133000,"['bbampt', 'corp', 'bbt', 'shifting', 'institutional', 'investors', 'sentiment', 'httpstcobkcirfdk']",Mon Jul 16 13:01:38 +0000 2018,whatsonthorold2,BBT,BB&T Corporation,https://www.whatsonthorold.com/2018/07/16/bbt-corp-nysebbt-shifting-institutional-investors-sentiment/,False,5.205
9673,1018843529806860300,"['bbampt', 'corp', 'bbt', 'institutional', 'investors', 'are', 'worried', 'httpstcoggpeaxlju']",Mon Jul 16 13:03:21 +0000 2018,bibeypost_stock,BBT,BB&T Corporation,https://www.bibeypost.com/bbt-corp-nysebbt-institutional-investors-are-worried/,False,4.5200000000000005
10382,1018884590830866400,"['contrasting', 'bbampt', 'bbt', 'and', 'city', 'chco', 'httpstcozvjanxrfa']",Mon Jul 16 15:46:31 +0000 2018,WeekHerald,BBT,BB&T Corporation,http://weekherald.com/?p=2993569,False,5.49
10826,1018912278647697400,"['midday', 'highest', 'trading', 'range', 'compared', 'to', 'open', 'min', 'amp', 'vol', 'gt', 'k', 'bbt', 'himx', 'jpm', 'c', 'httpstcorwryrvzm']",Mon Jul 16 17:36:32 +0000 2018,15minofPham,BBT,BB&T Corporation,https://twitter.com/i/web/status/1018912278647697408,False,5.409999999999999
10843,1018913787288653800,"['httpstcoqijqjwcwi', 'bbt', 'bbampt', 'up', 'million', 'gain', 'bbt', 'has', 'made', 'notable', 'gains', 'in', 'of', 'the', 'last', 'tra', 'httpstcodrrwnfxkm']",Mon Jul 16 17:42:32 +0000 2018,42Stocks,BBT,BB&T Corporation,http://42stocks.com/sym/bbt.html,False,5.64
10848,1018914277233750000,"['rt', 'minofpham', 'midday', 'highest', 'trading', 'range', 'compared', 'to', 'open', 'min', 'amp', 'vol', 'gt', 'k', 'bbt', 'himx', 'jpm', 'c', 'fitb']",Mon Jul 16 17:44:28 +0000 2018,salomon69479215,BBT,BB&T Corporation,,False,5.369230769230769
11149,1018936418763190300,"['reasons', 'why', 'bank', 'stocks', 'look', 'good', 'here', 'bac', 'jpm', 'xlf', 'c', 'wfc', 'usb', 'pnc', 'bbt', 'sti', 'rf', 'aapl', 'msft', 'tfmkts', 'httpstcozishwdah']",Mon Jul 16 19:12:27 +0000 2018,realmoney,BBT,BB&T Corporation,https://twitter.com/i/web/status/1018936418763190272,False,5.568888888888889
11324,1018947507337007100,"['rt', 'realmoney', 'reasons', 'why', 'bank', 'stocks', 'look', 'good', 'here', 'bac', 'jpm', 'xlf', 'c', 'wfc', 'usb', 'pnc', 'bbt', 'sti', 'rf', 'aapl', 'msft', 'tfmkts', 'realmoneysod', 'h']",Mon Jul 16 19:56:31 +0000 2018,sep_sal,BBT,BB&T Corporation,,False,5.4363636363636365
11699,1018980548927160300,"['cryptomickey', 'bbt', 'privacy', 'marketplace', 'active', 'dev', 'team', 'some', 'members', 'from', 'harvard', 'previous', 'experience', 'from', 'nxt', 'httpstcokyjmoqhlka']",Mon Jul 16 22:07:49 +0000 2018,crypto_apolo11,BBT,BB&T Corporation,https://twitter.com/i/web/status/1018980548927160328,False,5.645454545454546
11719,1018982883682185200,"['time', 'for', 'todays', 'update', 'potstock', 'chart', 'picks', 'part', 'ahg', 'alef', 'att', 'bamm', 'bbt', 'bliss', 'budd', 'cali', 'cann', 'chv', 'httpstcoxcfyxtp']",Mon Jul 16 22:17:05 +0000 2018,KushMansPicks,BBT,BB&T Corporation,https://twitter.com/i/web/status/1018982883682185216,False,5.516000000000001
11792,1018993039035981800,"['rt', 'kushmanspicks', 'time', 'for', 'todays', 'update', 'potstock', 'chart', 'picks', 'part', 'ahg', 'alef', 'att', 'bamm', 'bbt', 'bliss', 'budd', 'cali', 'cann', 'chv', 'cnn']",Mon Jul 16 22:57:27 +0000 2018,Turner29718588,BBT,BB&T Corporation,,False,5.435
11856,1019002624790618100,"['aapl', 'apple', 'gd', 'kmi', 'kmipa', 'pacw', 'shbi', 'ba', 'bbt', 'httpstcovsscnjpb']",Mon Jul 16 23:35:32 +0000 2018,SeekingAlpha,BBT,BB&T Corporation,https://seekingalpha.com/article/4187605-johns-may-dividend-income-tracker-retirement-accounts?source=feed_f,False,5.626666666666666
12072,1019035451942932500,"['bbampt', 'co', 'bbt', 'receives', 'consensus', 'pt', 'from', 'brokerages', 'httpstconzdwedpbdu']",Tue Jul 17 01:45:59 +0000 2018,ZolmaxNews,BBT,BB&T Corporation,http://zolmax.com/?p=2385959,False,5.45
12108,1019040312486973400,"['bbampt', 'co', 'bbt', 'receives', 'consensus', 'target', 'price', 'from', 'analysts', 'httpstcohfofqjs']",Tue Jul 17 02:05:18 +0000 2018,TranscriptDaily,BBT,BB&T Corporation,http://zpr.io/6X8Bu,False,5.387142857142856
12172,1019048108607656000,"['rt', 'realmoney', 'reasons', 'why', 'bank', 'stocks', 'look', 'good', 'here', 'bac', 'jpm', 'xlf', 'c', 'wfc', 'usb', 'pnc', 'bbt', 'sti', 'rf', 'aapl', 'msft', 'tfmkts', 'realmoneysod', 'h']",Tue Jul 17 02:36:16 +0000 2018,TFMkts,BBT,BB&T Corporation,,False,5.4363636363636365
12400,1019089905572556800,"['bbampt', 'bbt', 'set', 'to', 'announce', 'earnings', 'on', 'thursday', 'httpstcogoefpf']",Tue Jul 17 05:22:21 +0000 2018,TranscriptDaily,BBT,BB&T Corporation,http://zpr.io/6XDWn,False,5.863333333333333
12473,1019097874620207100,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'pnc', 'is', 'httpstcoavvxqlwpb', 'sti', 'wfc', 'bbt', 'key']",Tue Jul 17 05:54:01 +0000 2018,shortvolumes,BBT,BB&T Corporation,http://shortvolumes.com/?t=PNC,False,5.302222222222222
12572,1019110732703653900,"['bbampt', 'co', 'bbt', 'expected', 'to', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcoshiwxsjta']",Tue Jul 17 06:45:07 +0000 2018,TheMarketsDaily,BBT,BB&T Corporation,http://zpr.io/6Xwm2,False,5.5825
13181,1019174889700450300,"['bbt', 'xlit', 'on', 'yahoo', 'finance', 'message', 'boards', 'httpstcoszjmanpfb']",Tue Jul 17 11:00:03 +0000 2018,BoardCentral,BBT,BB&T Corporation,http://bit.ly/2JmxROp,False,5.572
13680,1019202076994428900,"['bbt', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoaywdxgkxd', 'httpstcowditcydqg']",Tue Jul 17 12:48:05 +0000 2018,optioncharts,BBT,BB&T Corporation,http://maximum-pain.com/options/max-pain/BBT,False,4.888
13707,1019203532115804200,"['d', 'ma', 'watch', 'list', 'bhge', 'cy', 'key', 'amtd', 'bbt', 'zion', 'ko', 'rrc', 'noc', 'orcl', 'tlt', 'slb', 'fti', 'enb', 'oih', 'fcx', 'auy', 'httpstcomwgdqcz']",Tue Jul 17 12:53:52 +0000 2018,TradeAcademyCo,BBT,BB&T Corporation,https://twitter.com/i/web/status/1019203532115804160,False,5.454285714285715
13864,1019209396193255400,"['rkuny', 'rakuten', 'ws', 'up', 'over', 'during', 'nikkei', 'mid', 'session', 'should', 'be', 'over', 'opening', 'and', 'over', 'short', 'term', 'this', 'httpstcoxlspsbmv']",Tue Jul 17 13:17:10 +0000 2018,RakutenStock,BBT,BB&T Corporation,https://twitter.com/i/web/status/1019209396193255424,False,5.227142857142858
14459,1019240353415729200,"['forget', 'the', 'trade', 'war', 'we', 'got', 'a', 'hawkish', 'fed', 'buy', 'the', 'banks', 'xlf', 'fas', 'dpst', 'kre', 'jpm', 'bac', 'wfc', 'c', 'gs', 'usb', 'bbt', 'httpstcoebrrljy']",Tue Jul 17 15:20:11 +0000 2018,joeshoWP7,BBT,BB&T Corporation,https://twitter.com/i/web/status/1019240353415729157,False,5.133846153846155
15290,1019284417930555400,"['we', 'did', 'the', 'research', 'on', 'bk', 'bbt', 'fitb', 'and', 'we', 'will', 'be', 'long', 'before', 'earnings', 'httpstcorziotmm']",Tue Jul 17 18:15:17 +0000 2018,myrollingstocks,BBT,BB&T Corporation,http://ow.ly/7DlG30kZeFM,False,5.729230769230768
15715,1019306294807801900,"['upcoming', 'trade', 'alerts', 'this', 'week', 'abt', 'bbt', 'stt', 'ebay', 'ms', 'httpstcoberhkjkzwv']",Tue Jul 17 19:42:13 +0000 2018,WhisperNumber,BBT,BB&T Corporation,,False,5.382857142857142
17039,1019376686863827000,"['time', 'for', 'todays', 'update', 'potstock', 'chart', 'picks', 'part', 'ahg', 'alef', 'att', 'bamm', 'bbt', 'bliss', 'budd', 'cali', 'cann', 'chv', 'httpstcouteryd']",Wed Jul 18 00:21:55 +0000 2018,KushMansPicks,BBT,BB&T Corporation,https://twitter.com/i/web/status/1019376686863826944,False,5.516000000000001
17287,1019394944576860200,"['rt', 'kushmanspicks', 'time', 'for', 'todays', 'update', 'potstock', 'chart', 'picks', 'part', 'ahg', 'alef', 'att', 'bamm', 'bbt', 'bliss', 'budd', 'cali', 'cann', 'chv', 'cnn']",Wed Jul 18 01:34:28 +0000 2018,Turner29718588,BBT,BB&T Corporation,,False,5.435
17579,1019416478699933700,"['buysignal', 'detected', 'for', 'stocks', 'gm', 'ipg', 'emn', 'bbt']",Wed Jul 18 03:00:03 +0000 2018,holycharts,BBT,BB&T Corporation,,False,5.165
