,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
6583,1018248470287863800,"['stagflation', 'about', 'to', 'fuck', 'up', 'so', 'many', 'correlation', 'trades', 'long', 'xop', 'short', 'xrt', 'pair', 'oilretail', 'was', 'a', 'good', 'idea', 'httpstcotlmmsq']",Sat Jul 14 21:38:48 +0000 2018,OGPainTrade,BBY,Best Buy Co.,https://twitter.com/i/web/status/1018248470287863809,False,5.437857142857143
6765,1018293268902076400,"['these', 'companies', 'will', 'restore', 'your', 'faith', 'in', 'retail', 'top', 'retail', 'stocks', 'to', 'buy', 'now', 'themotleyfool', 'stocks', 'wmt', 'bby', 'httpstconheljwek']",Sun Jul 15 00:36:48 +0000 2018,dannyvena,BBY,Best Buy Co.,https://twitter.com/i/web/status/1018293268902076416,False,5.809333333333333
7782,1018475653165994000,"['spx', 'rtn', 'bby', 'options', 'have', 'the', 'largest', 'change', 'in', 'volume', 'free', 'options', 'screener', 'httpstcohyhlqawuq']",Sun Jul 15 12:41:32 +0000 2018,optioncharts,BBY,Best Buy Co.,http://maximum-pain.com/screener/options-volume-change-screener,False,6.046666666666667
7962,1018499505195487200,"['bby', 'option', 'volume', 'was', 'x', 'normal', 'on', 'friday', 'with', 'contracts', 'call', 'volume', 'was', 'and', 'put', 'volume', 'was', 'httpstcoiwkaikfxa']",Sun Jul 15 14:16:19 +0000 2018,MarketChmln,BBY,Best Buy Co.,https://marketchameleon.com/Overview/BBY/OptionChainPro/?e=2539_20180713,False,5.46875
8160,1018530091117277200,"['bby', 'aug', 'c', 'earlyteam', 'optionstrading', 'options', 'stockmarket', 'stockstowatch', 'stocks', 'stocktrading', 'httpstcofxietxina']",Sun Jul 15 16:17:51 +0000 2018,fresh_lou,BBY,Best Buy Co.,https://twitter.com/i/web/status/1018530091117277184,False,5.4350000000000005
8293,1018546508646486000,"['amzn', 'bby', 'ebay', 'ebayl', 'the', 'unintentional', 'winners', 'of', 'prime', 'day', 'amazons', 'competitors', 'httpstcofahhtoddu']",Sun Jul 15 17:23:05 +0000 2018,themarketisopen,BBY,Best Buy Co.,https://ift.tt/2KWGyon,False,5.771428571428572
8568,1018589885844852700,"['bby', 'come', 'to', 'papa', 'you', 'know', 'you', 'want', 'too', 'httpstcospahvntsz']",Sun Jul 15 20:15:27 +0000 2018,PeteGarner,BBY,Best Buy Co.,,False,5.882500000000001
8654,1018605421194629100,"['analysts', 'expect', 'best', 'buy', 'co', 'inc', 'bby', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoqcojjkvi']",Sun Jul 15 21:17:11 +0000 2018,TickerReport,BBY,Best Buy Co.,http://tickerreport.com/?p=3637979,False,5.830000000000001
8657,1018605691827818500,"['zacks', 'analysts', 'expect', 'best', 'buy', 'co', 'inc', 'bby', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoqzknmlrhx']",Sun Jul 15 21:18:16 +0000 2018,WatchlistN,BBY,Best Buy Co.,http://zpr.io/6XNmz,False,5.8133333333333335
8720,1018621756842668000,"['preliminary', 'list', 'of', 'setups', 'cveo', 'roku', 'cake', 'burl', 'bby', 'rh', 'axgn', 'staa', 'gts', 'aldr', 'crsp', 'mdgl', 'tpiv', 'vktx', 'vrtx', 'ayx', 'sail', 'acmr', 'irdm']",Sun Jul 15 22:22:06 +0000 2018,PowerrTrader,BBY,Best Buy Co.,,False,6.016
