,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1015,1016660449264394200,"['globus', 'medical', 'gmed', 'and', 'becton', 'dickinson', 'and', 'bdx', 'head', 'to', 'head', 'review', 'httpstcognniwdjbtl']",Tue Jul 10 12:28:34 +0000 2018,TickerReport,BDX,Becton Dickinson,http://tickerreport.com/?p=3626441,False,5.340000000000001
1570,1016804030071361500,"['traders', 'buy', 'shares', 'of', 'becton', 'dickinson', 'and', 'bdx', 'on', 'weakness', 'httpstcochcuolheq']",Tue Jul 10 21:59:06 +0000 2018,MareaInformativ,BDX,Becton Dickinson,http://www.mareainformativa.com/?p=419257,False,5.314285714285714
1573,1016804710060318700,"['traders', 'buy', 'shares', 'of', 'becton', 'dickinson', 'and', 'bdx', 'on', 'weakness', 'httpstcofdblpwpyzn']",Tue Jul 10 22:01:48 +0000 2018,WeekHerald,BDX,Becton Dickinson,http://weekherald.com/?p=2981695,False,5.314285714285714
1574,1016804733825187800,"['investors', 'buy', 'shares', 'of', 'becton', 'dickinson', 'and', 'bdx', 'on', 'weakness', 'httpstcoehhskw']",Tue Jul 10 22:01:54 +0000 2018,ThisLincolnian,BDX,Becton Dickinson,http://thelincolnianonline.com/?p=2175003,False,5.3028571428571425
1673,1016872542664056800,"['bdx', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcozlklehhf', 'httpstcopkghd']",Wed Jul 11 02:31:21 +0000 2018,optioncharts,BDX,Becton Dickinson,http://maximum-pain.com/options/max-pain/BDX,False,4.680000000000001
1958,1017023292992041000,"['baskin', 'financial', 'services', 'inc', 'has', 'upped', 'becton', 'dickinson', 'and', 'company', 'bdx', 'holding', 'httpstcoukqrbzou']",Wed Jul 11 12:30:23 +0000 2018,whatsonthorold2,BDX,Becton Dickinson,https://www.whatsonthorold.com/2018/07/11/baskin-financial-services-inc-has-upped-becton-dickinson-and-company-bdx-holding/,False,5.351428571428571
1959,1017023344506531800,"['becton', 'dickinson', 'and', 'company', 'bdx', 'valuation', 'declined', 'while', 'baskin', 'financial', 'services', 'inc', 'has', 'raised', 'position', 'httpstcodmdsowqdm']",Wed Jul 11 12:30:35 +0000 2018,mmahotstuff1,BDX,Becton Dickinson,https://www.mmahotstuff.com/2018/07/11/becton-dickinson-and-company-bdx-valuation-declined-while-baskin-financial-services-inc-has-raised-position.html,False,5.252000000000001
1961,1017023530570043400,"['becton', 'dickinson', 'and', 'company', 'bdx', 'stock', 'declined', 'while', 'baskin', 'financial', 'services', 'inc', 'boosted', 'by', 'million', 'its', 'stake']",Wed Jul 11 12:31:19 +0000 2018,reurope_stock,BDX,Becton Dickinson,,False,5.255
2010,1017032041320157200,"['watch', 'live', 'deborah', 'birx', 'of', 'becton', 'dickinson', 'and', 'company', 'rings', 'the', 'nyse', 'opening', 'bell', 'in', 'celebration', 'of', 'their', 'th', 'httpstcorotnrqpj']",Wed Jul 11 13:05:08 +0000 2018,IssuerDirect,BDX,Becton Dickinson,https://twitter.com/i/web/status/1017032041320157184,False,5.6546666666666665
2011,1017032082042900500,"['watch', 'live', 'deborah', 'birx', 'of', 'becton', 'dickinson', 'and', 'company', 'rings', 'the', 'nyse', 'opening', 'bell', 'in', 'celebration', 'of', 'their', 'th', 'httpstcocjozfhbamb']",Wed Jul 11 13:05:18 +0000 2018,investornetwork,BDX,Becton Dickinson,https://twitter.com/i/web/status/1017032082042900481,False,5.6546666666666665
2049,1017042155775385600,"['bdx', 'alert', 'new', 'bd', 'sec', 'filing', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Wed Jul 11 13:45:20 +0000 2018,Allstocknews,BDX,Becton Dickinson,,False,5.575555555555556
2050,1017042309135917000,"['bdx', 'becton', 'dickinson', 'and', 'company', 'sec', 'filing', 'form', 'httpstcoxgsmkpgv']",Wed Jul 11 13:45:56 +0000 2018,StockTexts,BDX,Becton Dickinson,http://www.sec.gov/Archives/edgar/data/10795/000154340718000052/xslF345X03/edgar.xml,False,5.232000000000001
2151,1017060463706869800,"['bdx', 'new', 'insider', 'filing', 'on', 'director', 'timothy', 'm', 'ring', 'httpstcocxgksstr']",Wed Jul 11 14:58:05 +0000 2018,InsiderAlertsIA,BDX,Becton Dickinson,http://insideri.com/10795_000154340718000052_0001543407-18-000052,False,5.651428571428572
2427,1017136450637361200,"['bdx', 'director', 'unloads', 'over', 'm', 'worth', 'of', 'stock', 'in', 'the', 'company', 'bdx', 'httpstcofpfnflac']",Wed Jul 11 20:00:01 +0000 2018,chasingmarkets,BDX,Becton Dickinson,http://chasingmarkets.com/news/15b465fb74d9a9?src=tw,False,5.457777777777778
2539,1017159358977802200,"['becton', 'dickinson', 'and', 'company', 'bdx', 'eps', 'estimated', 'at', 'httpstcocdfzozw']",Wed Jul 11 21:31:03 +0000 2018,whatsonthorold2,BDX,Becton Dickinson,https://www.whatsonthorold.com/2018/07/11/becton-dickinson-and-company-bdx-eps-estimated-at-2-84-2/,False,5.285
2540,1017159482181341200,"['eps', 'for', 'becton', 'dickinson', 'and', 'company', 'bdx', 'expected', 'at', 'httpstcoyjedlfkrz']",Wed Jul 11 21:31:33 +0000 2018,mmahotstuff1,BDX,Becton Dickinson,https://www.mmahotstuff.com/2018/07/11/eps-for-becton-dickinson-and-company-bdx-expected-at-2-84.html,False,5.303999999999999
2541,1017159670409187300,"['becton', 'dickinson', 'and', 'company', 'bdx', 'analysts', 'see', 'eps', 'httpstcoxatlddc']",Wed Jul 11 21:32:17 +0000 2018,reurope_stock,BDX,Becton Dickinson,https://reurope.com/2018/07/11/becton-dickinson-and-company-bdx-analysts-see-2-84-eps/,False,5.435
2542,1017159759277928400,"['analysts', 'see', 'eps', 'for', 'becton', 'dickinson', 'and', 'company', 'bdx', 'httpstcoelkzuedpn']",Wed Jul 11 21:32:39 +0000 2018,bibeypost_stock,BDX,Becton Dickinson,https://www.bibeypost.com/analysts-see-2-84-eps-for-becton-dickinson-and-company-bdx/,False,5.3919999999999995
2586,1017182853082288100,"['traders', 'sell', 'shares', 'of', 'becton', 'dickinson', 'and', 'bdx', 'on', 'strength', 'bdx', 'httpstcoiiqvopkvh']",Wed Jul 11 23:04:25 +0000 2018,TheMarketsDaily,BDX,Becton Dickinson,http://zpr.io/6awZS,False,5.837142857142857
2770,1017264183396597800,"['bdx', 'new', 'insider', 'filing', 'on', 'tozzi', 'william', 'a', 'transaction', 'code', 'a', 'httpstcovljmdappo']",Thu Jul 12 04:27:35 +0000 2018,filing_scanner,BDX,Becton Dickinson,http://www.filingscanner.com/Alerts/BDX.php,False,5.5175
2781,1017271693834932200,"['billion', 'in', 'sales', 'expected', 'for', 'becton', 'dickinson', 'and', 'co', 'bdx', 'this', 'quarter', 'httpstcoxhxykkfad']",Thu Jul 12 04:57:26 +0000 2018,ThisLincolnian,BDX,Becton Dickinson,http://thelincolnianonline.com/?p=2177802,False,5.622222222222223
2782,1017272352491671600,"['eps', 'expected', 'for', 'becton', 'dickinson', 'and', 'co', 'bdx', 'this', 'quarter', 'httpstcofvadiyjv']",Thu Jul 12 05:00:03 +0000 2018,WeekHerald,BDX,Becton Dickinson,http://weekherald.com/?p=2984517,False,5.29
2965,1017341090494648300,"['as', 'becton', 'dickinson', 'amp', 'co', 'bdx', 'valuation', 'declined', 'liberty', 'mutual', 'group', 'asset', 'management', 'lifted', 'its', 'holding', 'by', 'httpstcoqtdznc']",Thu Jul 12 09:33:11 +0000 2018,The_CasualSmart,BDX,Becton Dickinson,https://twitter.com/i/web/status/1017341090494648321,False,5.472307692307693
3001,1017350566891130900,"['eps', 'expected', 'for', 'becton', 'dickinson', 'and', 'co', 'bdx', 'this', 'quarter', 'httpstcoldbqlryni']",Thu Jul 12 10:10:51 +0000 2018,EnterpriseLeade,BDX,Becton Dickinson,http://theenterpriseleader.com/?p=981007,False,5.29
3063,1017363135005634600,"['bdx', 'bd', 'shares', 'progress', 'towards', 'achieving', 'sustainability', 'goals', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Thu Jul 12 11:00:47 +0000 2018,Allstocknews,BDX,Becton Dickinson,,False,6.055555555555555
3497,1017434574584975400,"['investors', 'buy', 'shares', 'of', 'becton', 'dickinson', 'and', 'bdx', 'on', 'weakness', 'httpstcouaadxftz']",Thu Jul 12 15:44:40 +0000 2018,WatchlistN,BDX,Becton Dickinson,http://zpr.io/6aibc,False,5.3028571428571425
