,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
19610,1019546610395762700,"['biib', 'data', 'to', 'be', 'presented', 'from', 'biogens', 'alzheimers', 'disease', 'clinical', 'development', 'portfolio', 'at', 'the', 'alzhe', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Wed Jul 18 11:37:08 +0000 2018,Allstocknews,BIIB,Biogen Inc.,,False,5.25125
19621,1019546970669703200,"['rt', 'odibro', 'biib', 'data', 'to', 'be', 'presented', 'from', 'alzheimers', 'disease', 'clinical', 'development', 'portfolio', 'at', 'the', 'aaic', 'july', 'httpstcoset']",Wed Jul 18 11:38:34 +0000 2018,dsobek,BIIB,Biogen Inc.,,False,5.155384615384616
19643,1019547470592921600,"['biib', 'july', 'th', 'w', 'call', 'oi', 'to', 'from', 'alzheimers', 'association', 'international', 'conference', 'aaic', 'in', 'httpstcolejzdhax']",Wed Jul 18 11:40:33 +0000 2018,OptionsHawk,BIIB,Biogen Inc.,https://twitter.com/i/web/status/1019547470592921600,False,5.3945454545454545
19645,1019547519020421100,"['rt', 'optionshawk', 'biib', 'july', 'th', 'w', 'call', 'oi', 'to', 'from', 'alzheimers', 'association', 'international', 'conference', 'aaic', 'in', 'chicag']",Wed Jul 18 11:40:45 +0000 2018,pnani456,BIIB,Biogen Inc.,,False,5.351666666666667
19647,1019547748742451200,"['rt', 'odibro', 'biib', 'data', 'to', 'be', 'presented', 'from', 'alzheimers', 'disease', 'clinical', 'development', 'portfolio', 'at', 'the', 'aaic', 'july', 'httpstcoset']",Wed Jul 18 11:41:40 +0000 2018,usasingh1,BIIB,Biogen Inc.,,False,5.155384615384616
19648,1019547767377727500,"['rt', 'optionshawk', 'biib', 'july', 'th', 'w', 'call', 'oi', 'to', 'from', 'alzheimers', 'association', 'international', 'conference', 'aaic', 'in', 'chicag']",Wed Jul 18 11:41:44 +0000 2018,BrianGilbart,BIIB,Biogen Inc.,,False,5.351666666666667
19696,1019549111287246800,"['cnbc', 'cnbc', 'path', 'to', 'curing', 'glioblastoma', 'childhoodcancer', 'is', 'dcvax', 'by', 'northwestbio', 'nwbo', 'biotech', 'phase', 'regi', 'httpstcobhrsqffvc']",Wed Jul 18 11:47:05 +0000 2018,ChrisLacoursier,BIIB,Biogen Inc.,https://twitter.com/i/web/status/1019549111287246849,False,5.204
19697,1019549152634720300,"['biib', 'data', 'to', 'be', 'presented', 'from', 'biogens', 'alzheimers', 'disease', 'clinical', 'development', 'portfolio', 'at', 'the', 'alzheimers', 'httpstcopiaxbjbqd']",Wed Jul 18 11:47:14 +0000 2018,stockelite,BIIB,Biogen Inc.,https://twitter.com/i/web/status/1019549152634720256,False,5.1054545454545455
19733,1019551100784070700,"['rt', 'chrislacoursier', 'cnbc', 'cnbc', 'path', 'to', 'curing', 'glioblastoma', 'childhoodcancer', 'is', 'dcvax', 'by', 'northwestbio', 'nwbo', 'biotech', 'phase', 'registr']",Wed Jul 18 11:54:59 +0000 2018,Eti8888,BIIB,Biogen Inc.,,False,5.1499999999999995
19890,1019556112524365800,"['nvs', 'avxs', 'type', 'sma', 'bla', 'filing', 'q', 'biib', 'ions']",Wed Jul 18 12:14:54 +0000 2018,zbiotech,BIIB,Biogen Inc.,,False,5.0575
