,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
16708,1019353811234820100,"['price', 'moves', 'vs', 'expected', 'moves', 'riot', 'opk', 'jnj', 'mdxg', 'celg', 'pfe', 'mdt', 'bmy', 'gild', 'cvs', 'akrx', 'unh', 'httpstcotyzla']",Tue Jul 17 22:51:01 +0000 2018,MC_OptionTrades,BMY,Bristol-Myers Squibb Company,https://marketchameleon.com/Home/Dashboard/,False,4.9366666666666665
16836,1019361422894075900,"['bmy', 'jul', 'atm', 'implied', 'volatility', 'is', 'up', 'straddle', 'implies', 'a', 'move', 'of', 'earnings', 'jul', 'bmo', 'httpstcobxyvusn']",Tue Jul 17 23:21:16 +0000 2018,MC_OptionTrades,BMY,Bristol-Myers Squibb Company,https://marketchameleon.com/Overview/BMY/OptionSummary/,False,5.636666666666666
17531,1019413057183895600,"['rt', 'tiltmybrain', 'nwbo', 'combo', 'trial', 'with', 'bmy', 'scheduled', 'to', 'begin', 'september', 'st', 'httpstcoaiqurqres']",Wed Jul 18 02:46:27 +0000 2018,RichFairgrieve,BMY,Bristol-Myers Squibb Company,https://clinicaltrials.gov/ct2/show/NCT03014804,False,5.328888888888889
17543,1019414341077164000,"['billion', 'in', 'sales', 'expected', 'for', 'bristolmyers', 'squibb', 'co', 'bmy', 'this', 'quarter', 'httpstcorijowxdgkc']",Wed Jul 18 02:51:33 +0000 2018,TranscriptDaily,BMY,Bristol-Myers Squibb Company,http://zpr.io/6X5J3,False,5.6725
17546,1019414822167990300,"['zacks', 'analysts', 'anticipate', 'bristolmyers', 'squibb', 'co', 'bmy', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcowpxwzebdg']",Wed Jul 18 02:53:28 +0000 2018,dakotafinancial,BMY,Bristol-Myers Squibb Company,http://dakotafinancialnews.com/?p=324672,False,5.7125
17549,1019414961129435100,"['billion', 'in', 'sales', 'expected', 'for', 'bristolmyers', 'squibb', 'co', 'bmy', 'this', 'quarter', 'httpstcorzhryoef']",Wed Jul 18 02:54:01 +0000 2018,MareaInformativ,BMY,Bristol-Myers Squibb Company,http://www.mareainformativa.com/?p=465784,False,5.6725
17973,1019452074898219000,"['rt', 'sabiotech', 'amgn', 'pfe', 'regn', 'bmy', 'cydy', 'gild', 'gsk', 'jnj', 'mrk', 'httpstcoppuko']",Wed Jul 18 05:21:29 +0000 2018,DrTranBioSci,BMY,Bristol-Myers Squibb Company,https://seekingalpha.com/article/4187810-gileads-hiv-franchise-assault-stares-paradigm-changing-drug?source=twitter_sa_biotech,False,4.88
17977,1019452264111640600,"['bristolmyers', 'squibb', 'bmy', 'upgraded', 'by', 'valuengine', 'to', 'hold', 'httpstcolusuordh']",Wed Jul 18 05:22:14 +0000 2018,dailypoliticaln,BMY,Bristol-Myers Squibb Company,http://www.dailypolitical.com/?p=2208483,False,5.22
18117,1019462163256225800,"['bmy', 'bloomsbury', 'publishing', 'plc', 'trading', 'update', 'httpstcoulvqyxirpb']",Wed Jul 18 06:01:35 +0000 2018,BrilliantLeader,BMY,Bristol-Myers Squibb Company,http://uk.advfn.com/stock-market/london/BMY/share-news/Bloomsbury-Publishing-PLC-Trading-Update/77882920?adw=1126416,False,5.946666666666666
18253,1019472645925064700,"['bmy', 'bloomsbury', 'publishing', 'trading', 'in', 'line', 'announced', 'fashion', 'footage', 'linkup', 'httpstcoyngtghtji', 'via', 'httpstcoivgnpnwts']",Wed Jul 18 06:43:14 +0000 2018,proactive_UK,BMY,Bristol-Myers Squibb Company,http://tinyurl.com/yc8aw9a2,False,5.6775
