,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3,1019716662587740200,"['barry', 'silbert', 'is', 'extremely', 'optimistic', 'on', 'bitcoin', 'but', 'predicts', 'that', 'of', 'new', 'crypto', 'entrants', 'are', 'going', 'to', 'zero', 'httpstcomgmvoczgy']",Wed Jul 18 22:52:52 +0000 2018,MarketWatch,BTC,Bitcoin,https://twitter.com/i/web/status/1019716662587740160,True,5.312307692307693
9,1019721145396887600,"['hedge', 'fund', 'manager', 'marc', 'larsy', 'says', 'bitcoin', 'k', 'is', 'possible', 'httpstcoupeowqt']",Wed Jul 18 23:10:41 +0000 2018,MarketWatch,BTC,Bitcoin,https://on.mktw.net/2Ntr7k9,True,5.408571428571428
28092,1019728026643378200,"['btc', 'ada', 'appc', 'trig', 'httpstcoegunekkebt']",Wed Jul 18 23:38:01 +0000 2018,cryptoanony20,BTC,Bitcoin,https://twitter.com/i/web/status/1019728026643378178,False,5.04
28094,1019728044129308700,"['rt', 'gesumauma', 'kizuna', 'kizunacoin', 'kizuna', 'skeiniphoneandroid', 'iphoneappstore', 'daghubexprolerwitn']",Wed Jul 18 23:38:06 +0000 2018,cryptocity_,BTC,Bitcoin,,False,4.88
28097,1019728069337026600,"['rt', 'bullishgentlemn', 'what', 'i', 'see', 'happening', 'in', 'the', 'next', 'month', 'btc', 'etf', 'approved', 'new', 'ath', 'for', 'btc', 'coinbase', 'adds', 'zrx', 'and', 'potent']",Wed Jul 18 23:38:12 +0000 2018,LoveToPlayFair,BTC,Bitcoin,,False,5.615714285714286
28098,1019728076354175000,"['rt', 'cryptohi', 'bullish', 'news', 'former', 'trump', 'advisor', 'says', 'he', 'owns', 'bitcoin', 'and', 'is', 'working', 'on', 'his', 'own', 'cryptocurrency', 'btc', 'httpstcouhp']",Wed Jul 18 23:38:13 +0000 2018,BarracudaDMil,BTC,Bitcoin,,False,5.403076923076923
28103,1019728137419153400,"['rt', 'michaelcmckee', 'bitcoin', 'trading', 'volume', 'is', 'up', 'from', 'its', 'recent', 'low', 'httpstcoxjvxyvbcp', 'btc', 'httpstcoeuhhgzq']",Wed Jul 18 23:38:28 +0000 2018,George98024757,BTC,Bitcoin,http://dlvr.it/Qc1Jd0,False,5.282222222222223
28106,1019728172848468000,"['rt', 'chalexov', 'see', 'how', 'gold', 'explode', 'when', 'etf', 'say', 'yes', 'same', 'will', 'happen', 'now', 'with', 'btc', 'and', 'later', 'eth', 'httpstcoibkvwkrtv']",Wed Jul 18 23:38:36 +0000 2018,vlasovakristi10,BTC,Bitcoin,,False,5.513333333333334
28110,1019728208000774100,"['rt', 'samubtcfx', 'ada', 'ada', 'rt', 'btc', 'btc', 'xrp', 'xrp', 'eth']",Wed Jul 18 23:38:45 +0000 2018,ahe1ZDykJbpVTvB,BTC,Bitcoin,,False,4.96
28116,1019728245254737900,"['another', 'corrupt', 'democrat', 'politician', 'from', 'california', 'congressman', 'brad', 'sherman', 'wants', 'to', 'ban', 'crypto', 'but', 'look', 'at', 'his', 'httpstcofqsornjky']",Wed Jul 18 23:38:53 +0000 2018,jericprince,BTC,Bitcoin,https://twitter.com/i/web/status/1019728245254737920,False,5.02
28123,1019728282487533600,"['btc', 'range', 'chop', 'chop', 'stop', 'stop', 'httpstcooteumm']",Wed Jul 18 23:39:02 +0000 2018,cryptoACX,BTC,Bitcoin,,False,4.335999999999999
28124,1019728293669621800,"['still', 'confused', 'about', 'all', 'the', 'salt', 'despite', 'btc', 'being', 'up', 'over', 'k', 'this', 'week', 'yall', 'have', 'issues']",Wed Jul 18 23:39:05 +0000 2018,CryptoRogue,BTC,Bitcoin,,False,5.078750000000001
28125,1019728313399562200,"['btc', 'cnbc', 'steve', 'bannon', 'says', 'he', 'owns', 'bitcoin', 'and', 'is', 'working', 'on', 'his', 'own', 'cryptocurrency', 'httpstcoraheslnlj']",Wed Jul 18 23:39:10 +0000 2018,profits_bitcoin,BTC,Bitcoin,http://twib.in/l/qjEMabn7dxoy,False,5.532000000000001
28127,1019728349483028500,"['rt', 'smokinether', 'bitcoin', 'giveaway', 'rules', 'follow', 'me', 'smokinether', 'add', 'telegram', 'httpstcojfhiquw', 'retweet', 'amp', 'li']",Wed Jul 18 23:39:18 +0000 2018,PRP_30,BTC,Bitcoin,http://t.me/SmokinEther,False,5.426666666666666
