,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1288,1016732394001444900,"['bwa', 'im', 'for', 'seas', 'he', 'hum', 'my', 'sap', 'bam']",Tue Jul 10 17:14:27 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.609999999999999
1311,1016739933501960200,"['bwa', 'ads', 'are', 'mac', 'mmm', 'keys', 'are', 'one', 'it', 'eff', 'at', 'data']",Tue Jul 10 17:44:24 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.24
1552,1016800328581251100,"['bwa', 'ten', 'seas', 'fly', 'one', 'arc', 'too', 'low']",Tue Jul 10 21:44:24 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.462857142857144
1615,1016830503943659500,"['dang', 'hubs', 'are', 'mr', 'man', 'bam', 'he', 'bit', 'one', 'oak', 'bwa', 'i', 'am', 'too', 'emo']",Tue Jul 10 23:44:18 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.250769230769231
1678,1016875820030353400,"['ms', 'glob', 'bwa', 'im', 'ms', 'mac', 'i', 'am', 'ms', 'dom']",Wed Jul 11 02:44:22 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.0525
1810,1016981508240887800,"['i', 'hum', 'mr', 'joe', 'out', 'keys', 'a', 'foe', 'bwa', 'it', 'flow', 'at', 'a', 'fur']",Wed Jul 11 09:44:20 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.179230769230769
1846,1016996687045365800,"['bwa', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcoyrwjwtktye', 'httpstcojpbijbscjw']",Wed Jul 11 10:44:39 +0000 2018,optioncharts,BWA,BorgWarner Inc.,http://maximum-pain.com/options/open-interest/BWA,False,5.9975000000000005
2048,1017041918956654600,"['bwa', 'im', 'era', 'i', 'am', 'one', 'it', 'earn', 'aft']",Wed Jul 11 13:44:23 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.685714285714285
2171,1017064627908366300,"['all', 'cubs', 'im', 'at', 'seas', 'bwa', 'i', 'am', 'at', 'keys']",Wed Jul 11 15:14:38 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.647500000000001
2191,1017069472019083300,"['sorl', 'auto', 'parts', 'sorl', 'vs', 'borgwarner', 'bwa', 'headtohead', 'review', 'httpstcokfqqemah']",Wed Jul 11 15:33:53 +0000 2018,ZolmaxNews,BWA,BorgWarner Inc.,http://zolmax.com/?p=2375431,False,5.205
2236,1017079178213158900,"['eps', 'expected', 'for', 'borgwarner', 'inc', 'bwa', 'this', 'quarter', 'httpstcopjpjgygn']",Wed Jul 11 16:12:27 +0000 2018,ZolmaxNews,BWA,BorgWarner Inc.,http://zolmax.com/?p=2375481,False,5.255999999999999
2267,1017087232702808000,"['eep', 'i', 'do', 'mr', 'inn', 'i', 'am', 'ms', 'fun', 'for', 'ads', 'bwa']",Wed Jul 11 16:44:27 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.648
2276,1017091156700749800,"['a', 'bullish', 'moving', 'out', 'of', 'oversold', 'has', 'occurred', 'at', 'pm', 'jul', 'at', 'on', 'borgwarner', 'inc', 'bwa', 'bwa', 'want', 'to', 'ea', 'httpstcoplrroolzj']",Wed Jul 11 17:00:03 +0000 2018,websofttechies,BWA,BorgWarner Inc.,https://twitter.com/i/web/status/1017091156700749824,False,5.14923076923077
2277,1017091184517247000,"['a', 'bullish', 'moving', 'out', 'of', 'oversold', 'has', 'occurred', 'at', 'pm', 'jul', 'at', 'on', 'borgwarner', 'inc', 'bwa', 'bwa', 'want', 'to', 'ea', 'httpstcorxsaiiqnv']",Wed Jul 11 17:00:09 +0000 2018,websofttechies,BWA,BorgWarner Inc.,https://twitter.com/i/web/status/1017091184517246977,False,5.14923076923077
2405,1017125428094492700,"['the', 'stocks', 'from', 'goldman', 'sachs', 'buy', 'list', 'that', 'you', 'should', 'actually', 'consider', 'bwa', 'de', 'nclh', 'httpstcoehhjgluak']",Wed Jul 11 19:16:13 +0000 2018,InvestorPlace,BWA,BorgWarner Inc.,https://investorplace.com/2018/07/20-stocks-goldman-sachs-buy-list-actually-buy/,False,5.375384615384615
2548,1017162718095315000,"['bwa', 'it', 'met', 'mr', 'exam', 'out', 'a', 'par', 'fly', 'for', 'a', 'shop']",Wed Jul 11 21:44:24 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.334545454545455
2787,1017275936872566800,"['yum', 'ads', 'are', 'mr', 'ben', 'im', 'two', 'bwa']",Thu Jul 12 05:14:18 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.377142857142856
2840,1017298581156433900,"['bwa', 'im', 'out', 'hubs', 'bit', 'mr', 'kate', 'hi']",Thu Jul 12 06:44:16 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.276666666666666
3922,1017502479003672600,"['bwa', 'at', 'cubs', 'ads', 'are', 'hot']",Thu Jul 12 20:14:29 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,4.91
4412,1017623219711479800,"['bam', 'hubs', 'are', 'exam', 'data', 'are', 'low', 'bwa', 'i', 'am', 'acre']",Fri Jul 13 04:14:16 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.0125
4554,1017676076741480400,"['bwa', 'im', 'too', 'emo', 'yelp', 'mr', 'flo', 'two', 'cubs', 'ago', 'fly', 'ms', 'one', 'too', 'main']",Fri Jul 13 07:44:18 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.198181818181817
4692,1017721395554512900,"['he', 'fly', 'ms', 'oak', 'for', 'ads', 'mmm', 'cubs', 'are', 'mr', 'usa', 'bwa', 'i', 'am', 'ms', 'aft']",Fri Jul 13 10:44:23 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.435384615384616
5051,1017785761540788200,"['a', 'bullish', 'big', 'mac', 'bullish', 'has', 'occurred', 'at', 'am', 'jul', 'at', 'on', 'borgwarner', 'inc', 'bwa', 'bwa', 'want', 'to', 'earnre', 'httpstcoezghwjlkgl']",Fri Jul 13 15:00:09 +0000 2018,websofttechies,BWA,BorgWarner Inc.,https://twitter.com/i/web/status/1017785761540788225,False,5.320000000000001
5083,1017789341094072300,"['it', 'eat', 'big', 'bwa', 'it', 'ate', 'one', 'im', 'mr', 'ese']",Fri Jul 13 15:14:23 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.546666666666665
5270,1017819549406781400,"['bwa', 'it', 'eff', 'leo', 'bwa', 'seas', 'are', 'out', 'a', 'bee', 'for', 'keys']",Fri Jul 13 17:14:25 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.364
6552,1018242326240645100,"['he', 'hum', 'ms', 'main', 'for', 'a', 'sum', 'bwa', 'im', 'out', 'seas', 'im', 'ten', 'seas']",Sat Jul 14 21:14:23 +0000 2018,stockbard,BWA,BorgWarner Inc.,,False,5.4653846153846155
6875,1018320549225947100,"['eps', 'expected', 'for', 'borgwarner', 'inc', 'bwa', 'this', 'quarter', 'httpstcobtsvewmi']",Sun Jul 15 02:25:13 +0000 2018,ledgerzette,BWA,BorgWarner Inc.,http://ledgergazette.com/?p=2824958,False,5.255999999999999
6877,1018320588610396200,"['eps', 'expected', 'for', 'borgwarner', 'inc', 'bwa', 'this', 'quarter', 'httpstconeyolwxlc']",Sun Jul 15 02:25:22 +0000 2018,dailypoliticaln,BWA,BorgWarner Inc.,http://www.dailypolitical.com/?p=2200890,False,5.255999999999999
6984,1018341873839112200,"['borgwarner', 'inc', 'bwa', 'receives', 'average', 'recommendation', 'of', 'buy', 'from', 'brokerages', 'httpstcoxoqlwedsxv']",Sun Jul 15 03:49:57 +0000 2018,MareaInformativ,BWA,BorgWarner Inc.,http://www.mareainformativa.com/?p=445809,False,5.388333333333333
7027,1018352730564452400,"['borgwarner', 'inc', 'bwa', 'receives', 'average', 'recommendation', 'of', 'buy', 'from', 'brokerages', 'httpstconwoajrjxp']",Sun Jul 15 04:33:05 +0000 2018,TickerReport,BWA,BorgWarner Inc.,http://tickerreport.com/?p=3635089,False,5.388333333333333
