,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
9247,1018809830994317300,"['zacks', 'investment', 'research', 'upgrades', 'baozun', 'bzun', 'to', 'hold', 'httpstcosbkqkdmnw']",Mon Jul 16 10:49:26 +0000 2018,MareaInformativ,BZUN,Baozun Inc.,http://www.mareainformativa.com/?p=454160,False,5.74
9309,1018814997080703000,"['rt', 'winfieldsmart', 'top', 'ibd', 'via', 'ibdinvestors', 'current', 'outlook', 'confirmed', 'uptrend', 'distribution', 'days', 'sp', 'nasdaq', 'some', 'str']",Mon Jul 16 11:09:58 +0000 2018,WinfieldSmart,BZUN,Baozun Inc.,,False,5.541818181818183
9330,1018816639851040800,"['everyone', 'chill', 'what', 'could', 'possibly', 'go', 'wrong', 'psa', 'abt', 'googl', 'cdns', 'hd', 'now', 'amd', 'htht', 'fnd', 'nke', 'rh', 'nib', 'cut', 'httpstcornvrpbr']",Mon Jul 16 11:16:30 +0000 2018,GrandSupercycle,BZUN,Baozun Inc.,https://twitter.com/i/web/status/1018816639851040768,False,5.081818181818182
9757,1018849094087921700,"['baozun', 'bzun', 'upgraded', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcogclodnkko']",Mon Jul 16 13:25:27 +0000 2018,ConsumerFeed,BZUN,Baozun Inc.,http://zpr.io/6Xhiy,False,5.572
9792,1018851109732077600,"['bzun', 'amp', 'pvtl', 'up', 'too', 'progressively', 'locking', 'profits', 'now']",Mon Jul 16 13:33:28 +0000 2018,OptD419,BZUN,Baozun Inc.,,False,6.036
9805,1018851954364244000,"['if', 'you', 'swung', 'mu', 'pvtl', 'iq', 'amp', 'bzun', 'with', 'me', 'youre', 'smiling', 'to', 'the', 'bank', 'today', 'remember', 'lock', 'profits']",Mon Jul 16 13:36:49 +0000 2018,OptD419,BZUN,Baozun Inc.,,False,5.802666666666667
9830,1018853681289101300,"['financial', 'review', 'baozun', 'bzun', 'and', 'cdw', 'common', 'stock', 'cdw', 'httpstcocrnzrit']",Mon Jul 16 13:43:41 +0000 2018,MareaInformativ,BZUN,Baozun Inc.,http://www.mareainformativa.com/?p=456181,False,5.336
9892,1018856169128030200,"['locked', 'profits', 'from', 'bzun', 'amp', 'pvtl', 'options', 'expiring', 'this', 'week', 'rebought', 'iq', 'amp', 'mu', 'calls', 'expiring', 'this', 'week', 'iq', 'calls', 'up', 'a', 'ton']",Mon Jul 16 13:53:34 +0000 2018,OptD419,BZUN,Baozun Inc.,,False,5.3975
9975,1018860299351482400,"['insy', 'epinephrine', 'nasal', 'spray', 'in', 'development', 'for', 'treatment', 'of', 'anaphylaxis', 'shows', 'promise', 'as', 'potential', 'alterna', 'httpstcoxgsiabut']",Mon Jul 16 14:09:59 +0000 2018,OfficialHemp,BZUN,Baozun Inc.,https://twitter.com/i/web/status/1018860299351482369,False,5.692
10063,1018865205223264300,"['rt', 'jaywhitcraft', 'long', 'in', 'order', 'of', 'size', 'huya', 'sfix', 'roku', 'bzun', 'iq', 'se', 'hear', 'vrtx', 'twtr', 'nflx', 'and', 'tpiv', 'invested']",Mon Jul 16 14:29:29 +0000 2018,salomon69479215,BZUN,Baozun Inc.,,False,5.140000000000001
10070,1018865394776453100,"['vetr', 'users', 'have', 'upgraded', 'baozun', 'inc', 'to', 'a', 'strong', 'buy', 'rating', 'stars', 'giving', 'bzun', 'a', 'target', 'price', 'of', 'httpstcopqtmmhpn']",Mon Jul 16 14:30:14 +0000 2018,VetrRatings,BZUN,Baozun Inc.,http://bit.ly/2f32tbk,False,5.694285714285714
10088,1018866585455550500,"['bzun', 'watching', 'iq', 'blowing', 'up', 'today', 'and', 'looking', 'like', 'a', 'lovely', 'bzun', 'future']",Mon Jul 16 14:34:58 +0000 2018,Er1kSF,BZUN,Baozun Inc.,,False,6.108
10166,1018872290195451900,"['bzun', 'on', 'july', 'zacks', 'investment', 'research', 'inc', 'downgraded', 'baozun', 'inc', 'bzun', 'from', 'hold', 'to', 'sell']",Mon Jul 16 14:57:38 +0000 2018,CapitalQuail,BZUN,Baozun Inc.,,False,5.456
10172,1018872850961387500,"['bzun', 'biggest', 'decision', 'now', 'is', 'how', 'long', 'to', 'hold', 'jul', 'calls', 'have', 'to', 'stay', 'disciplined']",Mon Jul 16 14:59:52 +0000 2018,mwmorriscapital,BZUN,Baozun Inc.,,False,5.335000000000001
10323,1018881411732987900,"['zto', 'an', 'ibd', 'candidate', 'swing', 'from', 'last', 'week', 'breaking', 'out', 'thx', 'marketsmith', 'bo', 'iq', 'bzun', 'ibdinvestors', 'httpstcoebrygfrh']",Mon Jul 16 15:33:53 +0000 2018,Couzin_Vinny,BZUN,Baozun Inc.,https://twitter.com/i/web/status/1018881411732987905,False,4.993999999999999
10394,1018885188405923800,"['bzun', 'from', 'our', 'weekend', 'newsletter', 'giddy', 'today']",Mon Jul 16 15:48:53 +0000 2018,HCPG,BZUN,Baozun Inc.,,False,6.369999999999999
10412,1018886291952320500,"['bzun', 'vert', 'move', 'here', 'also', 'confirms', 'daily', 'chart', 'break']",Mon Jul 16 15:53:16 +0000 2018,TheLincolnList,BZUN,Baozun Inc.,,False,5.383333333333333
10431,1018886828022067200,"['bzun', 'breaking', 'out', 'httpstconytzdvyclk']",Mon Jul 16 15:55:24 +0000 2018,traderstewie,BZUN,Baozun Inc.,,False,4.3
10447,1018887186689638400,"['rt', 'traderstewie', 'bzun', 'breaking', 'out', 'httpstconytzdvyclk']",Mon Jul 16 15:56:49 +0000 2018,BB_Investing,BZUN,Baozun Inc.,,False,4.493333333333333
10453,1018887502935949300,"['zto', 'iq', 'bzun', 'chinese', 'names', 'strong', 'today']",Mon Jul 16 15:58:05 +0000 2018,letsinvestnow,BZUN,Baozun Inc.,,False,6.06
10454,1018887537564188700,"['rt', 'traderstewie', 'bzun', 'breaking', 'out', 'httpstconytzdvyclk']",Mon Jul 16 15:58:13 +0000 2018,Abkon187,BZUN,Baozun Inc.,,False,4.493333333333333
10512,1018891232842567700,"['bzun', 'load', 'up', 'the', 'truck', 'httpstcofsrxft']",Mon Jul 16 16:12:54 +0000 2018,Er1kSF,BZUN,Baozun Inc.,,False,5.335
10599,1018895694159990800,"['baba', 'feeling', 'a', 'little', 'funny', 'jd', 'not', 'looking', 'great', 'bidu', 'looking', 'like', 'it', 'needs', 'rest', 'going', 'to', 'w', 'with', 'some', 'httpstcoosaafvm']",Mon Jul 16 16:30:38 +0000 2018,idlenoodle,BZUN,Baozun Inc.,https://twitter.com/i/web/status/1018895694159990785,False,5.684444444444444
10604,1018896221790863400,"['china', 'momo', 'names', 'iq', 'zto', 'bzun', 'some', 'of', 'the', 'top', 'performing', 'names', 'on', 'my', 'watchlistchina', 'not', 'weak', 'also', 'strength', 'in', 'financials']",Mon Jul 16 16:32:44 +0000 2018,JPMGGA,BZUN,Baozun Inc.,,False,5.398666666666668
10606,1018896425353142300,"['rt', 'couzinvinny', 'zto', 'an', 'ibd', 'candidate', 'swing', 'from', 'last', 'week', 'breaking', 'out', 'thx', 'marketsmith', 'bo', 'iq', 'bzun', 'ibdinvestors', 'inves']",Mon Jul 16 16:33:32 +0000 2018,heartpumper77,BZUN,Baozun Inc.,,False,4.983636363636363
10662,1018899542899507200,"['rt', 'couzinvinny', 'zto', 'an', 'ibd', 'candidate', 'swing', 'from', 'last', 'week', 'breaking', 'out', 'thx', 'marketsmith', 'bo', 'iq', 'bzun', 'ibdinvestors', 'inves']",Mon Jul 16 16:45:55 +0000 2018,MarketSmith,BZUN,Baozun Inc.,,True,4.983636363636363
10725,1018905441760264200,"['patrickwalker', 'what', 'price', 'did', 'you', 'get', 'into', 'with', 'bzun', 'thanks']",Mon Jul 16 17:09:22 +0000 2018,bobcook12345,BZUN,Baozun Inc.,,False,5.7124999999999995
10759,1018907555530039300,"['spence', 'what', 'price', 'did', 'you', 'get', 'into', 'with', 'bzun', 'thanks']",Mon Jul 16 17:17:46 +0000 2018,bobcook12345,BZUN,Baozun Inc.,,False,5.7124999999999995
10767,1018907655601967100,"['crankyricky', 'what', 'price', 'did', 'you', 'get', 'into', 'with', 'bzun', 'thanks']",Mon Jul 16 17:18:10 +0000 2018,bobcook12345,BZUN,Baozun Inc.,,False,5.7124999999999995
10818,1018911400218058800,"['bzun', 'mrunaway', 'offhi', 'alltfs', 'tlm', 'ilm', 'wkhi', 'dyvoltxx', 'dyrngxx', 'potlong']",Mon Jul 16 17:33:02 +0000 2018,tymorapro,BZUN,Baozun Inc.,,False,0.0
10846,1018914034907742200,"['been', 'so', 'busy', 'with', 'work', 'today', 'but', 'bzun', 'headed', 'for', 'then', 'ath', 'my', 'calls', 'exploding', 'httpstcomntatveak']",Mon Jul 16 17:43:31 +0000 2018,OptD419,BZUN,Baozun Inc.,,False,5.338333333333334
