,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
19633,1019547344428290000,"['citigroup', 'c', 'stock', 'rating', 'upgraded', 'by', 'valuengine', 'httpstcomekgymji']",Wed Jul 18 11:40:03 +0000 2018,EnterpriseLeade,C,Citigroup Inc.,http://theenterpriseleader.com/?p=994141,False,5.255
19811,1019553581056385000,"['c', 'gapdn', 'fill', 'prvcl', 'prvlo', 'prvchi', 'tf', 'bigfltb', 'pvolt', 'tlm', 'rv', 'vl', 'rs']",Wed Jul 18 12:04:50 +0000 2018,tymorapro,C,Citigroup Inc.,,False,4.98
19847,1019554820418613200,"['morganstanley', 'could', 'see', 'best', 'postearnings', 'rise', 'for', 'a', 'big', 'us', 'bank', 'stock', 'this', 'season', 'shares', 'up', 'in', 'preop', 'httpstcoegvpoye']",Wed Jul 18 12:09:46 +0000 2018,TheSquareMile,C,Citigroup Inc.,https://twitter.com/i/web/status/1019554820418613248,False,5.941333333333333
19848,1019554841809518600,"['morganstanley', 'could', 'see', 'best', 'postearnings', 'rise', 'for', 'a', 'big', 'us', 'bank', 'stock', 'this', 'season', 'shares', 'up', 'in', 'preop', 'httpstcoxxhxpgugw']",Wed Jul 18 12:09:51 +0000 2018,CityIndex,C,Citigroup Inc.,https://twitter.com/i/web/status/1019554841809518593,True,5.941333333333333
19849,1019554862282010600,"['morganstanley', 'could', 'see', 'best', 'postearnings', 'rise', 'for', 'a', 'big', 'us', 'bank', 'stock', 'this', 'season', 'shares', 'up', 'in', 'preop', 'httpstcodewjkuih']",Wed Jul 18 12:09:56 +0000 2018,Ken_CityIndex,C,Citigroup Inc.,https://twitter.com/i/web/status/1019554862282010624,False,5.941333333333333
20010,1019559416096608300,"['q', 'eps', 'estimates', 'for', 'citigroup', 'inc', 'c', 'lifted', 'by', 'oppenheimer', 'httpstcoxsggmfwc']",Wed Jul 18 12:28:01 +0000 2018,MareaInformativ,C,Citigroup Inc.,http://www.mareainformativa.com/?p=468473,False,5.102857142857142
20110,1019562933897121800,"['ms', 'jpm', 'c', 'wfc', 'bac', 'trading', 'scorecard', 'how', 'jpmorgan', 'other', 'top', 'wall', 'street', 'banks', 'did', 'in', 'q', 'httpstcopwwaasbnpy']",Wed Jul 18 12:42:00 +0000 2018,newswelldone,C,Citigroup Inc.,https://www.StockNewsWires.com/ms-jpm-c-wfc-bac-trading-scorecard-how-jpmorgan-other-top-wall-street-banks-did-in-q2/,False,5.323333333333333
20144,1019563681871474700,"['sampp', 'breaks', 'out', 'of', 'one', 'more', 'hurdle', 'before', 'latejanuary', 'high', 'is', 'tested', 'spx', 'vix', 'vxv', 'also', 'c', 'gs', 'jpm', 'httpstcogzxjncrj']",Wed Jul 18 12:44:58 +0000 2018,TalkMarkets,C,Citigroup Inc.,https://goo.gl/GWznTo,False,5.256363636363637
20755,1019576133640179700,"['citigroup', 'inc', 'c', 'shareholder', 'lakewood', 'capital', 'management', 'lp', 'increased', 'stake', 'by', 'million', 'as', 'valuation', 'declined', 'httpstconjotj']",Wed Jul 18 13:34:27 +0000 2018,Fanob_stock,C,Citigroup Inc.,http://fanob.com/2018/07/18/citigroup-inc-c-shareholder-lakewood-capital-management-lp-increased-stake-by-25-13-million-as-valuation-declined/,False,5.2219999999999995
20765,1019576285184643100,"['lakewood', 'capital', 'management', 'lp', 'stake', 'in', 'citigroup', 'inc', 'c', 'increased', 'by', 'million', 'httpstcosvnsfy']",Wed Jul 18 13:35:03 +0000 2018,whatsonthorold2,C,Citigroup Inc.,https://www.whatsonthorold.com/2018/07/18/lakewood-capital-management-lp-stake-in-citigroup-inc-c-increased-by-25-13-million/,False,5.482222222222222
