,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1731,1016927609719021600,"['analysts', 'anticipate', 'cardinal', 'health', 'inc', 'cah', 'will', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcooosjygtr']",Wed Jul 11 06:10:10 +0000 2018,TranscriptDaily,CAH,Cardinal Health,http://zpr.io/6aqHY,False,5.749999999999998
1836,1016991487647731700,"['analysts', 'anticipate', 'cardinal', 'health', 'inc', 'cah', 'will', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcozyqsiroc']",Wed Jul 11 10:24:00 +0000 2018,MareaInformativ,CAH,Cardinal Health,http://www.mareainformativa.com/?p=421125,False,5.749999999999998
2145,1017058783036608500,"['cardinal', 'health', 'inc', 'cah', 'given', 'consensus', 'rating', 'of', 'hold', 'by', 'brokerages', 'httpstcoaynpuhce']",Wed Jul 11 14:51:24 +0000 2018,WeekHerald,CAH,Cardinal Health,http://weekherald.com/?p=2983365,False,5.604444444444444
2149,1017059435955540000,"['cardinal', 'health', 'inc', 'cah', 'given', 'average', 'recommendation', 'of', 'hold', 'by', 'brokerages', 'httpstcodiyewnztg']",Wed Jul 11 14:54:00 +0000 2018,OlympiaReport,CAH,Cardinal Health,http://theolympiareport.com/?p=917549,False,5.49
2603,1017192015757500400,"['top', 'st', 'dividend', 'aristocrats', 'momentum', 'adm', 'jnj', 'pep', 'ko', 'wmt', 'bottom', 'dov', 'emr', 'cah', 'cvx', 't', 'httpstcoovomvtq']",Wed Jul 11 23:40:49 +0000 2018,AndersenBands,CAH,Cardinal Health,https://twitter.com/i/web/status/1017192015757500416,False,5.296666666666667
3094,1017371300749299700,"['earnings', 'per', 'share', 'expected', 'for', 'cardinal', 'health', 'inc', 'cah', 'this', 'quarter', 'httpstcopjegssevf']",Thu Jul 12 11:33:14 +0000 2018,EnterpriseLeade,CAH,Cardinal Health,http://theenterpriseleader.com/?p=981530,False,5.8340000000000005
3179,1017393561241903100,"['traders', 'buy', 'cardinal', 'health', 'cah', 'on', 'weakness', 'httpstcokcbuvher']",Thu Jul 12 13:01:41 +0000 2018,ConsumerFeed,CAH,Cardinal Health,http://zpr.io/6aL2T,False,5.52
3907,1017500105715388400,"['top', 'moneyflow', 'for', 'sp', 'today', 'ca', 'orcl', 'nflx', 'intc', 't', 'pfe', 'nvda', 'xom', 'pg', 'cah', 'httpstcosznrwp']",Thu Jul 12 20:05:04 +0000 2018,MITickWatcher,CAH,Cardinal Health,https://appsto.re/i6hH3LG,False,5.503333333333333
4879,1017755529786085400,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'cah', 'is', 'httpstcojhpepwlh', 'omi', 'cvs', 'rad', 'tfx']",Fri Jul 13 13:00:01 +0000 2018,shortvolumes,CAH,Cardinal Health,http://shortvolumes.com/?t=CAH,False,5.2375
5007,1017776411816480800,"['cah', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcovmclijlygo', 'httpstcocwwfocqn']",Fri Jul 13 14:23:00 +0000 2018,optioncharts,CAH,Cardinal Health,http://maximum-pain.com/options/max-pain/CAH,False,4.888
7056,1018359265117888500,"['recommendation', 'hold', 'for', 'cah', 'with', 'ub', 'rating', 'out', 'of', 'httpstcogvvgnkt']",Sun Jul 15 04:59:03 +0000 2018,1MinuteStock,CAH,Cardinal Health,https://unicornbay.com/t/CAH.US?utm_medium=tweet&utm_campaign=ubrecommendation&utm_source=twitter,False,5.29
7062,1018359767989751800,"['explore', 'fundamental', 'numbers', 'and', 'pros', 'and', 'cons', 'for', 'cah', 'httpstcoxulwtief']",Sun Jul 15 05:01:03 +0000 2018,1MinuteStock,CAH,Cardinal Health,https://unicornbay.com/t/CAH.US?utm_medium=tweet&utm_campaign=proscons&utm_source=twitter,False,5.634999999999999
7361,1018404310898524200,"['unicorn', 'bay', 'rating', 'for', 'cah', 'is', 'out', 'of', 'httpstcodwqimlyvk']",Sun Jul 15 07:58:03 +0000 2018,1MinuteStock,CAH,Cardinal Health,https://unicornbay.com/t/CAH.US?utm_medium=tweet&utm_campaign=rank&utm_source=twitter,False,5.243333333333333
7364,1018404561906569200,"['we', 'calculated', 'day', 'expected', 'return', 'of', 'cah', 'for', 'you', 'httpstcomlnydwxmmt']",Sun Jul 15 07:59:03 +0000 2018,1MinuteStock,CAH,Cardinal Health,https://unicornbay.com/t/CAH.US?utm_medium=tweet&utm_campaign=expreturn&utm_source=twitter,False,5.6725
7426,1018414627514806300,"['do', 'you', 'know', 'that', 'wallstreet', 'price', 'for', 'cah', 'is', 'httpstcoxrwxmqtlgm']",Sun Jul 15 08:39:03 +0000 2018,1MinuteStock,CAH,Cardinal Health,https://unicornbay.com/t/CAH.US?utm_medium=tweet&utm_campaign=wallstreet&utm_source=twitter,False,5.491428571428572
8831,1018655541156089900,"['cah', 'reversal', 'set', 'up', 'with', 'bullish', 'descending', 'wedge', 'like', 'on', 'dips', 'targets', 'posted', 'httpstcobqpqbfuq']",Mon Jul 16 00:36:21 +0000 2018,classicoptions,CAH,Cardinal Health,,False,5.788571428571428
8866,1018667058459037700,"['rt', 'classicoptions', 'cah', 'reversal', 'set', 'up', 'with', 'bullish', 'descending', 'wedge', 'like', 'on', 'dips', 'targets', 'posted', 'httpstcobqpqbfuq']",Mon Jul 16 01:22:07 +0000 2018,landman_tx,CAH,Cardinal Health,,False,5.675
9667,1018843176466083800,"['cah', 'cardinalhealth', 'cardinal', 'health', 'to', 'webcast', 'discussion', 'of', 'fourthquarter', 'and', 'yearend', 'results', 'for', 'fiscal', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 16 13:01:57 +0000 2018,Allstocknews,CAH,Cardinal Health,,False,5.5128571428571425
9669,1018843330380288000,"['cah', 'cardinalhealth', 'q', 'fy', 'cardinal', 'health', 'inc', 'earnings', 'conference', 'call', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 16 13:02:33 +0000 2018,Allstocknews,CAH,Cardinal Health,,False,5.703333333333333
9700,1018845687814017000,"['cardinal', 'health', 'inc', 'cah', 'stock', 'institutional', 'investors', 'are', 'happy', 'about', 'httpstcoffxwbzem']",Mon Jul 16 13:11:55 +0000 2018,whatsonthorold2,CAH,Cardinal Health,https://www.whatsonthorold.com/2018/07/16/cardinal-health-inc-nysecah-stock-institutional-investors-are-happy-about/,False,5.768888888888887
9708,1018846217667833900,"['cardinal', 'health', 'inc', 'cah', 'stock', 'price', 'up', 'as', 'sentiment', 'improves', 'httpstcodffsovrtj']",Mon Jul 16 13:14:02 +0000 2018,bibeypost_stock,CAH,Cardinal Health,https://www.bibeypost.com/cardinal-health-inc-nysecah-stock-price-up-as-sentiment-improves/,False,5.677499999999999
9844,1018854455905833000,"['bought', 'shares', 'of', 'cah', 'investing', 'retirement', 'stockmarket', 'stockstowatch']",Mon Jul 16 13:46:46 +0000 2018,FiscalVoyage,CAH,Cardinal Health,,False,5.992
10014,1018862015505461200,"['cardinal', 'health', 'cah', 'given', 'new', 'price', 'target', 'at', 'argus', 'httpstcodxnyrzyh']",Mon Jul 16 14:16:48 +0000 2018,OlympiaReport,CAH,Cardinal Health,http://theolympiareport.com/?p=927495,False,5.797142857142857
10015,1018862017917145100,"['cardinal', 'health', 'cah', 'given', 'new', 'price', 'target', 'at', 'argus', 'httpstcopnzkunglpy']",Mon Jul 16 14:16:49 +0000 2018,WeekHerald,CAH,Cardinal Health,http://weekherald.com/?p=2993293,False,5.797142857142857
10436,1018886911136550900,"['cardinal', 'health', 'cah', 'given', 'new', 'price', 'target', 'at', 'argus', 'httpstcohbptjjbve']",Mon Jul 16 15:55:44 +0000 2018,MareaInformativ,CAH,Cardinal Health,http://www.mareainformativa.com/?p=456936,False,5.797142857142857
