,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
20,1019734658127401000,"['trump', 'tells', 'cbs', 'hes', 'always', 'wanted', 'to', 'be', 'interviewed', 'by', 'special', 'counsel', 'mueller', 'but', 'deflected', 'questions', 'on', 'whethe', 'httpstcoatbigpdh']",Thu Jul 19 00:04:22 +0000 2018,business,CBS,CBS,https://twitter.com/i/web/status/1019734658127400961,True,5.342666666666667
4438,1017633099973316600,"['rt', 'teresaarthur', 'gs', 'ci', 'vz', 'ggp', 'duk', 'cbs', 'dis', 'twtr', 'wp', 'noc', 'pm', 'vlo', 'ge', 'hdb', 'jnj', 'tgt', 'luv', 'mic', 'wpx', 'brkib', 'afl', 'largest', 'moc', 'sell']",Fri Jul 13 04:53:32 +0000 2018,jfhksar88,CBS,CBS Corporation,,False,5.398888888888889
4454,1017636518524055600,"['nflx', 'secured', 'emmy', 'nominations', 'breaking', 'hbos', 'year', 'winning', 'streak', 't', 'hbo', 'recd', 'cmcsa', 'cbs', 'dis', 'hulu', 'amp', 'amzn']",Fri Jul 13 05:07:07 +0000 2018,Ro_Patel,CBS,CBS Corporation,,False,5.398888888888888
4531,1017669145754783700,"['needham', 'amp', 'company', 'llc', 'brokers', 'lower', 'earnings', 'estimates', 'for', 'cbs', 'co', 'common', 'stock', 'cbs', 'httpstcooeommjxy']",Fri Jul 13 07:16:46 +0000 2018,TranscriptDaily,CBS,CBS Corporation,http://zpr.io/6aV5K,False,5.263333333333333
4560,1017678305334620200,"['jefferies', 'financial', 'group', 'weighs', 'in', 'on', 'cbs', 'co', 'common', 'stocks', 'fy', 'earnings', 'cbs', 'httpstcoboepxwh']",Fri Jul 13 07:53:10 +0000 2018,TheMarketsDaily,CBS,CBS Corporation,http://zpr.io/6aB68,False,5.505999999999999
4690,1017721070542032900,"['jefferies', 'financial', 'group', 'weighs', 'in', 'on', 'cbs', 'co', 'common', 'stocks', 'fy', 'earnings', 'cbs', 'httpstcotnkhsvklxi']",Fri Jul 13 10:43:06 +0000 2018,MareaInformativ,CBS,CBS Corporation,http://www.mareainformativa.com/?p=438341,False,5.505999999999999
4890,1017756923775668200,"['cbs', 'jpmorgan', 'twitter', 'fast', 'money', 'picks', 'for', 'july', 'cbs', 'jpm', 'twtr', 'kre', 'httpstcoeabqnatjgf']",Fri Jul 13 13:05:34 +0000 2018,TopStockAlerts1,CBS,CBS Corporation,https://m.benzinga.com/article/12015791,False,5.715000000000001
5125,1017795876427894800,"['my', 'best', 'week', 'trading', 'options', 'yess', 'thanks', 'to', 'the', 'option', 'trades', 'at', 'httpstcotvzack', 'nvro', 'gld', 'so', 'mtb', 'c', 'httpstcolenrakrur']",Fri Jul 13 15:40:21 +0000 2018,KevinMchorse,CBS,CBS Corporation,http://optionsbypros.com,False,5.74
5195,1017807287161892900,"['k', 'cbs', 'old', 'news', 'but', 'still', 'on', 'shelves', 'httpstconxgkxgvw']",Fri Jul 13 16:25:41 +0000 2018,tekmunnee,CBS,CBS Corporation,,False,4.925714285714286
5655,1017922891680288800,"['top', 'stocks', 'with', 'ta', 'score', 'trending', 'down', 'sp', 'pwr', 'tap', 'bmy', 'hfc', 'pep', 'cbs', 'jbht', 'so', 'cnc', 'fbhs', 'httpstcosznrwp']",Sat Jul 14 00:05:04 +0000 2018,MITickWatcher,CBS,CBS Corporation,https://appsto.re/i6hH3LG,False,5.321818181818181
5658,1017923855199789000,"['rt', 'themotleyfool', 'amazons', 'prime', 'video', 'would', 'get', 'a', 'huge', 'catalog', 'boost', 'if', 'it', 'bought', 'cbs', 'but', 'theres', 'network', 'dramas', 'and', 'then', 'theres', 'netwo']",Sat Jul 14 00:08:53 +0000 2018,dannyvena,CBS,CBS Corporation,,False,5.446666666666665
5861,1018074413672157200,"['cbs', 'technical', 'alerts', 'nr', 'bullish', 'setup', 'nr', 'narrow', 'range', 'bar', 'and', 'cup', 'with', 'handle', 'httpstcomgkany']",Sat Jul 14 10:07:09 +0000 2018,SwingTradeBot,CBS,CBS Corporation,https://swingtradebot.com/equities/CBS,False,5.324
5986,1018102577966092300,"['rt', 'swingtradebot', 'cbs', 'technical', 'alerts', 'nr', 'bullish', 'setup', 'nr', 'narrow', 'range', 'bar', 'and', 'cup', 'with', 'handle', 'httpstcomgkany']",Sat Jul 14 11:59:04 +0000 2018,AlertTrade,CBS,CBS Corporation,https://swingtradebot.com/equities/CBS,False,5.283636363636363
5988,1018102580575121400,"['rt', 'swingtradebot', 'cbs', 'technical', 'alerts', 'nr', 'bullish', 'setup', 'nr', 'narrow', 'range', 'bar', 'and', 'cup', 'with', 'handle', 'httpstcomgkany']",Sat Jul 14 11:59:05 +0000 2018,tradnews_,CBS,CBS Corporation,https://swingtradebot.com/equities/CBS,False,5.283636363636363
6210,1018156088473079800,"['beware', 'media', 'mergers', 'think', 'twice', 'before', 'trying', 'to', 'buy', 'after', 'shock', 'doj', 'appeal', 'this', 'week', 'challenging', 'atampt', 't', 'time', 'httpstcofmcflgks']",Sat Jul 14 15:31:42 +0000 2018,SusanLiTV,CBS,CBS Corporation,https://twitter.com/i/web/status/1018156088473079808,True,5.302499999999999
6229,1018161035784540200,"['rt', 'susanlitv', 'beware', 'media', 'mergers', 'think', 'twice', 'before', 'trying', 'to', 'buy', 'after', 'shock', 'doj', 'appeal', 'this', 'week', 'challenging', 'atampt', 't', 'time', 'warner', 'de']",Sat Jul 14 15:51:22 +0000 2018,IvanofHK,CBS,CBS Corporation,,False,5.249473684210526
6293,1018211024938209300,"['rt', 'susanlitv', 'beware', 'media', 'mergers', 'think', 'twice', 'before', 'trying', 'to', 'buy', 'after', 'shock', 'doj', 'appeal', 'this', 'week', 'challenging', 'atampt', 't', 'time', 'warner', 'de']",Sat Jul 14 19:10:00 +0000 2018,philstaudt,CBS,CBS Corporation,,False,5.249473684210526
6357,1018218951531286500,"['cbs', 'co', 'common', 'stock', 'cbs', 'forecasted', 'to', 'earn', 'fy', 'earnings', 'of', 'per', 'share', 'httpstcoaokbqzweb']",Sat Jul 14 19:41:30 +0000 2018,ledgerzette,CBS,CBS Corporation,http://ledgergazette.com/?p=2824119,False,5.663636363636363
6359,1018218999782543400,"['cbs', 'co', 'common', 'stock', 'cbs', 'forecasted', 'to', 'earn', 'fy', 'earnings', 'of', 'per', 'share', 'httpstcogcuwpmhm']",Sat Jul 14 19:41:41 +0000 2018,dakotafinancial,CBS,CBS Corporation,http://dakotafinancialnews.com/?p=315859,False,5.663636363636363
6642,1018262187247325200,"['cbs', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcofnhejmuy', 'httpstcockawufkji']",Sat Jul 14 22:33:18 +0000 2018,optioncharts,CBS,CBS Corporation,http://maximum-pain.com/options/open-interest/CBS,False,5.8822222222222225
