,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
12841,1019145890240458800,"['cci', 'crown', 'castle', 'international', 'corp', 'nysecci', 'files', 'an', 'k', 'entry', 'into', 'a', 'material', 'definitive', 'agreement', 'httpstcooqdeamnhg']",Tue Jul 17 09:04:49 +0000 2018,marketexclusive,CCI,Crown Castle International Corp. (REIT),https://marketexclusive.com/crown-castle-international-corp-nysecci-files-an-8-k-entry-into-a-material-definitive-agreement-11/2018/07/,False,5.640000000000001
13038,1019165530761191400,"['colby', 'synesael', 'previews', 'wireless', 'telecom', 'stock', 'earnings', 't', 's', 'tmus', 'vz', 'amt', 'cci', 'sbac']",Tue Jul 17 10:22:52 +0000 2018,CowenResearch,CCI,Crown Castle International Corp. (REIT),,True,5.8759999999999994
13182,1019174927868612600,"['graphs', 'on', 'tower', 'company', 'exposure', 'to', 'tmobile', 'sprint', 'remaining', 'average', 'term', 'heres', 'a', 'full', 'analysis', 'httpstcougzqhnomp']",Tue Jul 17 11:00:12 +0000 2018,steelintheair,CCI,Crown Castle International Corp. (REIT),https://twitter.com/i/web/status/1019174927868612608,False,5.3563636363636355
16604,1019347897794617300,"['critical', 'contrast', 'ny', 'mtg', 'tr', 'incsh', 'nymt', 'versus', 'crown', 'castle', 'insh', 'sh', 'cci', 'httpstcorddrqbt']",Tue Jul 17 22:27:32 +0000 2018,WatchlistN,CCI,Crown Castle International Corp. (REIT),http://zpr.io/6XLEQ,False,5.243333333333333
17545,1019414700885532700,"['seasonal', 'charts', 'of', 'companies', 'reporting', 'earnings', 'on', 'wednesday', 'httpstcovuanry', 'abt', 'aa', 'axp', 'cp', 'cci', 'ebay', 'httpstcomyxzsrcj']",Wed Jul 18 02:52:59 +0000 2018,EquityClock,CCI,Crown Castle International Corp. (REIT),http://www.equityclock.com/2018/07/17/stock-market-outlook-for-july-18-2018/,False,5.550000000000001
19114,1019529838904987600,"['aa', 'axp', 'bhlb', 'bmi', 'bpfh', 'bxs', 'caty', 'cci', 'cck', 'cns', 'cp', 'cto', 'dwch', 'ebay', 'ebmt', 'egbn', 'gsbc', 'ibm', 'httpstcojqnagzwl']",Wed Jul 18 10:30:30 +0000 2018,IcemanTrading,CCI,Crown Castle International Corp. (REIT),https://twitter.com/i/web/status/1019529838904987649,False,5.68
19767,1019552396245127200,"['bidaskclub', 'top', 'stronglybought', 'msft', 'biib', 'grmn', 'amzn', 'mnst', 'duk', 'sq', 'eix', 'amgn', 'now', 'cci', 'lly', 'crm', 'infy', 'wec', 'httpstcoiedhmbi']",Wed Jul 18 12:00:08 +0000 2018,BACTop50Cies,CCI,Crown Castle International Corp. (REIT),https://twitter.com/i/web/status/1019552396245127168,False,6.33
19932,1019557323600261100,"['wallstreet', 'misterfishman', 'via', 'ihub', 'nnrx', 'rumors', 'have', 'it', 'that', 'nutranomics', 'possible', 'merger', 'with', 'httpstcovgzwgdmatu']",Wed Jul 18 12:19:43 +0000 2018,bugeyed213,CCI,Crown Castle International Corp. (REIT),https://twitter.com/i/web/status/1019557323600261120,False,5.2775
20069,1019561073500983300,"['schuldensuehner', 'time', 'to', 'profit', 'stockmarket', 'stocks', 'via', 'ihub', 'nnrx', 'rumors', 'have', 'it', 'that', 'nutranomics', 'possible', 'httpstcousoevgw']",Wed Jul 18 12:34:37 +0000 2018,bugeyed213,CCI,Crown Castle International Corp. (REIT),https://twitter.com/i/web/status/1019561073500983296,False,5.514000000000001
20195,1019564702857343000,"['rt', 'bugeyed', 'wallstreet', 'misterfishman', 'via', 'ihub', 'nnrx', 'rumors', 'have', 'it', 'that', 'nutranomics', 'possible', 'merger', 'with', 'httpstcoawvfno']",Wed Jul 18 12:49:02 +0000 2018,Barry69104159,CCI,Crown Castle International Corp. (REIT),,False,5.233333333333333
