,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2356,1017111179418918900,"['are', 'ch', 'robinson', 'chrw', 'shares', 'headed', 'north', 'jpmorgan', 'issues', 'upgrade', 'httpstcohhqyumjw']",Wed Jul 11 18:19:36 +0000 2018,reurope_stock,CHRW,C.H. Robinson Worldwide,https://reurope.com/2018/07/11/are-c-h-robinson-chrw-shares-headed-north-jpmorgan-issues-upgrade/,False,5.4975
2460,1017141924380266500,"['afternoon', 'most', 'tweeted', 'big', 'caps', 'check', 'out', 'gambiste', 'top', 'fast', 'iq', 'aal', 'jazz', 'fang', 'dbx', 'amd', 'dish', 'chrw', 'iac', 'httpstcolypltitvr']",Wed Jul 11 20:21:47 +0000 2018,GambisteFinance,CHRW,C.H. Robinson Worldwide,http://gambiste.com/index.php/current-month-stock-data/,False,5.97090909090909
2508,1017151809524203500,"['buy', 'ch', 'robinson', 'sell', 'werner', 'enterprises', 'jpmorgan', 'says', 'in', 'review', 'of', 'transportation', 'logistics', 'stocks', 'wern', 'chrw', 'httpstcouxpwqnujn']",Wed Jul 11 21:01:03 +0000 2018,TopStockAlerts1,CHRW,C.H. Robinson Worldwide,https://twitter.com/i/web/status/1017151809524203520,False,5.4854545454545445
2550,1017164112378331100,"['scan', 'results', 'bearish', 'engulfing', 'today', 'fn', 'jnj', 'xcra', 'chrw', 'epd', 'apy', 'httpstcoltgwroxlv']",Wed Jul 11 21:49:57 +0000 2018,SwingTradeBot,CHRW,C.H. Robinson Worldwide,https://swingtradebot.com/events/14/equities?selected_date=2018-07-11,False,6.0600000000000005
2591,1017186954033684500,"['evening', 'most', 'tweeted', 'big', 'caps', 'check', 'out', 'gambiste', 'top', 'fast', 'iq', 'dbx', 'aal', 'fang', 'amd', 'jazz', 'chrw', 'dish', 'chkp', 'httpstcolypltitvr']",Wed Jul 11 23:20:42 +0000 2018,GambisteFinance,CHRW,C.H. Robinson Worldwide,http://gambiste.com/index.php/current-month-stock-data/,False,6.01090909090909
2871,1017312149310443500,"['analysts', 'anticipate', 'ch', 'robinson', 'worldwide', 'inc', 'chrw', 'will', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcowcyhoppms']",Thu Jul 12 07:38:11 +0000 2018,ThisLincolnian,CHRW,C.H. Robinson Worldwide,http://thelincolnianonline.com/?p=2178129,False,5.585454545454545
3278,1017404587983233000,"['ch', 'robinson', 'worldwide', 'chrw', 'downgraded', 'by', 'zacks', 'investment', 'research', 'httpstcoggpbak']",Thu Jul 12 13:45:30 +0000 2018,ThisLincolnian,CHRW,C.H. Robinson Worldwide,http://thelincolnianonline.com/?p=2178973,False,5.6933333333333325
3479,1017432720006410200,"['ch', 'robinson', 'worldwide', 'chrw', 'upgraded', 'by', 'jpmorgan', 'chase', 'amp', 'co', 'to', 'neutral', 'httpstcocxibxapwhj']",Thu Jul 12 15:37:18 +0000 2018,MareaInformativ,CHRW,C.H. Robinson Worldwide,http://www.mareainformativa.com/?p=434119,False,5.25111111111111
4757,1017736060208640000,"['upgrades', 'vfc', 'chrw', 'mnro', 'hri', 'uri', 'blk', 'mdc']",Fri Jul 13 11:42:40 +0000 2018,ACInvestorBlog,CHRW,C.H. Robinson Worldwide,,False,0.0
4758,1017736310184906800,"['rt', 'acinvestorblog', 'upgrades', 'vfc', 'chrw', 'mnro', 'hri', 'uri', 'blk', 'mdc']",Fri Jul 13 11:43:39 +0000 2018,just4girls1,CHRW,C.H. Robinson Worldwide,,False,4.88
4869,1017754356391632900,"['at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'vfc', 'httpstcouagzutyew']",Fri Jul 13 12:55:22 +0000 2018,BrandonVanZee,CHRW,C.H. Robinson Worldwide,https://twitter.com/i/web/status/1017754356391632897,False,5.3482352941176465
4871,1017754409457946600,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'vfc', 'chr']",Fri Jul 13 12:55:34 +0000 2018,Market_Scholars,CHRW,C.H. Robinson Worldwide,,False,5.322222222222222
4872,1017754638383136800,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'vfc', 'chr']",Fri Jul 13 12:56:29 +0000 2018,kirtip56,CHRW,C.H. Robinson Worldwide,,False,5.322222222222222
4874,1017754810584653800,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'vfc', 'chr']",Fri Jul 13 12:57:10 +0000 2018,tleong_tat,CHRW,C.H. Robinson Worldwide,,False,5.322222222222222
