,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
15396,1019290729754001400,"['davide', 'leone', 'amp', 'partners', 'investment', 'company', 'llp', 'holds', 'stake', 'in', 'colgate', 'palmolive', 'co', 'cl', 'httpstcojgipbzhvl']",Tue Jul 17 18:40:22 +0000 2018,mmahotstuff1,CL,Colgate-Palmolive Company,https://www.mmahotstuff.com/2018/07/17/davide-leone-partners-investment-company-llp-holds-stake-in-colgate-palmolive-co-cl.html,False,5.585000000000001
15609,1019301315414057000,"['rt', 'ped', 'ph', 'run', 'no', 'for', 'nhod', 'grab', 'a', 'beer', 'hell', 'of', 'a', 'game', 'here', 'bud', 'andi', 'ifxy', 'potn', 'cbmj', 'sanp', 'adtm', 'ottv', 'httpstcocnkbtoye']",Tue Jul 17 19:22:25 +0000 2018,MeyersCohen,CL,Colgate-Palmolive Company,https://twitter.com/i/web/status/1019301315414056962,False,5.057142857142858
15806,1019310968332017700,"['crude', 'oil', 'httpstcorvmsfeks', 'h', 'blue', 'time', 'reversal', 'points', 'forecast', 'usoil', 'ukoil', 'brent', 'httpstcogpteyrwz']",Tue Jul 17 20:00:47 +0000 2018,DaedalusReport,CL,Colgate-Palmolive Company,https://TheDaedalusReport.com/LIVE,False,5.234285714285714
16171,1019325417675731000,"['at', 'am', 'this', 'morning', 'crude', 'oil', 'looked', 'like', 'it', 'was', 'ready', 'to', 'rip', 'to', 'the', 'up', 'side', 'but', 'the', 'rally', 'attempt', 'was', 'halted', 'httpstcocpfpopbcy']",Tue Jul 17 20:58:12 +0000 2018,NOBStrades,CL,Colgate-Palmolive Company,https://twitter.com/i/web/status/1019325417675730944,False,5.211818181818182
16215,1019327267053490200,"['rt', 'nobstrades', 'at', 'am', 'this', 'morning', 'crude', 'oil', 'looked', 'like', 'it', 'was', 'ready', 'to', 'rip', 'to', 'the', 'up', 'side', 'but', 'the', 'rally', 'attempt', 'was', 'halted', 'by', 'a', 'vw']",Tue Jul 17 21:05:33 +0000 2018,Huwey,CL,Colgate-Palmolive Company,,False,5.1904
16318,1019331179949027300,"['another', 'crude', 'oil', 'trade', 'fired', 'off', 'minutes', 'before', 'the', 'nyse', 'open', 'with', 'a', 'three', 'stooges', 'setup', 'and', 'a', 'fatty', 'momentum', 'httpstcoiuxwfo']",Tue Jul 17 21:21:06 +0000 2018,NOBStrades,CL,Colgate-Palmolive Company,https://twitter.com/i/web/status/1019331179949027329,False,4.97625
16571,1019345979206787100,"['crude', 'oil', 'httpstcorvmsfeks', 'h', 'blue', 'time', 'reversal', 'points', 'forecast', 'usoil', 'ukoil', 'brent', 'httpstcojgzfsemmc']",Tue Jul 17 22:19:54 +0000 2018,DaedalusReport,CL,Colgate-Palmolive Company,https://TheDaedalusReport.com/LIVE,False,5.234285714285714
16573,1019346151307243500,"['cl', 'crude', 'oil', 'wti', 'reversals', 'off', 'ending', 'diagonals', 'at', 'two', 'important', 'levels', 'of', 'degree', 'often', 'respond', 'in', 'this', 'manner', 'httpstcolptwrplbz']",Tue Jul 17 22:20:35 +0000 2018,TTCSteve,CL,Colgate-Palmolive Company,https://twitter.com/i/web/status/1019346151307243520,False,5.135999999999999
16656,1019350691041570800,"['cl', 'played', 'out', 'pretty', 'well', 'on', 'the', 'downside', 'took', 'profits', 'and', 'model', 'has', 'a', 'long', 'shaping', 'up', 'again']",Tue Jul 17 22:38:38 +0000 2018,pollinatecap,CL,Colgate-Palmolive Company,,False,5.701333333333333
16706,1019353701855703000,"['crude', 'finds', 'buyers', 'at', 'key', 'support', 'level', 'httpstcochqapmanl', 'sentiment', 'neutral', 'cl', 'clf']",Tue Jul 17 22:50:35 +0000 2018,techniquant,CL,Colgate-Palmolive Company,https://techniquant.com/reports/cfd-crude-daily-technical-analysis-report-for-2018-07-17/,False,5.453333333333333
