,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
12453,1019095751144570900,"['clx', 'httpstcooevqfr']",Tue Jul 17 05:45:35 +0000 2018,SeekingAlpha,CLX,The Clorox Company,https://seekingalpha.com/article/4187635-dividend-champion-spotlight-clorox-company?source=feed_f,False,0.0
12465,1019097343902154800,"['rt', 'seekingalpha', 'clx', 'httpstcooevqfr']",Tue Jul 17 05:51:55 +0000 2018,AviseAnalytics,CLX,The Clorox Company,https://seekingalpha.com/article/4187635-dividend-champion-spotlight-clorox-company?source=feed_f,False,4.88
12905,1019155728492302300,"['clorox', 'clx', 'price', 'target', 'raised', 'to', 'at', 'bank', 'of', 'america', 'httpstcoybncwfpzm']",Tue Jul 17 09:43:55 +0000 2018,ZolmaxNews,CLX,The Clorox Company,http://zolmax.com/?p=2386860,False,5.552499999999999
13957,1019213563444023300,"['clorox', 'clx', 'price', 'target', 'raised', 'to', 'at', 'bank', 'of', 'america', 'httpstcoserglkba']",Tue Jul 17 13:33:44 +0000 2018,MareaInformativ,CLX,The Clorox Company,http://www.mareainformativa.com/?p=463517,False,5.552499999999999
13981,1019214537302642700,"['clx', 'looking', 'to', 'work', 'out', 'of', 'nice', 'flag', 'pattern', 'here', 'after', 'breaking', 'ma']",Tue Jul 17 13:37:36 +0000 2018,OptionsHawk,CLX,The Clorox Company,,False,5.445
15653,1019303487048470500,"['clx', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoslosggz', 'httpstcosxjgsbrkv']",Tue Jul 17 19:31:03 +0000 2018,optioncharts,CLX,The Clorox Company,http://maximum-pain.com/options/max-pain/CLX,False,4.888
16671,1019351519538409500,"['clorox', 'clx', 'downgraded', 'by', 'goldman', 'sachs', 'group', 'httpstcocswszytc']",Tue Jul 17 22:41:55 +0000 2018,ConsumerFeed,CLX,The Clorox Company,http://zpr.io/6XLKz,False,5.355
16760,1019357343778127900,"['on', 'the', 'fly', 'after', 'hours', 'movers', 'mrtn', 'ual', 'csx', 'mlnx', 'ibkr', 'hcsg', 'txn', 'sah', 'cara', 'casi', 'tlys', 'clx', 'httpstcoodxqhdnh']",Tue Jul 17 23:05:04 +0000 2018,theflynews,CLX,The Clorox Company,http://dlvr.it/Qbv18z,False,5.456666666666666
17085,1019380131427647500,"['rt', 'theflynews', 'on', 'the', 'fly', 'after', 'hours', 'movers', 'mrtn', 'ual', 'csx', 'mlnx', 'ibkr', 'hcsg', 'txn', 'sah', 'cara', 'casi', 'tlys', 'clx', 'httpstcoodxqhdnh']",Wed Jul 18 00:35:37 +0000 2018,42Stocks,CLX,The Clorox Company,http://dlvr.it/Qbv18z,False,5.374285714285714
19149,1019531163822641200,"['bank', 'of', 'america', 'increases', 'clorox', 'clx', 'price', 'target', 'to', 'httpstcopdxqnxjbf']",Wed Jul 18 10:35:46 +0000 2018,EnterpriseLeade,CLX,The Clorox Company,http://theenterpriseleader.com/?p=993783,False,5.628571428571429
19784,1019553073365020700,"['clorox', 'on', 'watch', 'after', 'goldman', 'sachs', 'warning', 'httpstcoqvkjpssvt', 'premarket', 'clx']",Wed Jul 18 12:02:49 +0000 2018,MarketCurrents,CLX,The Clorox Company,https://seekingalpha.com/news/3370979-clorox-watch-goldman-sachs-warning?source=feed_f,False,5.033333333333333
19861,1019555252230590500,"['rt', 'marketcurrents', 'clorox', 'on', 'watch', 'after', 'goldman', 'sachs', 'warning', 'httpstcoqvkjpssvt', 'premarket', 'clx']",Wed Jul 18 12:11:29 +0000 2018,LTRR2000,CLX,The Clorox Company,https://seekingalpha.com/news/3370979-clorox-watch-goldman-sachs-warning?source=feed_f,False,5.011428571428572
19964,1019558317948055600,"['clx', 'goldman', 'downgrades', 'clorox', 'to', 'sell', 'on', 'unsustainably', 'high', 'relative', 'valuationanalyst', 'jason', 'english', 'cut', 'pt', 'to', 'httpstconqahiedctl']",Wed Jul 18 12:23:40 +0000 2018,psk2329,CLX,The Clorox Company,https://twitter.com/i/web/status/1019558317948055552,False,5.452727272727273
20048,1019560537468727300,"['good', 'morning', 'traders', 'some', 'nice', 'tickers', 'that', 'have', 'my', 'interest', 'this', 'morning', 'ba', 'gs', 'lrcx', 'mlnx', 'ual', 'csx', 'clrb', 'httpstcoabbqzmtsx']",Wed Jul 18 12:32:29 +0000 2018,AjAwesomecalls,CLX,The Clorox Company,https://twitter.com/i/web/status/1019560537468727296,False,5.9433333333333325
20354,1019568330984902700,"['clorox', 'clx', 'downgraded', 'to', 'sell', 'at', 'goldman', 'sachs', 'group', 'httpstcobvqjfmbo']",Wed Jul 18 13:03:27 +0000 2018,MareaInformativ,CLX,The Clorox Company,http://www.mareainformativa.com/?p=468826,False,5.300000000000001
20948,1019579219742019600,"['what', 'a', 'morning', 'and', 'just', 'minutes', 'from', 'the', 'open', 'ba', 'lrcx', 'cbio', 'clrb', 'clx', 'gs', 'cpah', 'thank', 'you', 'aj', 'httpstcokjdqxunc']",Wed Jul 18 13:46:43 +0000 2018,emesesteiger,CLX,The Clorox Company,https://twitter.com/i/web/status/1019579219742019584,False,5.62
20958,1019579506875564000,"['clx', 'opening', 'with', 'gap', 'thanks', 'to', 'gs', 'httpstcopvioamnxq']",Wed Jul 18 13:47:51 +0000 2018,ivan_santiagob,CLX,The Clorox Company,,False,5.844
21016,1019580712867881000,"['rt', 'emesesteiger', 'what', 'a', 'morning', 'and', 'just', 'minutes', 'from', 'the', 'open', 'ba', 'lrcx', 'cbio', 'clrb', 'clx', 'gs', 'cpah', 'thank', 'you', 'aj', 'ajawesomeca']",Wed Jul 18 13:52:39 +0000 2018,AjAwesomecalls,CLX,The Clorox Company,,False,5.563076923076924
21445,1019590121052627000,"['trndg', 'tsla', 'clx', 'opk', 'mtg', 'i', 'charts', 'httpstconxlxeawwq']",Wed Jul 18 14:30:02 +0000 2018,US_proptrader,CLX,The Clorox Company,http://goo.gl/fJlTyV,False,5.92
21613,1019594025077112800,"['on', 'the', 'fly', 'top', 'five', 'analyst', 'downgrades', 'twtr', 'clx', 'alv', 'vc', 'avgo', 'win', 'unit', 'httpstcoqvnlugvpv']",Wed Jul 18 14:45:33 +0000 2018,theflynews,CLX,The Clorox Company,http://dlvr.it/Qbyrp1,False,5.875555555555556
21884,1019599418931245000,"['rt', 'theflynews', 'on', 'the', 'fly', 'top', 'five', 'analyst', 'downgrades', 'twtr', 'clx', 'alv', 'vc', 'avgo', 'win', 'unit', 'httpstcoqvnlugvpv']",Wed Jul 18 15:06:59 +0000 2018,sep_sal,CLX,The Clorox Company,http://dlvr.it/Qbyrp1,False,5.776
22047,1019603485908721700,"['clorox', 'clx', 'receives', 'a', 'lower', 'rating', 'from', 'goldman', 'sachs', 'will', 'other', 'analysts', 'follow', 'suit', 'httpstcoydyxzewoj']",Wed Jul 18 15:23:09 +0000 2018,whatsonthorold2,CLX,The Clorox Company,https://www.whatsonthorold.com/2018/07/18/clorox-nyseclx-receives-a-lower-rating-from-goldman-sachs-will-other-analysts-follow-suit/,False,5.324166666666667
22067,1019603791845486600,"['should', 'investors', 'consider', 'selling', 'clorox', 'clx', 'shares', 'now', 'that', 'goldman', 'sachs', 'downgraded', 'the', 'company', 'httpstcoeilfecmmeq']",Wed Jul 18 15:24:21 +0000 2018,mmahotstuff1,CLX,The Clorox Company,https://www.mmahotstuff.com/2018/07/18/should-investors-consider-selling-clorox-nyseclx-shares-now-that-goldman-sachs-downgraded-the-company.html,False,5.501818181818181
22091,1019604289549987800,"['goldman', 'sachs', 'says', 'that', 'it', 'is', 'time', 'to', 'finally', 'downgrade', 'clorox', 'clx', 'stock', 'httpstcozwpixhbwx']",Wed Jul 18 15:26:20 +0000 2018,bibeypost_stock,CLX,The Clorox Company,https://www.bibeypost.com/goldman-sachs-says-that-it-is-time-to-finally-downgrade-clorox-nyseclx-stock/,False,5.303999999999999
22109,1019604732443287600,"['clorox', 'clx', 'downgraded', 'by', 'goldman', 'sachs', 'group', 'httpstcogmojhb']",Wed Jul 18 15:28:06 +0000 2018,dakotafinancial,CLX,The Clorox Company,http://dakotafinancialnews.com/?p=326264,False,5.355
22122,1019605059112525800,"['clorox', 'clx', 'downgraded', 'to', 'sell', 'at', 'goldman', 'sachs', 'group', 'httpstcoiwuklnce']",Wed Jul 18 15:29:24 +0000 2018,dailypoliticaln,CLX,The Clorox Company,http://www.dailypolitical.com/?p=2209952,False,5.300000000000001
22172,1019605964884881400,"['clx', 'short', 'httpstcorhmqtnzi']",Wed Jul 18 15:33:00 +0000 2018,TroyPeterson,CLX,The Clorox Company,,False,4.46
22314,1019609411650707500,"['i', 'cant', 'even', 'describe', 'todays', 'morning', 'session', 'awesomecalls', 'no', 'words', 'to', 'describe', 'the', 'greatest', 'chatroom', 'here', 'are', 'some', 'httpstcotsrpltjw']",Wed Jul 18 15:46:41 +0000 2018,AjAwesomecalls,CLX,The Clorox Company,https://twitter.com/i/web/status/1019609411650707457,False,5.39625
22351,1019610156777140200,"['rt', 'troypeterson', 'clx', 'short', 'httpstcorhmqtnzi']",Wed Jul 18 15:49:39 +0000 2018,sep_sal,CLX,The Clorox Company,,False,4.67
22451,1019612154511708200,"['goldman', 'downgrades', 'clx', 'from', 'neutral', 'to', 'sell', 'httpstcoyackiqz']",Wed Jul 18 15:57:35 +0000 2018,usratings,CLX,The Clorox Company,http://99wallstreet.com/ratings/stock/CLX/,False,5.288
23188,1019627654906024000,"['goldman', 'says', 'clx', 'is', 'a', 'sell', 'buysignal']",Wed Jul 18 16:59:11 +0000 2018,trigtrader,CLX,The Clorox Company,,False,5.380000000000001
23499,1019634285517725700,"['the', 'clorox', 'company', 'clx', 'analysts', 'see', 'eps', 'httpstconmrmeli']",Wed Jul 18 17:25:32 +0000 2018,Fanob_stock,CLX,The Clorox Company,http://fanob.com/2018/07/18/the-clorox-company-clx-analysts-see-1-59-eps/,False,5.375
23514,1019634590565085200,"['clx', 'poundedgs', 'downgrade', 'sp', 'loserat', 'new', 'july', 'lows', 'back', 'below', 'd', 'expecting', 'more', 'downside', 'may', 'high', 'httpstcojtzvcd']",Wed Jul 18 17:26:44 +0000 2018,GarySMorrow,CLX,The Clorox Company,https://twitter.com/i/web/status/1019634590565085185,False,5.694
23531,1019634759348183000,"['eps', 'expected', 'for', 'the', 'clorox', 'company', 'clx', 'httpstcompwprdlz']",Wed Jul 18 17:27:25 +0000 2018,bibeypost_stock,CLX,The Clorox Company,https://www.bibeypost.com/1-59-eps-expected-for-the-clorox-company-clx/,False,5.345000000000001
23644,1019637268208865300,"['are', 'clorox', 'clx', 'shares', 'worth', 'your', 'time', 'and', 'dime', 'following', 'recent', 'goldman', 'downgrade', 'httpstcokrqpwprqe']",Wed Jul 18 17:37:23 +0000 2018,Fanob_stock,CLX,The Clorox Company,http://fanob.com/2018/07/18/are-clorox-nyseclx-shares-worth-your-time-and-dime-following-recent-goldman-downgrade/,False,5.804
23660,1019637752386740200,"['clorox', 'clx', 'is', 'a', 'company', 'that', 'goldman', 'seems', 'to', 'dislike', 'as', 'downgrade', 'in', 'given', 'httpstcohjbxbixp']",Wed Jul 18 17:39:18 +0000 2018,bibeypost_stock,CLX,The Clorox Company,https://www.bibeypost.com/clorox-nyseclx-is-a-company-that-goldman-seems-to-dislike-as-downgrade-in-given/,False,5.096363636363637
24098,1019648729870004200,"['rt', 'garysmorrow', 'clx', 'poundedgs', 'downgrade', 'sp', 'loserat', 'new', 'july', 'lows', 'back', 'below', 'd', 'expecting', 'more', 'downside', 'may', 'highd']",Wed Jul 18 18:22:56 +0000 2018,KeralaGuy77,CLX,The Clorox Company,,False,5.517999999999999
24118,1019649257421312000,"['are', 'clorox', 'clx', 'shares', 'a', 'sell', 'now', 'goldman', 'sachs', 'has', 'downgraded', 'stock', 'httpstcogqbaofic']",Wed Jul 18 18:25:01 +0000 2018,whatsonthorold2,CLX,The Clorox Company,https://www.whatsonthorold.com/2018/07/18/are-clorox-clx-shares-a-sell-now-goldman-sachs-has-downgraded-stock/,False,5.55111111111111
