,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
13802,1019206406136885200,"['rt', 'briefingcom', 'cma', 'comerica', 'beats', 'by', 'reports', 'revs', 'inline', 'httpstcowvcklxjt']",Tue Jul 17 13:05:17 +0000 2018,sep_sal,CMA,Comerica Incorporated,http://bit.ly/2Lhq1KQ,False,4.815
13815,1019206748094152700,"['rt', 'seekingalpha', 'cma', 'httpstcomfdjjugqk']",Tue Jul 17 13:06:39 +0000 2018,AviseAnalytics,CMA,Comerica Incorporated,https://seekingalpha.com/article/4187711-comerica-inc-2018-q2-results-earnings-call-slides?source=feed_f,False,4.88
13857,1019209118010052600,"['highs', 'and', 'lows', 'of', 'fang', 'trading', 'market', 'recon', 'cma', 'httpstconmrjgon', 'httpstcopmytswfbk']",Tue Jul 17 13:16:04 +0000 2018,randomdevtest13,CMA,Comerica Incorporated,http://dlvr.it/Qbr6d5,False,5.66
13860,1019209153619939300,"['recent', 'cma', 'technical', 'alerts', 'upside', 'dma', 'break', 'plus', 'more', 'alerts', 'httpstcoecbtyagabu']",Tue Jul 17 13:16:12 +0000 2018,SwingTradeBot,CMA,Comerica Incorporated,https://swingtradebot.com/equities/CMA,False,5.864999999999999
13878,1019210241605554200,"['rt', 'sarge', 'highs', 'and', 'lows', 'of', 'fang', 'trading', 'market', 'recon', 'bac', 'wfc', 'jpm', 'c', 'gs', 'nflx', 'dis', 'amzn', 'googl', 'wmt', 'msft', 'fb', 'cma', 'jnj', 'unh', 'o']",Tue Jul 17 13:20:32 +0000 2018,kooshbal12345,CMA,Comerica Incorporated,,False,5.204444444444444
13892,1019210736093024300,"['rt', 'zachffox', 'comerica', 'tax', 'reform', 'is', 'working', 'against', 'us', 'in', 'terms', 'of', 'loan', 'growth', 'because', 'customers', 'have', 'more', 'cash', 'to', 'pay', 'down', 'debt', 'most', 'bo']",Tue Jul 17 13:22:30 +0000 2018,bcheungz,CMA,Comerica Incorporated,,False,5.128695652173913
13909,1019211330291667000,"['comerica', 'cma', 'announces', 'earnings', 'results', 'beats', 'expectations', 'by', 'eps', 'httpstcoonmgqikdc']",Tue Jul 17 13:24:51 +0000 2018,WatchlistN,CMA,Comerica Incorporated,http://zpr.io/6XCVy,False,5.636666666666666
13922,1019211835059396600,"['premarket', 'movers', 'httpstcorbtoqxldd', 'nflx', 'unh', 'gs', 'jnj', 'amzn', 'wmt', 'ibm', 'igt', 'rdfn', 'kkr', 'paa', 'cma']",Tue Jul 17 13:26:52 +0000 2018,JorelLaraKalel,CMA,Comerica Incorporated,https://cnb.cx/2Lgu2z3,False,5.58
13935,1019212173938176000,"['stocks', 'making', 'the', 'biggest', 'move', 'premarket', 'nflx', 'unh', 'gs', 'amzn', 'wmt', 'cma', 'jnj', 'ibm', 'paa', 'kkr', 'igt', 'rdfn', 'httpstcounwzzoobr']",Tue Jul 17 13:28:12 +0000 2018,Hotpage_News,CMA,Comerica Incorporated,http://hotpagenews.com/r/232380,False,5.646666666666667
13942,1019212369367429100,"['rt', 'hotpagenews', 'stocks', 'making', 'the', 'biggest', 'move', 'premarket', 'nflx', 'unh', 'gs', 'amzn', 'wmt', 'cma', 'jnj', 'ibm', 'paa', 'kkr', 'igt', 'rdfn', 'httpstcoun']",Tue Jul 17 13:28:59 +0000 2018,CCheney95,CMA,Comerica Incorporated,,False,5.5371428571428565
14024,1019216075207082000,"['rt', 'zachffox', 'comerica', 'tax', 'reform', 'is', 'working', 'against', 'us', 'in', 'terms', 'of', 'loan', 'growth', 'because', 'customers', 'have', 'more', 'cash', 'to', 'pay', 'down', 'debt', 'most', 'bo']",Tue Jul 17 13:43:43 +0000 2018,StreetTalkpod,CMA,Comerica Incorporated,,False,5.128695652173913
14089,1019218408267710500,"['rt', 'randomdevtest', 'highs', 'and', 'lows', 'of', 'fang', 'trading', 'market', 'recon', 'cma', 'httpstconmrjgon', 'httpstcopmytswfbk']",Tue Jul 17 13:52:59 +0000 2018,Sarge986,CMA,Comerica Incorporated,http://dlvr.it/Qbr6d5,False,5.504
14128,1019220222795046900,"['stocks', 'making', 'the', 'biggest', 'move', 'premarket', 'nflx', 'unh', 'gs', 'amzn', 'wmt', 'amp', 'more', 'httpstcoiihgzmbg', 'amzn', 'kkr', 'nflx', 'httpstcofdqmclym']",Tue Jul 17 14:00:11 +0000 2018,whotrades,CMA,Comerica Incorporated,https://whotrades.com/$AMZN/4471173?showMore=1,False,5.711428571428572
14155,1019221574589673500,"['up', 'with', 'earnings', 'today', 'alert', 'cma', 'comerica', 'tradeideas', 'via', 'httpstcovsrobzxj', 'to', 'free', 'trading', 'room']",Tue Jul 17 14:05:34 +0000 2018,AlertTrade,CMA,Comerica Incorporated,http://AlertTrade.us,False,6.0840000000000005
