,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
10836,1018913130829762600,"['cms', 'energy', 'co', 'cms', 'given', 'average', 'rating', 'of', 'buy', 'by', 'analysts', 'httpstcobszoesvi']",Mon Jul 16 17:39:55 +0000 2018,ZolmaxNews,CMS,CMS Energy Corporation,http://zolmax.com/?p=2385346,False,5.528888888888888
10878,1018917884226129900,"['brokerages', 'set', 'cms', 'energy', 'co', 'cms', 'price', 'target', 'at', 'httpstcozkxyhrmg']",Mon Jul 16 17:58:48 +0000 2018,TranscriptDaily,CMS,CMS Energy Corporation,http://zpr.io/6XKhA,False,5.5
11569,1018966855682281500,"['robots', 'gt', 'humans', 'therefore', 'avoid', 'cms', 'energy', 'cms', 'trading']",Mon Jul 16 21:13:24 +0000 2018,StockTipRobot,CMS,CMS Energy Corporation,,False,5.550000000000001
12261,1019064924717318100,"['eps', 'for', 'cms', 'energy', 'corporation', 'cms', 'expected', 'at', 'httpstcofrgdgd']",Tue Jul 17 03:43:06 +0000 2018,whatsonthorold2,CMS,CMS Energy Corporation,https://www.whatsonthorold.com/2018/07/17/eps-for-cms-energy-corporation-cms-expected-at-0-35-2/,False,5.628
12265,1019065010146988000,"['cms', 'energy', 'corporation', 'cms', 'analysts', 'see', 'eps', 'httpstcobiogkkn']",Tue Jul 17 03:43:26 +0000 2018,mmahotstuff1,CMS,CMS Energy Corporation,https://www.mmahotstuff.com/2018/07/17/cms-energy-corporation-cms-analysts-see-0-35-eps-2.html,False,5.839999999999999
12267,1019065287348572200,"['eps', 'expected', 'for', 'cms', 'energy', 'corporation', 'cms', 'httpstcowsxeaclnei']",Tue Jul 17 03:44:32 +0000 2018,bibeypost_stock,CMS,CMS Energy Corporation,https://www.bibeypost.com/0-35-eps-expected-for-cms-energy-corporation-cms-2/,False,5.81
12911,1019155987574546400,"['morgan', 'stanley', 'raises', 'cms', 'energy', 'cms', 'price', 'target', 'to', 'httpstcoahifwuqk']",Tue Jul 17 09:44:57 +0000 2018,ConsumerFeed,CMS,CMS Energy Corporation,http://zpr.io/6X3LC,False,5.671428571428572
13239,1019177552760303600,"['jouhouaka', 'cryptoseiya', 'cms']",Tue Jul 17 11:10:38 +0000 2018,CryptoFatton,CMS,CMS Energy Corporation,,False,0.0
19404,1019539722434175000,"['cms', 'energy', 'cms', 'given', 'new', 'price', 'target', 'at', 'morgan', 'stanley', 'httpstcouypikflk']",Wed Jul 18 11:09:46 +0000 2018,EnterpriseLeade,CMS,CMS Energy Corporation,http://theenterpriseleader.com/?p=993986,False,5.69
21915,1019600219736903700,"['trend', 'reversal', 'down', 'alert', 'cms', 'cms', 'energy', 'tradeideas', 'via', 'httpstcovsrobzxj', 'to', 'free', 'trading', 'room']",Wed Jul 18 15:10:10 +0000 2018,AlertTrade,CMS,CMS Energy Corporation,http://AlertTrade.us,False,5.751111111111111
21917,1019600224355053600,"['rt', 'alerttrade', 'trend', 'reversal', 'down', 'alert', 'cms', 'cms', 'energy', 'tradeideas', 'via', 'httpstcovsrobzxj', 'to', 'free', 'trading', 'room']",Wed Jul 18 15:10:11 +0000 2018,tradnews_,CMS,CMS Energy Corporation,http://AlertTrade.us,False,5.664
25292,1019674237559345200,"['cms', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcolekhxjkn', 'httpstcoboejkgsp']",Wed Jul 18 20:04:17 +0000 2018,optioncharts,CMS,CMS Energy Corporation,http://maximum-pain.com/options/max-pain/CMS,False,4.680000000000001
