,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
193,1016271672767377400,"['comparing', 'transalta', 'tac', 'and', 'centerpoint', 'energy', 'cnp', 'httpstcoqkutiocnl']",Mon Jul 09 10:43:42 +0000 2018,EnterpriseLeade,CNP,CenterPoint Energy,http://theenterpriseleader.com/?p=974972,False,6.22
208,1016280555225337900,"['dominion', 'energy', 'd', 'vs', 'centerpoint', 'energy', 'cnp', 'financial', 'survey', 'httpstcowsearir']",Mon Jul 09 11:19:00 +0000 2018,dailypoliticaln,CNP,CenterPoint Energy,http://www.dailypolitical.com/?p=2190709,False,5.8933333333333335
209,1016280676428116000,"['critical', 'analysis', 'centerpoint', 'energy', 'cnp', 'amp', 'dominion', 'energy', 'd', 'httpstcoveqjwldrb']",Mon Jul 09 11:19:29 +0000 2018,dakotafinancial,CNP,CenterPoint Energy,http://dakotafinancialnews.com/?p=306638,False,5.603333333333333
293,1016313527328534500,"['france', 'stocks', 'media', 'pubhotels', 'acauto', 'rnofood', 'bnairline', 'aftelecom', 'sesgener', 'httpstcoumesgcwbv']",Mon Jul 09 13:30:01 +0000 2018,ZoomStocks,CNP,CenterPoint Energy,https://twitter.com/i/web/status/1016313527328534528,False,5.766666666666667
297,1016314743735312400,"['awr', 'bkh', 'cnp', 'dte', 'eix', 'exc', 'mdu', 'ni', 'njr', 'ppl', 'scg', 'sr', 'sre', 'swx', 'ugi', 'xlu', 'httpstcofdlsumjm']",Mon Jul 09 13:34:51 +0000 2018,SeekingAlpha,CNP,CenterPoint Energy,https://seekingalpha.com/article/4186072-utilities-dashboard-update?source=feed_f,False,5.1066666666666665
345,1016331645425782800,"['awr', 'bkh', 'cnp', 'dte', 'eix', 'exc', 'mdu', 'ni', 'njr', 'ppl', 'scg', 'sr', 'sre', 'swx', 'ugi', 'xlu', 'httpstcogsevpldcgg']",Mon Jul 09 14:42:01 +0000 2018,OLEGEFF,CNP,CenterPoint Energy,https://seekingalpha.com/article/4186072-utilities-dashboard-update?source=tweet,False,5.1066666666666665
838,1016566038228623400,"['buy', 'sell', 'no', 'buy', 'on', 'second', 'thought', 'sell', 'actually', 'just', 'dump', 'all', 'of', 'centerpoint', 'energy', 'cnp', 'justsaying']",Tue Jul 10 06:13:25 +0000 2018,StockTipRobot,CNP,CenterPoint Energy,,False,5.471428571428571
843,1016567591257739300,"['analysts', 'weekly', 'ratings', 'updates', 'for', 'centerpoint', 'energy', 'cnp', 'httpstcoztwavknq']",Tue Jul 10 06:19:35 +0000 2018,ConsumerFeed,CNP,CenterPoint Energy,http://zpr.io/6T8BG,False,5.8
849,1016571523824570400,"['centerpoint', 'energy', 'cnp', 'cut', 'to', 'sell', 'at', 'valuengine', 'httpstcoishqouobto']",Tue Jul 10 06:35:12 +0000 2018,WatchlistN,CNP,CenterPoint Energy,http://zpr.io/6TD6R,False,5.2
910,1016624692806012900,"['centerpoint', 'energy', 'cnp', 'cut', 'to', 'sell', 'at', 'valuengine', 'httpstcovvcqnesur']",Tue Jul 10 10:06:29 +0000 2018,MareaInformativ,CNP,CenterPoint Energy,http://www.mareainformativa.com/?p=413913,False,5.2
979,1016652420426948600,"['vectren', 'centerpoint', 'discussion', 'of', 'pending', 'approvals', 'httpstcouqnemdadze', 'utilities', 'vvc', 'cnp', 'mergers', 'httpstcovmsnzga']",Tue Jul 10 11:56:40 +0000 2018,ctfn_news,CNP,CenterPoint Energy,https://ctfn.news/jul-9-2018-cnp-vvc-65616/,False,5.195
986,1016652966156292100,"['centerpoint', 'energy', 'cnp', 'amp', 'empresa', 'distribuidora', 'y', 'cmrz', 'nrt', 'edn', 'financial', 'comparison', 'httpstcorewpaoryks']",Tue Jul 10 11:58:50 +0000 2018,TheMarketsDaily,CNP,CenterPoint Energy,http://zpr.io/6TShi,False,5.586
1033,1016662490871156700,"['blk', 'cnp', 'centerpoint', 'energy', 'inc', 'sec', 'filing', 'form', 'sc', 'ga', 'httpstcopsbmqkzmev']",Tue Jul 10 12:36:41 +0000 2018,StockTexts,CNP,CenterPoint Energy,http://www.sec.gov/Archives/edgar/data/1130310/000021545718005800/us15189t1079_070518.txt,False,5.299999999999999
1041,1016663956809814000,"['cnp', 'new', 'form', 'sc', 'ga', 'for', 'centerpoint', 'energy', 'inc', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Tue Jul 10 12:42:30 +0000 2018,Allstocknews,CNP,CenterPoint Energy,,False,5.565
1046,1016666353145507800,"['cnp', 'new', 'sec', 'filing', 'for', 'cnp', 'form', 'sc', 'ga', 'no', 'httpstcojocjvgth']",Tue Jul 10 12:52:01 +0000 2018,Stock_News_Now,CNP,CenterPoint Energy,http://stocknewsflow.com/1130310_000021545718005800_0000215457-18-005800,False,5.0874999999999995
