,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
6348,1018217502772531200,"['comparing', 'zions', 'bancorp', 'zion', 'and', 'capital', 'one', 'financial', 'cof', 'httpstcojxxgmfq']",Sat Jul 14 19:35:44 +0000 2018,EnterpriseLeade,COF,Capital One Financial Corporation,http://theenterpriseleader.com/?p=984100,False,5.4799999999999995
6355,1018218604041556000,"['analyzing', 'zions', 'bancorp', 'zion', 'amp', 'capital', 'one', 'financial', 'cof', 'httpstcodugqklinm']",Sat Jul 14 19:40:07 +0000 2018,dispatchtribune,COF,Capital One Financial Corporation,http://dispatchtribunal.com/?p=2051630,False,5.524000000000001
6431,1018228056392159200,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 20:17:41 +0000 2018,joeymarcus8,COF,Capital One Financial Corporation,,False,5.401666666666667
6451,1018230994862788600,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 20:29:21 +0000 2018,Ryan_J_Ferguson,COF,Capital One Financial Corporation,,False,5.401666666666667
6595,1018251833716953100,"['q', 'eps', 'estimates', 'for', 'capital', 'one', 'financial', 'corp', 'cof', 'decreased', 'by', 'william', 'blair', 'httpstcovnglpltxru']",Sat Jul 14 21:52:10 +0000 2018,MareaInformativ,COF,Capital One Financial Corporation,http://www.mareainformativa.com/?p=441296,False,5.083636363636364
6721,1018283568492171300,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 23:58:16 +0000 2018,FibonacciSQNC,COF,Capital One Financial Corporation,,False,5.401666666666667
6763,1018293168952021000,"['cof', 'to', 'report', 'earnings', 'on', 'jul', 'amc', 'with', 'an', 'expected', 'move', 'of', 'httpstcodzgjfsmw']",Sun Jul 15 00:36:25 +0000 2018,MarketChmln,COF,Capital One Financial Corporation,https://marketchameleon.com/Overview/COF/Earnings/Earnings-Dates,False,5.531111111111111
6845,1018314467493343200,"['do', 'you', 'know', 'that', 'book', 'value', 'for', 'cof', 'is', 'httpstcoxfbeqbsfd']",Sun Jul 15 02:01:03 +0000 2018,1MinuteStock,COF,Capital One Financial Corporation,https://unicornbay.com/t/COF.US?utm_medium=tweet&utm_campaign=bookvalue&utm_source=twitter,False,5.88
6906,1018327358518931500,"['aapl', 'ads', 'adt', 'afgl', 'allk', 'autl', 'avro', 'axp', 'bac', 'bk', 'blk', 'bx', 'c', 'ccb', 'cfg', 'clw', 'cmcsa', 'cnst', 'cof', 'crnx', 'ddaif', 't', 'httpstcogpajoluowx']",Sun Jul 15 02:52:16 +0000 2018,kyookine,COF,Capital One Financial Corporation,https://seekingalpha.com/article/4187260-stocks-watch-prime-time-retail?source=tweet,False,4.74
6914,1018329306035097600,"['cof', 'lyv', 'cvgi', 'hsc', 'esnd', 'emr', 'sfly', 'vnq', 'dm', 'chkp', 'the', 'most', 'socially', 'trending', 'symbols', 'in', 'descending', 'order', 'httpstcorhbavcblc']",Sun Jul 15 03:00:00 +0000 2018,traderead,COF,Capital One Financial Corporation,https://twitter.com/i/web/status/1018329306035097600,False,5.477142857142857
