,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
54,1016118799307853800,"['coo', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcomwwxxnb', 'httpstcoftdfqcclb']",Mon Jul 09 00:36:14 +0000 2018,optioncharts,COO,The Cooper Companies,http://maximum-pain.com/options/open-interest/COO,False,5.5775
619,1016434812184391700,"['will', 'coo', 'break', 'above', 'its', 'super', 'growth', 'price', 'times', 'the', 'sva', 'adjusted', 'book', 'on', 'no', 'support', 'from', 'the', 'fair', 'market', 'v', 'httpstcoydkfvguc']",Mon Jul 09 21:31:58 +0000 2018,SVAInsights,COO,The Cooper Companies,https://twitter.com/i/web/status/1016434812184391680,False,5.6705263157894725
1542,1016799137420005400,"['million', 'in', 'sales', 'expected', 'for', 'cooper', 'companies', 'inc', 'coo', 'this', 'quarter', 'httpstcoaggqcpnk']",Tue Jul 10 21:39:40 +0000 2018,TheMarketsDaily,COO,The Cooper Companies,http://zpr.io/6aHiW,False,5.538
1550,1016799884362633200,"['earnings', 'per', 'share', 'expected', 'for', 'cooper', 'companies', 'inc', 'coo', 'this', 'quarter', 'httpstcouhxz']",Tue Jul 10 21:42:38 +0000 2018,ledgerzette,COO,The Cooper Companies,http://ledgergazette.com/?p=2817774,False,5.6000000000000005
1576,1016806844768096300,"['coo', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcodifuveemm', 'httpstcofjlmicx']",Tue Jul 10 22:10:17 +0000 2018,optioncharts,COO,The Cooper Companies,http://maximum-pain.com/options/max-pain/COO,False,4.888
1604,1016822217919868900,"['analysts', 'set', 'cooper', 'companies', 'inc', 'coo', 'price', 'target', 'at', 'httpstcomrjkdvz']",Tue Jul 10 23:11:23 +0000 2018,ThisLincolnian,COO,The Cooper Companies,http://thelincolnianonline.com/?p=2175128,False,5.1225
2203,1017071357987782700,"['rt', 'warrenbuffethq', 'money', 'cant', 'buy', 'happiness', 'but', 'financial', 'freedom', 'has', 'a', 'priceless', 'view', 'httpstcowreqygbvpy', 'the', 'best', 'stock', 'investmen']",Wed Jul 11 15:41:22 +0000 2018,juliaalexa___,COO,The Cooper Companies,https://askwarrenhq.blogspot.com/p/buffett.html,False,5.86
2673,1017216111803281400,"['big', 'winning', 'streaks', 'for', 'cybr', 'pcrx', 'sage', 'vrtu', 'coo', 'on', 'this', 'wednesday']",Thu Jul 12 01:16:34 +0000 2018,Pros_Trader,COO,The Cooper Companies,,False,5.913333333333333
2693,1017229121515114500,"['goldman', 'sachs', 'russell', 'stocks', 'w', 'high', 'amp', 'stable', 'gross', 'margins', 'screen', 'rl', 'ko', 'cdns', 'zts', 'pvh', 'coo', 'qgen', 'smg', 'httpstcolrkhpxbrwr']",Thu Jul 12 02:08:16 +0000 2018,Ro_Patel,COO,The Cooper Companies,https://twitter.com/i/web/status/1017229121515114496,False,5.345454545454545
3926,1017502925550170100,"['the', 'cooper', 'companies', 'declares', 'cash', 'dividend', 'coo', 'httpstcomyiqiogck']",Thu Jul 12 20:16:16 +0000 2018,GNWLive,COO,The Cooper Companies,http://bit.ly/2meArNq,False,5.744
