,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8760,1018636245013024800,"['rt', 'ewhispers', 'earnings', 'for', 'the', 'week', 'nflx', 'bac', 'msft', 'ge', 'blk', 'gs', 'unh', 'ibm', 'jnj', 'clf', 'jbht', 'pgr', 'abt', 'ms', 'isrg', 'axp', 'skx', 'aa', 'csx', 'uri']",Sun Jul 15 23:19:40 +0000 2018,AISoloTrader,CTAS,Cintas Corporation,,False,5.3225
8773,1018640036273819600,"['rt', 'ewhispers', 'earnings', 'for', 'the', 'week', 'nflx', 'bac', 'msft', 'ge', 'blk', 'gs', 'unh', 'ibm', 'jnj', 'clf', 'jbht', 'pgr', 'abt', 'ms', 'isrg', 'axp', 'skx', 'aa', 'csx', 'uri']",Sun Jul 15 23:34:44 +0000 2018,Smittyinvestor,CTAS,Cintas Corporation,,False,5.3225
8775,1018640488327516200,"['rt', 'ewhispers', 'earnings', 'for', 'the', 'week', 'nflx', 'bac', 'msft', 'ge', 'blk', 'gs', 'unh', 'ibm', 'jnj', 'clf', 'jbht', 'pgr', 'abt', 'ms', 'isrg', 'axp', 'skx', 'aa', 'csx', 'uri']",Sun Jul 15 23:36:32 +0000 2018,MundoViews,CTAS,Cintas Corporation,,False,5.3225
8791,1018643663197384700,"['rt', 'ewhispers', 'earnings', 'for', 'the', 'week', 'nflx', 'bac', 'msft', 'ge', 'blk', 'gs', 'unh', 'ibm', 'jnj', 'clf', 'jbht', 'pgr', 'abt', 'ms', 'isrg', 'axp', 'skx', 'aa', 'csx', 'uri']",Sun Jul 15 23:49:09 +0000 2018,Wisskobe,CTAS,Cintas Corporation,,False,5.3225
8802,1018645372284137500,"['rt', 'ewhispers', 'earnings', 'for', 'the', 'week', 'nflx', 'bac', 'msft', 'ge', 'blk', 'gs', 'unh', 'ibm', 'jnj', 'clf', 'jbht', 'pgr', 'abt', 'ms', 'isrg', 'axp', 'skx', 'aa', 'csx', 'uri']",Sun Jul 15 23:55:56 +0000 2018,AriMEden,CTAS,Cintas Corporation,,False,5.3225
8809,1018648861034807300,"['rt', 'ewhispers', 'earnings', 'for', 'the', 'week', 'nflx', 'bac', 'msft', 'ge', 'blk', 'gs', 'unh', 'ibm', 'jnj', 'clf', 'jbht', 'pgr', 'abt', 'ms', 'isrg', 'axp', 'skx', 'aa', 'csx', 'uri']",Mon Jul 16 00:09:48 +0000 2018,RB8780,CTAS,Cintas Corporation,,False,5.3225
8810,1018649264145264600,"['rt', 'ewhispers', 'earnings', 'for', 'the', 'week', 'nflx', 'bac', 'msft', 'ge', 'blk', 'gs', 'unh', 'ibm', 'jnj', 'clf', 'jbht', 'pgr', 'abt', 'ms', 'isrg', 'axp', 'skx', 'aa', 'csx', 'uri']",Mon Jul 16 00:11:24 +0000 2018,Sizern,CTAS,Cintas Corporation,,False,5.3225
8818,1018652171888463900,"['rt', 'ewhispers', 'earnings', 'for', 'the', 'week', 'nflx', 'bac', 'msft', 'ge', 'blk', 'gs', 'unh', 'ibm', 'jnj', 'clf', 'jbht', 'pgr', 'abt', 'ms', 'isrg', 'axp', 'skx', 'aa', 'csx', 'uri']",Mon Jul 16 00:22:58 +0000 2018,MaxAgatsu,CTAS,Cintas Corporation,,False,5.3225
8828,1018654425303453700,"['rt', 'ewhispers', 'earnings', 'for', 'the', 'week', 'nflx', 'bac', 'msft', 'ge', 'blk', 'gs', 'unh', 'ibm', 'jnj', 'clf', 'jbht', 'pgr', 'abt', 'ms', 'isrg', 'axp', 'skx', 'aa', 'csx', 'uri']",Mon Jul 16 00:31:55 +0000 2018,Stylz21,CTAS,Cintas Corporation,,False,5.3225
8835,1018657399257927700,"['rt', 'ewhispers', 'earnings', 'for', 'the', 'week', 'nflx', 'bac', 'msft', 'ge', 'blk', 'gs', 'unh', 'ibm', 'jnj', 'clf', 'jbht', 'pgr', 'abt', 'ms', 'isrg', 'axp', 'skx', 'aa', 'csx', 'uri']",Mon Jul 16 00:43:44 +0000 2018,maximegaumond,CTAS,Cintas Corporation,,False,5.3225
