,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4979,1017771594876379100,"['rt', 'optionshawk', 'notable', 'option', 'flows', 'opening', 'minutes', 'bac', 'pags', 'esrx', 'ctxs', 'jd', 'ilmn', 'httpstcowhkjoos']",Fri Jul 13 14:03:52 +0000 2018,pnani456,CTXS,Citrix Systems,,False,5.486666666666667
5017,1017778778490200000,"['top', 'implied', 'volatility', 'gainers', 't', 'mcd', 'wwe', 'x', 'fcx', 'hyg', 'nflx', 'ctxs', 'ma', 'gm', 'f', 'httpstcorvsftpuho']",Fri Jul 13 14:32:24 +0000 2018,MC_OptionTrades,CTXS,Citrix Systems,https://marketchameleon.com/volReports/topImpliedVolMovers/,False,5.297142857142857
5023,1017779209303969800,"['rt', 'optionshawk', 'notable', 'option', 'flows', 'opening', 'minutes', 'bac', 'pags', 'esrx', 'ctxs', 'jd', 'ilmn', 'httpstcowhkjoos']",Fri Jul 13 14:34:07 +0000 2018,Abkon187,CTXS,Citrix Systems,,False,5.486666666666667
5087,1017789637404880900,"['is', 'buying', 'citrix', 'systems', 'inc', 'ctxs', 'here', 'a', 'winning', 'strategy', 'httpstcolyvrmqjxi']",Fri Jul 13 15:15:33 +0000 2018,whatsonthorold2,CTXS,Citrix Systems,https://www.whatsonthorold.com/2018/07/13/is-buying-citrix-systems-inc-ctxs-here-a-winning-strategy/,False,5.8125
5090,1017789747060707300,"['what', 'next', 'for', 'citrix', 'systems', 'inc', 'ctxs', 'stock', 'after', 'touching', 'week', 'high', 'httpstcoiqiiyipbja']",Fri Jul 13 15:15:59 +0000 2018,mmahotstuff1,CTXS,Citrix Systems,https://www.mmahotstuff.com/2018/07/13/what-next-for-citrix-systems-inc-ctxs-stock-after-touching-52-week-high.html,False,5.476999999999999
5094,1017790119540068400,"['after', 'touching', 'week', 'high', 'is', 'citrix', 'systems', 'inc', 'ctxss', 'nearterm', 'analysis', 'positive', 'httpstcothvmskr']",Fri Jul 13 15:17:28 +0000 2018,bibeypost_stock,CTXS,Citrix Systems,https://www.bibeypost.com/after-touching-52-week-high-is-citrix-systems-inc-ctxss-near-term-analysis-positive/,False,5.79
6105,1018130521447157800,"['recent', 'ctxs', 'technical', 'alerts', 'upper', 'bollinger', 'band', 'walk', 'plus', 'more', 'alerts', 'httpstcoeowjfbn']",Sat Jul 14 13:50:06 +0000 2018,SwingTradeBot,CTXS,Citrix Systems,https://swingtradebot.com/equities/CTXS,False,6.028571428571429
6121,1018134531675549700,"['unicorn', 'bay', 'rating', 'for', 'ctxs', 'is', 'out', 'of', 'httpstcojwcrqrfs']",Sat Jul 14 14:06:03 +0000 2018,1MinuteStock,CTXS,Citrix Systems,https://unicornbay.com/t/CTXS.US?utm_medium=tweet&utm_campaign=rank&utm_source=twitter,False,5.243333333333333
6129,1018136042015092700,"['do', 'you', 'know', 'that', 'book', 'value', 'for', 'ctxs', 'is', 'httpstcoynztfxklzv']",Sat Jul 14 14:12:03 +0000 2018,1MinuteStock,CTXS,Citrix Systems,https://unicornbay.com/t/CTXS.US?utm_medium=tweet&utm_campaign=bookvalue&utm_source=twitter,False,5.88
6162,1018145099077673000,"['btw', 'estimated', 'earnings', 'per', 'share', 'for', 'ctxs', 'is', 'its', 'of', 'the', 'current', 'price', 'httpstcovsdriljn']",Sat Jul 14 14:48:02 +0000 2018,1MinuteStock,CTXS,Citrix Systems,https://unicornbay.com/t/CTXS.US?utm_medium=tweet&utm_campaign=eps&utm_source=twitter,False,5.476666666666667
