,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
11388,1018952693941928000,"['cvs', 'cvs', 'health', 'responds', 'to', 'request', 'for', 'information', 'on', 'trump', 'administrations', 'blueprint', 'to', 'lower', 'drug', 'prices', 'httpstcojiansns']",Mon Jul 16 20:17:08 +0000 2018,JUIVEDUMAROC,CVS,CVS Health Corporation,http://www.advfn.com/news_CVS-Health-Responds-to-Request-for-Information-on_77871993.html?adw=1126416,False,5.172727272727273
11396,1018953348186366000,"['cvs', 'cvs', 'health', 'responds', 'to', 'request', 'for', 'information', 'on', 'trump', 'administrations', 'blueprint', 'to', 'lower', 'drug', 'prices', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 16 20:19:44 +0000 2018,Allstocknews,CVS,CVS Health Corporation,,False,5.2975
11427,1018955289482018800,"['cvs', 'responds', 'to', 'request', 'for', 'information', 'on', 'president', 'trump', 'administrations', 'blueprint', 'to', 'lower', 'drug', 'prices', 'hhsgov', 'httpstcowoliuliwsf']",Mon Jul 16 20:27:26 +0000 2018,bdailystocks,CVS,CVS Health Corporation,https://twitter.com/i/web/status/1018955289482018817,False,5.04909090909091
11463,1018958587563917300,"['cvs', 'responds', 'to', 'trump', 'administrations', 'request', 'for', 'info', 'on', 'now', 'to', 'lower', 'drug', 'prices', 'httpstcozhfvrorafh', 'cvs', 'xlv', 'ibb', 'xbi']",Mon Jul 16 20:40:33 +0000 2018,MarketCurrents,CVS,CVS Health Corporation,https://seekingalpha.com/news/3370459-cvs-responds-trump-administrations-request-info-now-lower-drug-prices?source=feed_f,False,5.0181818181818185
11470,1018959339359481900,"['rt', 'marketcurrents', 'cvs', 'responds', 'to', 'trump', 'administrations', 'request', 'for', 'info', 'on', 'now', 'to', 'lower', 'drug', 'prices', 'httpstcozhfvrorafh', 'cvs', 'xlv']",Mon Jul 16 20:43:32 +0000 2018,sep_sal,CVS,CVS Health Corporation,https://seekingalpha.com/news/3370459-cvs-responds-trump-administrations-request-info-now-lower-drug-prices?source=feed_f,False,5.006666666666668
11487,1018960286416625700,"['cvs', 'responds', 'to', 'trump', 'administrations', 'request', 'for', 'info', 'on', 'now', 'to', 'lower', 'drug', 'prices', 'httpstcozzlntvfo', 'cvs', 'xlv', 'ibb', 'xbi']",Mon Jul 16 20:47:18 +0000 2018,jjjinvesting,CVS,CVS Health Corporation,https://seekingalpha.com/news/3370459-cvs-responds-trump-administrations-request-info-now-lower-drug-prices?source=tweet,False,5.0181818181818185
11495,1018961068649898000,"['cvs', 'responds', 'to', 'trump', 'administrations', 'request', 'cvs', 'xlv', 'ibb', 'xbi', 'xph', 'ihe', 'pph', 'vht', 'rhhby', 'abbv', 'agn', 'httpstcowctqyyoup']",Mon Jul 16 20:50:24 +0000 2018,HudsonBlueLLC,CVS,CVS Health Corporation,https://seekingalpha.com/news/3370459,False,5.206666666666667
11515,1018963642321195000,"['cvs', 'responds', 'to', 'trump', 'administrations', 'request', 'for', 'info', 'on', 'now', 'to', 'lower', 'drug', 'prices', 'httpstcodlgvoknlbc']",Mon Jul 16 21:00:38 +0000 2018,InvestingStockz,CVS,CVS Health Corporation,https://invst.ly/7-xp6,False,5.0181818181818185
11729,1018983967758774300,"['cvs', 'cvs', 'health', 'responds', 'to', 'request', 'for', 'information', 'on', 'trump', 'administrations', 'blueprint', 'to', 'lower', 'drug', 'prices', 'httpstcoivouzwu']",Mon Jul 16 22:21:24 +0000 2018,Briefingcom,CVS,CVS Health Corporation,http://bit.ly/2LkiISy,False,5.172727272727273
11759,1018987648675930100,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'xly', 'is', 'httpstconmscvtcy', 'cvs', 'f', 'ewg', 'unp']",Mon Jul 16 22:36:01 +0000 2018,shortvolumes,CVS,CVS Health Corporation,http://shortvolumes.com/?t=XLY,False,5.171111111111111
11945,1019014761399320600,"['traders', 'buy', 'cvs', 'health', 'cvs', 'on', 'weakness', 'httpstcofskstwkls']",Tue Jul 17 00:23:46 +0000 2018,MareaInformativ,CVS,CVS Health Corporation,http://www.mareainformativa.com/?p=459205,False,5.516
11948,1019015119509119000,"['traders', 'buy', 'shares', 'of', 'cvs', 'health', 'cvs', 'on', 'weakness', 'httpstcociuypgzo']",Tue Jul 17 00:25:11 +0000 2018,TranscriptDaily,CVS,CVS Health Corporation,http://zpr.io/6X8XA,False,5.6
12025,1019027418944639000,"['cervantes', 'corporation', 'limited', 'asxcvs', 'confirms', 'more', 'high', 'grade', 'gold', 'cvs', 'abnnewswire', 'httpstcoosbphkqt', 'httpstcornurbybsv']",Tue Jul 17 01:14:03 +0000 2018,ABN_Newswire,CVS,CVS Health Corporation,http://dlvr.it/QbnDXJ,False,5.903333333333333
