,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
14398,1019236950157520900,"['sasha', 'mwat', 'sonm', 'wys', 'lend', 'bpt', 'exrt', 'tel', 'ins', 'req', 'cov', 'cxo', 'aix', 'would', 'be', 'awesome']",Tue Jul 17 15:06:40 +0000 2018,damian_89_,CXO,Concho Resources Inc.,,False,5.98
14754,1019256179480985600,"['dag', 'dock', 'cxo', 'trac', 'low', 'bids', 'set', 'for', 'each', 'coin', 'nice', 'volume', 'on', 'dock', 'not', 'much', 'right', 'now', 'on', 'trac', 'or', 'cxo', 'but', 'both', 'a', 'httpstcoquarmqfm']",Tue Jul 17 16:23:04 +0000 2018,cryptoalchem1st,CXO,Concho Resources Inc.,https://twitter.com/i/web/status/1019256179480985600,False,5.434444444444446
15321,1019286385637888000,"['cargox', 'cxo', 'plunges', 'on', 'july', 'httpstcougrufbeqz']",Tue Jul 17 18:23:06 +0000 2018,whatsonthorold2,CXO,Concho Resources Inc.,https://www.whatsonthorold.com/2018/07/17/cargox-cxo-plunges-3-95-on-july-16-17/,False,5.77
16065,1019320516782559200,"['cxo', 'rspp', 'rsp', 'permian', 'inc', 'sec', 'filing', 'form', 'httpstcosrofljpigl']",Tue Jul 17 20:38:43 +0000 2018,StockTexts,CXO,Concho Resources Inc.,http://www.sec.gov/Archives/edgar/data/1358071/000119312518219724/d543101d8k.htm,False,5.05
16089,1019321351583215600,"['cxo', 'new', 'sec', 'filing', 'for', 'cxo', 'form', 'no', 'httpstconnjfvbhug']",Tue Jul 17 20:42:02 +0000 2018,Stock_News_Now,CXO,Concho Resources Inc.,http://stocknewsflow.com/1358071_000119312518219724_0001193125-18-219724,False,5.17
16248,1019328294402101200,"['eps', 'for', 'concho', 'resources', 'inc', 'cxo', 'expected', 'at', 'httpstcoujavslz']",Tue Jul 17 21:09:38 +0000 2018,whatsonthorold2,CXO,Concho Resources Inc.,https://www.whatsonthorold.com/2018/07/17/eps-for-concho-resources-inc-cxo-expected-at-0-90/,False,5.403999999999999
16251,1019328524132474900,"['eps', 'expected', 'for', 'concho', 'resources', 'inc', 'cxo', 'httpstcoqynnkba']",Tue Jul 17 21:10:33 +0000 2018,reurope_stock,CXO,Concho Resources Inc.,https://reurope.com/2018/07/17/0-90-eps-expected-for-concho-resources-inc-cxo/,False,5.53
16256,1019328717452169200,"['eps', 'expected', 'for', 'concho', 'resources', 'inc', 'cxo', 'httpstcogrkbni']",Tue Jul 17 21:11:19 +0000 2018,bibeypost_stock,CXO,Concho Resources Inc.,https://www.bibeypost.com/0-90-eps-expected-for-concho-resources-inc-cxo-3/,False,5.53
16290,1019330033826107400,"['cxo', 'rspp', 'merger', 'watch', 'vote', 'in', 'favor', 'of', 'cxo', 'issuing', 'shares', 'for', 'the', 'merger', 'with', 'rspp', 'the', 'approval', 'of', 't', 'httpstcofgssmnumw']",Tue Jul 17 21:16:32 +0000 2018,ZmansEnrgyBrain,CXO,Concho Resources Inc.,https://twitter.com/i/web/status/1019330033826107392,False,5.498666666666667
19568,1019545070960283600,"['keycorp', 'raises', 'concho', 'resources', 'q', 'earnings', 'estimates', 'to', 'eps', 'previously', 'httpstcowvgycwy', 'cxo', 'cxo']",Wed Jul 18 11:31:01 +0000 2018,RatingsNetwork,CXO,Concho Resources Inc.,http://zpr.io/6XeZN,False,5.722857142857143
