,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1455,1016774002226888700,"['cy', 'cypress', 'going', 'for', 'hod', 'close', 'back', 'above', 'all', 'major', 'mas', 'nice', 'recovery', 'here', 'httpstcotnmrktew']",Tue Jul 10 19:59:47 +0000 2018,RussellKBrett,CY,Cypress Semiconductor Corporation,,False,5.774545454545455
1460,1016774153993457700,"['popular', 'ugaz', 'insy', 'ag', 'amrs', 'cy', 'smpl', 'insp', 'ung', 'txmd']",Tue Jul 10 20:00:23 +0000 2018,LargeVoidBot,CY,Cypress Semiconductor Corporation,,False,6.6
1462,1016774570122940400,"['do', 'you', 'know', 'that', 'wallstreet', 'price', 'for', 'cy', 'is', 'httpstcozfewkwpnj']",Tue Jul 10 20:02:02 +0000 2018,1MinuteStock,CY,Cypress Semiconductor Corporation,https://unicornbay.com/t/CY.US?utm_medium=tweet&utm_campaign=wallstreet&utm_source=twitter,False,5.491428571428572
1478,1016779613337337900,"['sold', 'crm', 'nyt', 'covered', 'mnk', 'cy', 'long', 'by', 'short', 'httpstcohcdlvwg', 'httpstcotykzjdxqt']",Tue Jul 10 20:22:05 +0000 2018,TechTraderAI,CY,Cypress Semiconductor Corporation,https://www.techtrader.ai/wall/?date=1531253078&post=10701&utm_medium=twitter&utm_campaign=techtraderai,False,5.096666666666667
1499,1016787907443548200,"['tuesdays', 'highest', 'above', 'or', 'min', 'high', 'trading', 'range', 'amp', 'upavg', 'gain', 'of', 'todays', 'thirteen', 'min', 'bars', 'httpstcoasknlchwyb']",Tue Jul 10 20:55:02 +0000 2018,15minofPham,CY,Cypress Semiconductor Corporation,https://twitter.com/i/web/status/1016787907443548160,False,5.658571428571428
1578,1016808793081090000,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'mrvl', 'is', 'httpstcojigmeyvqo', 'qcom', 'dspg', 'nvda', 'cy']",Tue Jul 10 22:18:02 +0000 2018,shortvolumes,CY,Cypress Semiconductor Corporation,http://shortvolumes.com/?t=MRVL,False,5.2375
1666,1016864540104056800,"['cy', 'cypresssemiconductor', 'declines', 'in', 'after', 'hours', 'trading', 'see', 'vwap', 'price', 'action', 'httpstcoaajxtwmb', 'httpstcodhbbdqext']",Wed Jul 11 01:59:33 +0000 2018,MarketChmln,CY,Cypress Semiconductor Corporation,https://marketchameleon.com/Overview/CY/VwapTable/AfterHours?ref=ext_post_tw/,False,5.577142857142858
1713,1016907356922212400,"['tuesdays', 'highest', 'trading', 'range', 'compared', 'to', 'open', 'min', 'amp', 'vol', 'gt', 'k', 'cy', 'grmn', 'xlb', 'ko', 'pg']",Wed Jul 11 04:49:41 +0000 2018,15minofPham,CY,Cypress Semiconductor Corporation,,False,5.426153846153844
1770,1016948624973058000,"['cypress', 'semiconductor', 'cy', 'rating', 'increased', 'to', 'buy', 'at', 'bidaskclub', 'httpstcohqrnlbaeol']",Wed Jul 11 07:33:40 +0000 2018,WatchlistN,CY,Cypress Semiconductor Corporation,http://zpr.io/6aqCQ,False,5.616
1877,1017004669938360300,"['cfromhertz', 'will', 'they', 'buy', 'cy']",Wed Jul 11 11:16:23 +0000 2018,RobertHenry87,CY,Cypress Semiconductor Corporation,,False,5.973333333333334
