,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
15934,1019315577087713300,"['rt', 'itsmejarod', 't', 'bout', 'd', 'walang', 'iwanan', 'solid', 'tayooooo', 'httpstcoepxrnta']",Tue Jul 17 20:19:06 +0000 2018,blairejessx,D,Dominion Energy,https://curiouscat.me/itsmejarod/post/573334342?1531802733,False,4.983999999999999
16274,1019329580111417300,"['eps', 'expected', 'for', 'dominion', 'energy', 'inc', 'd', 'httpstcozycuhbrwl']",Tue Jul 17 21:14:44 +0000 2018,whatsonthorold2,D,Dominion Energy,https://www.whatsonthorold.com/2018/07/17/0-75-eps-expected-for-dominion-energy-inc-d/,False,5.52
16279,1019329810852667400,"['analysts', 'see', 'eps', 'for', 'dominion', 'energy', 'inc', 'd', 'httpstcoimaqhduae']",Tue Jul 17 21:15:39 +0000 2018,reurope_stock,D,Dominion Energy,https://reurope.com/2018/07/17/analysts-see-0-75-eps-for-dominion-energy-inc-d/,False,5.489999999999999
16283,1019329896919846900,"['dominion', 'energy', 'inc', 'd', 'analysts', 'see', 'eps', 'httpstcoylgjbauva']",Tue Jul 17 21:16:00 +0000 2018,bibeypost_stock,D,Dominion Energy,https://www.bibeypost.com/dominion-energy-inc-d-analysts-see-0-75-eps/,False,5.544
16481,1019340976467439600,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'duk', 'is', 'httpstcoegmgoiujt', 'scg', 'd', 'aep', 'so']",Tue Jul 17 22:00:01 +0000 2018,shortvolumes,D,Dominion Energy,http://shortvolumes.com/?t=DUK,False,5.17
16944,1019369333951098900,"['a', 'twoday', 'federal', 'court', 'hearing', 'on', 'sceampgs', 'motion', 'to', 'block', 'the', 'rate', 'cut', 'is', 'scheduled', 'for', 'july', 'and', 'in', 'columbi', 'httpstcoyohmmhi']",Tue Jul 17 23:52:42 +0000 2018,Dontbelazyduck,D,Dominion Energy,https://twitter.com/i/web/status/1019369333951098880,False,5.0717647058823525
17102,1019381020129361900,"['naishaa', 'y', 'd']",Wed Jul 18 00:39:09 +0000 2018,Tablaosvaldo2,D,Dominion Energy,,False,4.6
17124,1019382745884065800,"['jiaoyang', 'huang', 'invertibility', 'of', 'adjacency', 'matrices', 'for', 'random', 'dregular', 'graphs', 'httpstcopnunycdd']",Wed Jul 18 00:46:00 +0000 2018,mathPRb,D,Dominion Energy,http://arxiv.org/abs/1807.06465,False,5.06
17222,1019389621950611500,"['httpstcoxiwrrnljv', 'j', 'huang', 'invertibility', 'of', 'adjacency', 'matrices', 'for', 'random', 'dregular', 'graphs', 'httpstcocvggnbc']",Wed Jul 18 01:13:19 +0000 2018,arXiv_math_PR,D,Dominion Energy,http://arxiv.org/abs/1807.06465v1,False,5.055
17223,1019389625100652500,"['rt', 'arxivmathpr', 'httpstcoxiwrrnljv', 'j', 'huang', 'invertibility', 'of', 'adjacency', 'matrices', 'for', 'random', 'dregular', 'graphs', 'httpstcocvggnbc']",Wed Jul 18 01:13:20 +0000 2018,arXiv_math_CO,D,Dominion Energy,http://arxiv.org/abs/1807.06465v1,False,5.02
17388,1019402055490781200,"['d', 'solid']",Wed Jul 18 02:02:44 +0000 2018,ginez29,D,Dominion Energy,,False,5.32
17833,1019438018854174700,"['rt', 'ginez', 'd', 'solid']",Wed Jul 18 04:25:38 +0000 2018,blairejessx,D,Dominion Energy,,False,5.173333333333333
18200,1019469700554604500,"['invertibility', 'of', 'adjacency', 'matrices', 'for', 'random', 'dregular', 'graphs', 'httpstcotpdmscwtv']",Wed Jul 18 06:31:32 +0000 2018,MathPaper,D,Dominion Energy,http://arxiv.org/abs/1807.06465,False,5.06
18477,1019485819994804200,"['dominion', 'energy', 'inc', 'd', 'short', 'interest', 'down', 'in', 'june', 'httpstcoreorvtak']",Wed Jul 18 07:35:35 +0000 2018,dailypoliticaln,D,Dominion Energy,http://www.dailypolitical.com/?p=2208790,False,5.367500000000001
18483,1019485948487307300,"['dominion', 'energy', 'inc', 'd', 'short', 'interest', 'down', 'in', 'june', 'httpstcosmjxlgja']",Wed Jul 18 07:36:05 +0000 2018,TickerReport,D,Dominion Energy,http://tickerreport.com/?p=3642625,False,5.367500000000001
18737,1019507071186849800,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'd', 'on', 'is', 'httpstcolsbhlore', 'aee', 'fe', 'cms', 'sre']",Wed Jul 18 09:00:01 +0000 2018,shortvolumes,D,Dominion Energy,http://shortvolumes.com/?t=D,False,5.194545454545454
19422,1019540192959459300,"['rt', 'ginez', 'd', 'solid']",Wed Jul 18 11:11:38 +0000 2018,mercyannemp,D,Dominion Energy,,False,5.173333333333333
21516,1019591858484367400,"['tots', 'abt', 'ur', 'class', 'aud', 'lagi', 'nag', 'ccp', 'd', 'httpstcoydqjqhjeqj']",Wed Jul 18 14:36:56 +0000 2018,mercyannemp,D,Dominion Energy,https://curiouscat.me/mertsss/post/575685385?1531924616,False,4.9719999999999995
21911,1019600213412114400,"['spicyjacksss', 'ok', 'we', 'abandon', 'you', 'as', 'a', 'd', 'amp', 'pp', 'member', 'bye']",Wed Jul 18 15:10:08 +0000 2018,sugaredboca,D,Dominion Energy,,False,5.406
22242,1019607853680791600,"['d', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcoupmvempvpn', 'httpstcohenknly']",Wed Jul 18 15:40:30 +0000 2018,optioncharts,D,Dominion Energy,http://maximum-pain.com/options/open-interest/D,False,5.855555555555556
23138,1019626355762368500,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'so', 'at', 'is', 'httpstcogcilddqct', 'scg', 'd', 'aep', 'ppl']",Wed Jul 18 16:54:01 +0000 2018,shortvolumes,D,Dominion Energy,http://shortvolumes.com/?t=SO,False,5.178333333333333
23428,1019632974109782000,"['investors', 'buy', 'dominion', 'energy', 'd', 'on', 'weakness', 'httpstconaiefyk']",Wed Jul 18 17:20:19 +0000 2018,TranscriptDaily,D,Dominion Energy,http://zpr.io/6XvyY,False,5.37
25140,1019672211458854900,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcojpvcevekf']",Wed Jul 18 19:56:14 +0000 2018,abbouda_mena,D,Dominion Energy,https://twitter.com/i/web/status/1019672211458854912,False,5.174285714285714
25142,1019672224192761900,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcosteikpkiu']",Wed Jul 18 19:56:17 +0000 2018,AbdelmegedHeba,D,Dominion Energy,https://twitter.com/i/web/status/1019672224192761856,False,5.174285714285714
25144,1019672238013014000,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcocdxpydk']",Wed Jul 18 19:56:20 +0000 2018,AlaaAte37130957,D,Dominion Energy,https://twitter.com/i/web/status/1019672238013014017,False,5.174285714285714
25145,1019672252261036000,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcoqxcrpcr']",Wed Jul 18 19:56:24 +0000 2018,AnaEmy05087552,D,Dominion Energy,https://twitter.com/i/web/status/1019672252261036033,False,5.174285714285714
25147,1019672269847703600,"['v', 's', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcormwozu']",Wed Jul 18 19:56:28 +0000 2018,ano_maha,D,Dominion Energy,https://twitter.com/i/web/status/1019672269847703553,False,5.140000000000001
25149,1019672283139493900,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcotpqvhhkj']",Wed Jul 18 19:56:31 +0000 2018,ataa_fa,D,Dominion Energy,https://twitter.com/i/web/status/1019672283139493889,False,5.174285714285714
25150,1019672296028590100,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcomxfjxajiv']",Wed Jul 18 19:56:34 +0000 2018,AyaYazidi,D,Dominion Energy,https://twitter.com/i/web/status/1019672296028590081,False,5.174285714285714
25151,1019672308703727600,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcojmqandbl']",Wed Jul 18 19:56:37 +0000 2018,ayna_bouth,D,Dominion Energy,https://twitter.com/i/web/status/1019672308703727623,False,5.174285714285714
25152,1019672323920683000,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcopjxenfdzhj']",Wed Jul 18 19:56:41 +0000 2018,baker_hagar,D,Dominion Energy,https://twitter.com/i/web/status/1019672323920683008,False,5.174285714285714
25153,1019672337468227600,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcotylehllj']",Wed Jul 18 19:56:44 +0000 2018,BezraE,D,Dominion Energy,https://twitter.com/i/web/status/1019672337468227589,False,5.174285714285714
25154,1019672351141781500,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcoqgskzcpo']",Wed Jul 18 19:56:47 +0000 2018,BlJenan,D,Dominion Energy,https://twitter.com/i/web/status/1019672351141781504,False,5.174285714285714
25155,1019672364701888500,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcoojhzgdiof']",Wed Jul 18 19:56:50 +0000 2018,dia_jla,D,Dominion Energy,https://twitter.com/i/web/status/1019672364701888513,False,5.174285714285714
25156,1019672376731201500,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcoifukimkrsq']",Wed Jul 18 19:56:53 +0000 2018,DohaAsh06173801,D,Dominion Energy,https://twitter.com/i/web/status/1019672376731201538,False,5.174285714285714
25158,1019672403918639100,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcomxztborq']",Wed Jul 18 19:57:00 +0000 2018,elshahat_salma,D,Dominion Energy,https://twitter.com/i/web/status/1019672403918639106,False,5.174285714285714
25160,1019672416170250200,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcorevkhtdiyr']",Wed Jul 18 19:57:03 +0000 2018,EmanAym32705301,D,Dominion Energy,https://twitter.com/i/web/status/1019672416170250241,False,5.174285714285714
25161,1019672427964584000,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcosxpaidn']",Wed Jul 18 19:57:06 +0000 2018,EmL18604470,D,Dominion Energy,https://twitter.com/i/web/status/1019672427964583937,False,5.174285714285714
25162,1019672439981314000,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcoklpftoglek']",Wed Jul 18 19:57:08 +0000 2018,FatimaF31760574,D,Dominion Energy,https://twitter.com/i/web/status/1019672439981314049,False,5.174285714285714
25163,1019672451305926700,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcofuipeo']",Wed Jul 18 19:57:11 +0000 2018,HadeerHussien19,D,Dominion Energy,https://twitter.com/i/web/status/1019672451305926656,False,5.174285714285714
25166,1019672464647966700,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcosjdhnewfn']",Wed Jul 18 19:57:14 +0000 2018,HanaEbrahim9,D,Dominion Energy,https://twitter.com/i/web/status/1019672464647966720,False,5.174285714285714
25167,1019672480083075100,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcodalvtplg']",Wed Jul 18 19:57:18 +0000 2018,HaNanAh38725431,D,Dominion Energy,https://twitter.com/i/web/status/1019672480083075073,False,5.174285714285714
25169,1019672492909256700,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcoeaepunn']",Wed Jul 18 19:57:21 +0000 2018,HaneenSy7,D,Dominion Energy,https://twitter.com/i/web/status/1019672492909256705,False,5.174285714285714
25171,1019672506158993400,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcoagtkmeyy']",Wed Jul 18 19:57:24 +0000 2018,HodaEls96869957,D,Dominion Energy,https://twitter.com/i/web/status/1019672506158993409,False,5.174285714285714
25173,1019672518158938100,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcowzottnvuc']",Wed Jul 18 19:57:27 +0000 2018,ILfgXWBAAaiD2QP,D,Dominion Energy,https://twitter.com/i/web/status/1019672518158938115,False,5.174285714285714
25174,1019672533690470400,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcoxhnzywgbq']",Wed Jul 18 19:57:31 +0000 2018,itiEwUtVxCZUNvG,D,Dominion Energy,https://twitter.com/i/web/status/1019672533690470407,False,5.174285714285714
25175,1019672548609577000,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstconsakacnh']",Wed Jul 18 19:57:34 +0000 2018,JessyAshraf6,D,Dominion Energy,https://twitter.com/i/web/status/1019672548609576960,False,5.174285714285714
25176,1019672561557344300,"['s', 'amp', 'amp', 'amp', 'ampd', 'amp', 'amp', 'amps', 'amp', 'sd', 'sd', 'd', 'amp', 'd', 's', 'amp', 'httpstcojkqebaku']",Wed Jul 18 19:57:37 +0000 2018,Ma42299661,D,Dominion Energy,https://twitter.com/i/web/status/1019672561557344258,False,5.174285714285714
