,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
91,1016185644123607000,"['eps', 'expected', 'for', 'ddr', 'corp', 'ddr', 'httpstcoaingfhs']",Mon Jul 09 05:01:52 +0000 2018,reurope_stock,DDR,DDR Corp.,https://reurope.com/2018/07/09/0-46-eps-expected-for-ddr-corp-ddr/,False,5.3133333333333335
154,1016239795524292600,"['scan', 'results', 'crossed', 'above', 'dma', 'today', 'clf', 'ppe', 'ddr', 'igo', 'mfg', 'ilu', 'gvf', 'cdm', 'httpstcoxqczvdsw']",Mon Jul 09 08:37:02 +0000 2018,SwingTradeAsx,DDR,DDR Corp.,https://asx.swingtradebot.com/events/1/equities?selected_date=2018-07-09,False,5.695
155,1016241066645884900,"['scan', 'results', 'macd', 'bullish', 'signal', 'line', 'cross', 'today', 'fgx', 'nwl', 'ddr', 'sbm', 'arg', 'ilu', 'abc', 'shl', 'httpstcogsrgvfau']",Mon Jul 09 08:42:05 +0000 2018,SwingTradeAsx,DDR,DDR Corp.,https://asx.swingtradebot.com/events/64/equities?selected_date=2018-07-09,False,5.41
331,1016322932941811700,"['daily', 'reversal', 'ddr', 'last', 'phigh', 'rvol', 'pclose', 'lod', 'perf']",Mon Jul 09 14:07:24 +0000 2018,LargeVoidBot,DDR,DDR Corp.,,False,4.57
459,1016363776168194000,"['xon', 'ddr', 'usx', 'dss', 'vrx', 'fb', 'olli', 'nke', 'panw', 'goog', 'httpstcorhwqzkkrmj']",Mon Jul 09 16:49:42 +0000 2018,SeekingAlpha,DDR,DDR Corp.,https://seekingalpha.com/article/4186131-insider-weekends-ceo-intrexon-participates-secondary-offering?source=feed_f,False,5.48
701,1016469077756391400,"['eps', 'expected', 'for', 'ddr', 'corp', 'ddr', 'this', 'quarter', 'httpstcobhpvhxygq']",Mon Jul 09 23:48:07 +0000 2018,ThisLincolnian,DDR,DDR Corp.,http://thelincolnianonline.com/?p=2173087,False,5.311999999999999
702,1016469248007385100,"['million', 'in', 'sales', 'expected', 'for', 'ddr', 'corp', 'ddr', 'this', 'quarter', 'httpstcofznzfxcl']",Mon Jul 09 23:48:48 +0000 2018,ConsumerFeed,DDR,DDR Corp.,http://zpr.io/6TmAh,False,5.655000000000001
984,1016652701168537600,"['comparing', 'ps', 'business', 'parks', 'psb', 'and', 'ddr', 'ddr', 'httpstcoviwjrnmpw']",Tue Jul 10 11:57:47 +0000 2018,ConsumerFeed,DDR,DDR Corp.,http://zpr.io/6TSMx,False,5.835
1158,1016695370724720600,"['aht', 'cbl', 'ddr', 'ewre', 'frel', 'fri', 'icf', 'ilpt', 'inn', 'iyr', 'kbwy', 'nure', 'ppty', 'rem', 'rez', 'roof', 'rore', 'rtl', 'rvi', 'rwr', 'schh', 'httpstcoqsuyjq']",Tue Jul 10 14:47:20 +0000 2018,SeekingAlpha,DDR,DDR Corp.,https://seekingalpha.com/article/4186352-state-reits-july-2018-edition?source=feed_f,False,5.873333333333332
1261,1016723806080196600,"['ddr', 'ddr', 'downgraded', 'to', 'strong', 'sell', 'at', 'zacks', 'investment', 'research', 'httpstcondcfach']",Tue Jul 10 16:40:19 +0000 2018,OlympiaReport,DDR,DDR Corp.,http://theolympiareport.com/?p=915471,False,5.783333333333334
