,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
12731,1019129159543554000,"['invest', 'your', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'trading', 'fee', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'httpstcocsmswwfxx']",Tue Jul 17 07:58:20 +0000 2018,chloeball366,DG,Dollar General Corporation,http://binance.com/?ref=10078236,False,5.8127272727272725
12765,1019133537100992500,"['binance', 'distributes', 'every', 'fork', 'meaning', 'you', 'get', 'free', 'airdrop', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'httpstcoiwnsufcki']",Tue Jul 17 08:15:44 +0000 2018,carolgibson394,DG,Dollar General Corporation,http://binance.com/?ref=10078236,False,6.24
12824,1019142696320020500,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcohpmitykx']",Tue Jul 17 08:52:08 +0000 2018,melaniebower89a,DG,Dollar General Corporation,https://twitter.com/i/web/status/1019142696320020480,False,5.699999999999999
12845,1019147348654657500,"['binance', 'fees', 'are', 'x', 'less', 'than', 'bittrex', 'register', 'for', 'bonus', 'httpstcoybqujodrte', 'xrl', 'ms', 'wpx', 'stc', 'httpstcomkenpk']",Tue Jul 17 09:10:37 +0000 2018,RobertE08533864,DG,Dollar General Corporation,http://binance.com/?ref=10078236,False,5.026666666666666
12973,1019160987323289600,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcootuncdz', 'ebst', 'httpstcozmcqcfe']",Tue Jul 17 10:04:49 +0000 2018,oliverpaige625,DG,Dollar General Corporation,http://discord.gg/tXbaTxx,False,5.630714285714286
13128,1019170799033471000,"['binance', 'has', 'stop', 'loss', 'feature', 'to', 'help', 'protect', 'your', 'assets', 'register', 'for', 'bonus', 'httpstcopkvulmaz', 'httpstcofgkypdkm']",Tue Jul 17 10:43:48 +0000 2018,RickyGr92298314,DG,Dollar General Corporation,http://binance.com/?ref=10078236,False,5.491666666666666
13138,1019171838109380600,"['binance', 'fees', 'are', 'x', 'less', 'than', 'bittrex', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'sbtc', 'iost', 'wll', 'httpstcoqeiuvkfl']",Tue Jul 17 10:47:56 +0000 2018,chloeball366,DG,Dollar General Corporation,http://binance.com/?ref=10078236,False,5.095
13168,1019174058460696600,"['we', 'are', 'faster', 'than', 'any', 'other', 'coin', 'listing', 'bots', 'join', 'us', 'httpstcotcqihqwiir', 'neo', 'aks', 'clam', 'nxt', 'db', 'httpstcobwzirebt']",Tue Jul 17 10:56:45 +0000 2018,RicardoPark10,DG,Dollar General Corporation,http://discord.gg/tXbaTxx,False,5.659999999999999
13441,1019189539578024000,"['invest', 'your', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'trading', 'fee', 'register', 'for', 'bonus', 'httpstcosyjwfred', 'httpstcowsvxakwaxe']",Tue Jul 17 11:58:16 +0000 2018,evanalsop4864,DG,Dollar General Corporation,http://binance.com/?ref=10078236,False,5.8127272727272725
13785,1019205868368384000,"['trade', 'with', 'up', 'to', 'x', 'leverage', 'on', 'bitmex', 'register', 'for', 'bonus', 'httpstcolkviqtp', 'ont', 'mer', 'mln', 'grs', 'httpstcockiakkzp']",Tue Jul 17 13:03:09 +0000 2018,DeweyRange,DG,Dollar General Corporation,http://bitmex.com/register/6vXB0G,False,5.739999999999999
