,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5803,1018025625339252700,"['mnst', 'skx', 'ostk', 'dhi', 'algn', 'biib', 'for', 'positions', 'check', 'out', 'the', 'blog', 'httpstcofxxwogqdq']",Sat Jul 14 06:53:17 +0000 2018,Options_ashda,DHI,D.R. Horton,,False,5.409999999999999
5823,1018042416639692800,"['if', 'you', 'cant', 'measure', 'your', 'tradinginvesting', 'performance', 'then', 'its', 'not', 'a', 'business', 'amine', 'bel', 'sgmo', 'dhi', 'cnx', 'abc', 'f', 'httpstcodpivfqn']",Sat Jul 14 08:00:01 +0000 2018,traderead,DHI,D.R. Horton,https://twitter.com/i/web/status/1018042416639692800,False,5.173846153846155
5824,1018042426143879200,"['not', 'sure', 'what', 'to', 'do', 'with', 'dhi', 'explore', 'our', 'fundamental', 'pros', 'and', 'cons', 'httpstcogoepwlqm']",Sat Jul 14 08:00:03 +0000 2018,1MinuteStock,DHI,D.R. Horton,https://unicornbay.com/t/DHI.US?utm_medium=tweet&utm_campaign=notsureproscons&utm_source=twitter,False,5.484999999999999
5835,1018057513927835600,"['glmd', 'nflx', 'imrn', 'mcrb', 'pegi', 'siri', 'dhi', 'cmg', 'vktx', 'mnst', 'the', 'most', 'socially', 'trending', 'symbols', 'in', 'descending', 'order', 'httpstcohjfclaajw']",Sat Jul 14 09:00:00 +0000 2018,traderead,DHI,D.R. Horton,https://twitter.com/i/web/status/1018057513927835648,False,5.566666666666666
5840,1018063815034847200,"['do', 'you', 'know', 'that', 'wallstreet', 'price', 'for', 'dhi', 'is', 'httpstcoozjpjses']",Sat Jul 14 09:25:02 +0000 2018,1MinuteStock,DHI,D.R. Horton,https://unicornbay.com/t/DHI.US?utm_medium=tweet&utm_campaign=wallstreet&utm_source=twitter,False,5.491428571428572
5854,1018072799175413800,"['dhi', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstconxrcdkbt', 'httpstcoptwwohskzc']",Sat Jul 14 10:00:44 +0000 2018,optioncharts,DHI,D.R. Horton,http://maximum-pain.com/options/max-pain/DHI,False,4.680000000000001
6179,1018147704193593300,"['are', 'analysts', 'bearish', 'dr', 'horton', 'inc', 'dhi', 'after', 'last', 'week', 'httpstcoiqcqaeajp']",Sat Jul 14 14:58:23 +0000 2018,reurope_stock,DHI,D.R. Horton,https://reurope.com/2018/07/14/are-analysts-bearish-d-r-horton-inc-nysedhi-after-last-week/,False,4.840000000000001
6669,1018268222334931000,"['d', 'r', 'horton', 'dhi', 'versus', 'mi', 'homes', 'mho', 'financial', 'comparison', 'httpstcoogzgnufng']",Sat Jul 14 22:57:17 +0000 2018,ThisLincolnian,DHI,D.R. Horton,http://thelincolnianonline.com/?p=2181754,False,5.247142857142856
6670,1018268345005682700,"['contrasting', 'mi', 'homes', 'mho', 'amp', 'd', 'r', 'horton', 'dhi', 'httpstcokmqtrnvam']",Sat Jul 14 22:57:46 +0000 2018,WeekHerald,DHI,D.R. Horton,http://weekherald.com/?p=2988491,False,5.316000000000001
7804,1018481773615964200,"['d', 'r', 'horton', 'inc', 'dhi', 'shareholder', 'waterfront', 'capital', 'partners', 'llc', 'has', 'increased', 'position', 'httpstcohbnnqyirr']",Sun Jul 15 13:05:51 +0000 2018,whatsonthorold2,DHI,D.R. Horton,https://www.whatsonthorold.com/2018/07/15/d-r-horton-inc-dhi-shareholder-waterfront-capital-partners-llc-has-increased-position/,False,5.5825000000000005
