,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
11046,1018928970866323500,"['epoch', 'investment', 'partners', 'inc', 'has', 'lifted', 'danaher', 'corp', 'del', 'dhr', 'holding', 'by', 'million', 'httpstcouepcunpw']",Mon Jul 16 18:42:52 +0000 2018,bibeypost_stock,DHR,Danaher Corporation,https://www.bibeypost.com/epoch-investment-partners-inc-has-lifted-danaher-corp-del-dhr-holding-by-7-54-million/,False,5.712
11471,1018959430568828900,"['one', 'of', 'the', 'most', 'common', 'misconceived', 'notions', 'we', 'hear', 'about', 'vwap', 'is', 'that', 'its', 'only', 'effective', 'on', 'ultra', 'high', 'volume', 'nam', 'httpstcofyyjxqxp']",Mon Jul 16 20:43:54 +0000 2018,TheVWAP,DHR,Danaher Corporation,https://twitter.com/i/web/status/1018959430568828930,False,5.531764705882353
11502,1018962114839375900,"['rt', 'thevwap', 'one', 'of', 'the', 'most', 'common', 'misconceived', 'notions', 'we', 'hear', 'about', 'vwap', 'is', 'that', 'its', 'only', 'effective', 'on', 'ultra', 'high', 'volume', 'names', 'so', 'in', 'o']",Mon Jul 16 20:54:34 +0000 2018,BradlyTorontoFX,DHR,Danaher Corporation,,False,5.444545454545454
11852,1019001605033619500,"['dhr', 'good', 'to', 'set', 'a', 'bit', 'of', 'volume', 'turn', 'up', 'yesterday', 'indicators', 'crossed', 'late', 'last', 'week', 'signalling', 'a', 'move', 'is', 'close', 'httpstcomjcbbldqy']",Mon Jul 16 23:31:29 +0000 2018,valvesound80,DHR,Danaher Corporation,https://twitter.com/i/web/status/1019001605033619458,False,5.146666666666666
11861,1019002986377326600,"['rt', 'gassincharts', 'victorian', 'government', 'defence', 'appeared', 'to', 'concede', 'that', 'the', 'lko', 'interpretation', 'of', 'fracking', 'ban', 'act', 'is', 'correct', 'the', 'legal']",Mon Jul 16 23:36:58 +0000 2018,PilbaraWolfee,DHR,Danaher Corporation,,False,5.138
11892,1019008781240242200,"['rt', 'valvesound', 'dhr', 'good', 'to', 'set', 'a', 'bit', 'of', 'volume', 'turn', 'up', 'yesterday', 'indicators', 'crossed', 'late', 'last', 'week', 'signalling', 'a', 'move', 'is', 'close', 'to', 'the']",Tue Jul 17 00:00:00 +0000 2018,thegoldentrade,DHR,Danaher Corporation,,False,5.118095238095238
12406,1019090841103630300,"['danaher', 'dhr', 'to', 'release', 'earnings', 'on', 'thursday', 'httpstcoiipsdrtw']",Tue Jul 17 05:26:04 +0000 2018,WeekHerald,DHR,Danaher Corporation,http://weekherald.com/?p=2994540,False,6.004
12652,1019118357876883500,"['rt', 'lusoinvestments', 'australia', 'leading', 'the', 'charge', 'in', 'lithium', 'with', 'more', 'mines', 'coming', 'online', 'by', 'the', 'day', 'wa', 'is', 'slated', 'to', 'produce', 'more', 'than', 'h']",Tue Jul 17 07:15:25 +0000 2018,AnneLeslie18,DHR,Danaher Corporation,,False,5.521904761904762
12691,1019124618005626900,"['jobs', 'and', 'billions', 'on', 'the', 'table', 'if', 'wa', 'gets', 'lithium', 'valley', 'right', 'voltage', 'energy', 'barrons', 'will', 'drive', 'the', 'next', 'wav', 'httpstcovanjjzopy']",Tue Jul 17 07:40:18 +0000 2018,LusoInvestments,DHR,Danaher Corporation,https://twitter.com/i/web/status/1019124618005626880,False,5.69875
12700,1019125804263882800,"['rt', 'lusoinvestments', 'jobs', 'and', 'billions', 'on', 'the', 'table', 'if', 'wa', 'gets', 'lithium', 'valley', 'right', 'voltage', 'energy', 'barrons', 'will', 'drive', 'the', 'next', 'wave', 'o']",Tue Jul 17 07:45:00 +0000 2018,Jack29587031,DHR,Danaher Corporation,,False,5.650526315789474
