,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
911,1016624742223183900,"['discovery', 'inc', 'series', 'c', 'disck', 'upgraded', 'at', 'valuengine', 'httpstcoexztsvydx']",Tue Jul 10 10:06:41 +0000 2018,MareaInformativ,DISCK,Discovery,http://www.mareainformativa.com/?p=413891,False,5.26
937,1016633526664429600,"['discovery', 'inc', 'series', 'c', 'target', 'of', 'unusually', 'high', 'options', 'trading', 'disck', 'httpstcouswzbfb']",Tue Jul 10 10:41:35 +0000 2018,WatchlistN,DISCK,Discovery,http://zpr.io/6T3sv,False,5.642222222222222
938,1016634236210688000,"['discovery', 'inc', 'series', 'c', 'target', 'of', 'unusually', 'high', 'options', 'trading', 'disck', 'httpstcozalmgbucw']",Tue Jul 10 10:44:24 +0000 2018,TickerReport,DISCK,Discovery,http://tickerreport.com/?p=3626237,False,5.642222222222222
942,1016636344687349800,"['discovery', 'inc', 'series', 'c', 'target', 'of', 'unusually', 'high', 'options', 'trading', 'disck', 'httpstcofydrcdbnyo']",Tue Jul 10 10:52:47 +0000 2018,dailypoliticaln,DISCK,Discovery,http://www.dailypolitical.com/?p=2192534,False,5.642222222222222
943,1016636585788485600,"['discovery', 'inc', 'series', 'c', 'target', 'of', 'unusually', 'high', 'options', 'trading', 'disck', 'httpstcoggqljvgg']",Tue Jul 10 10:53:44 +0000 2018,ZolmaxNews,DISCK,Discovery,http://zolmax.com/?p=2372589,False,5.642222222222222
950,1016638154906964000,"['discovery', 'inc', 'series', 'c', 'disck', 'upgraded', 'at', 'valuengine', 'httpstcowoioye']",Tue Jul 10 10:59:59 +0000 2018,EnterpriseLeade,DISCK,Discovery,http://theenterpriseleader.com/?p=976803,False,5.26
1124,1016685085003788300,"['disck', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcooxaftqmie', 'httpstcoxudkhmj']",Tue Jul 10 14:06:28 +0000 2018,optioncharts,DISCK,Discovery,http://maximum-pain.com/options/max-pain/DISCK,False,4.888
1156,1016695195226779600,"['research', 'analysts', 'weekly', 'ratings', 'changes', 'for', 'discovery', 'inc', 'series', 'c', 'disck', 'httpstcohxlzmqx']",Tue Jul 10 14:46:38 +0000 2018,WatchlistN,DISCK,Discovery,http://zpr.io/6TdeQ,False,5.436000000000001
1159,1016695473325953000,"['research', 'analysts', 'weekly', 'ratings', 'changes', 'for', 'discovery', 'inc', 'series', 'c', 'disck', 'httpstcohbsswmp']",Tue Jul 10 14:47:44 +0000 2018,TickerReport,DISCK,Discovery,http://tickerreport.com/?p=3626670,False,5.436000000000001
1718,1016915428868808700,"['discovery', 'inc', 'series', 'c', 'target', 'of', 'unusually', 'large', 'options', 'trading', 'disck', 'httpstcoqkxphl']",Wed Jul 11 05:21:46 +0000 2018,TheMarketsDaily,DISCK,Discovery,http://zpr.io/6aGJP,False,5.577777777777778
1787,1016963133766815700,"['discovery', 'inc', 'series', 'c', 'disck', 'upgraded', 'by', 'valuengine', 'to', 'hold', 'httpstcoblfixsph']",Wed Jul 11 08:31:20 +0000 2018,TheMarketsDaily,DISCK,Discovery,http://zpr.io/6a7HT,False,5.2942857142857145
2633,1017196664015077400,"['want', 'the', 'latest', 'upgrades', 'amp', 'downgrades', 'for', 'cost', 'ups', 'dnkn', 'zltq', 'disck', 'checkout', 'marketbeat', 'daily', 'httpstconsjudtftr']",Wed Jul 11 23:59:17 +0000 2018,RatingsNetwork,DISCK,Discovery,http://bit.ly/arndailyw,False,5.3725
3204,1017396277355610100,"['state', 'of', 'wisconsin', 'investment', 'board', 'holds', 'stake', 'in', 'discovery', 'communicatns', 'new', 'disck', 'httpstcorbpvua']",Thu Jul 12 13:12:29 +0000 2018,whatsonthorold2,DISCK,Discovery,https://www.whatsonthorold.com/2018/07/12/state-of-wisconsin-investment-board-holds-stake-in-discovery-communicatns-new-disck/,False,5.564
3205,1017396314773053400,"['discovery', 'communicatns', 'new', 'disck', 'shareholder', 'state', 'of', 'wisconsin', 'investment', 'board', 'boosted', 'holding', 'by', 'million', 'httpstcogtpvrlee']",Thu Jul 12 13:12:38 +0000 2018,mmahotstuff1,DISCK,Discovery,https://twitter.com/i/web/status/1017396314773053440,False,5.772
3207,1017396451914272800,"['as', 'discovery', 'communicatns', 'new', 'disck', 'stock', 'price', 'declined', 'state', 'of', 'wisconsin', 'investment', 'board', 'has', 'upped', 'position', 'httpstcoikzcgizsl']",Thu Jul 12 13:13:11 +0000 2018,reurope_stock,DISCK,Discovery,https://reurope.com/2018/07/12/as-discovery-communicatns-new-disck-stock-price-declined-state-of-wisconsin-investment-board-has-upped-position/,False,5.38
3208,1017396482218123300,"['discovery', 'communicatns', 'new', 'disck', 'share', 'value', 'declined', 'while', 'state', 'of', 'wisconsin', 'investment', 'board', 'lifted', 'position', 'httpstcoyhoglrzbb']",Thu Jul 12 13:13:18 +0000 2018,bibeypost_stock,DISCK,Discovery,https://www.bibeypost.com/discovery-communicatns-new-disck-share-value-declined-while-state-of-wisconsin-investment-board-lifted-position/,False,5.630769230769231
3448,1017429502446719000,"['discovery', 'com', 'ser', 'c', 'disck', 'shareholder', 'beese', 'fulmer', 'investment', 'management', 'raised', 'holding', 'by', 'million', 'intersec', 'httpstcodfrfibzg']",Thu Jul 12 15:24:30 +0000 2018,The_CasualSmart,DISCK,Discovery,https://twitter.com/i/web/status/1017429502446718977,False,5.65
4343,1017596477659639800,"['disck', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcoasbrpwto', 'httpstcowmtogswky']",Fri Jul 13 02:28:00 +0000 2018,optioncharts,DISCK,Discovery,http://maximum-pain.com/options/open-interest/DISCK,False,5.5775
4589,1017692209603178500,"['rt', 'hfiresearch', 'best', 'ideas', 'for', 'crc', 'gxeto', 'disck', 'httpstcowasxws']",Fri Jul 13 08:48:25 +0000 2018,HFI_Research,DISCK,Discovery,https://seekingalpha.com/article/4135103-hfi-research-best-ideas-going-2018?uprof=32&isDirectRoadblock=true,False,6.109999999999999
4873,1017754688366792700,"['disck', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcoasbrpwto', 'httpstcowfoqfghtl']",Fri Jul 13 12:56:41 +0000 2018,optioncharts,DISCK,Discovery,http://maximum-pain.com/options/open-interest/DISCK,False,5.5775
5963,1018095354934329300,"['seizert', 'capital', 'partners', 'llc', 'raised', 'discovery', 'inc', 'com', 'ser', 'c', 'disck', 'position', 'by', 'million', 'httpstcoyzeloxlz']",Sat Jul 14 11:30:22 +0000 2018,reurope_stock,DISCK,Discovery,https://reurope.com/2018/07/14/seizert-capital-partners-llc-raised-discovery-inc-com-ser-c-disck-position-by-5-12-million/,False,5.807272727272728
5964,1018095429299339300,"['discovery', 'inc', 'com', 'ser', 'c', 'disck', 'holder', 'seizert', 'capital', 'partners', 'llc', 'increased', 'stake', 'httpstcodfehniyv']",Sat Jul 14 11:30:40 +0000 2018,bibeypost_stock,DISCK,Discovery,https://www.bibeypost.com/discovery-inc-com-ser-c-disck-holder-seizert-capital-partners-llc-increased-stake/,False,5.611111111111111
7050,1018358862322323500,"['discovery', 'inc', 'series', 'c', 'disck', 'lifted', 'to', 'hold', 'at', 'valuengine', 'httpstcokjbjzzwp']",Sun Jul 15 04:57:27 +0000 2018,ZolmaxNews,DISCK,Discovery,http://zolmax.com/?p=2381436,False,5.3975
7054,1018359124638171100,"['discovery', 'inc', 'series', 'c', 'disck', 'lifted', 'to', 'hold', 'at', 'valuengine', 'httpstcojhvhyreigq']",Sun Jul 15 04:58:30 +0000 2018,dailypoliticaln,DISCK,Discovery,http://www.dailypolitical.com/?p=2201349,False,5.3975
7134,1018369044754378800,"['discovery', 'inc', 'series', 'c', 'disck', 'rating', 'increased', 'to', 'hold', 'at', 'valuengine', 'httpstcoplvxzshb']",Sun Jul 15 05:37:55 +0000 2018,ZolmaxNews,DISCK,Discovery,http://zolmax.com/?p=2381605,False,5.433333333333334
7328,1018396895281074200,"['discovery', 'inc', 'series', 'c', 'disck', 'rating', 'increased', 'to', 'hold', 'at', 'valuengine', 'httpstcokdkzzpq']",Sun Jul 15 07:28:35 +0000 2018,dailypoliticaln,DISCK,Discovery,http://www.dailypolitical.com/?p=2202075,False,5.433333333333334
11781,1018990497459662800,"['disck', 'may', 'go', 'down', 'if', 'the', 'bear', 'pattern', 'is', 'confirmed', 'chk', 'confirmation', 'httpstcoyeixuwwrde', 'short', 'level']",Mon Jul 16 22:47:21 +0000 2018,American_Bulls,DISCK,Discovery,http://bit.ly/24xBNlM,False,5.2272727272727275
14637,1019250383133265900,"['disck', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcoasbrpwto', 'httpstcolqznlxvkbm']",Tue Jul 17 16:00:02 +0000 2018,optioncharts,DISCK,Discovery,http://maximum-pain.com/options/open-interest/DISCK,False,5.5775
16606,1019347992829030400,"['disck', 'the', 'bear', 'pattern', 'is', 'confirmed', 'amp', 'a', 'short', 'signal', 'is', 'issued', 'httpstcoyeixuwwrde', 'short', 'level', 'target']",Tue Jul 17 22:27:54 +0000 2018,American_Bulls,DISCK,Discovery,http://bit.ly/24xBNlM,False,5.297142857142857
17957,1019451390899445800,"['discovery', 'inc', 'series', 'c', 'disck', 'downgraded', 'by', 'valuengine', 'to', 'sell', 'httpstcojdoafiuxkq']",Wed Jul 18 05:18:46 +0000 2018,ledgerzette,DISCK,Discovery,http://ledgergazette.com/?p=2832979,False,5.262857142857143
17964,1019451617639354400,"['discovery', 'inc', 'series', 'c', 'disck', 'downgraded', 'by', 'valuengine', 'to', 'sell', 'httpstcoclavritn']",Wed Jul 18 05:19:40 +0000 2018,dakotafinancial,DISCK,Discovery,http://dakotafinancialnews.com/?p=324786,False,5.262857142857143
26080,1019687789489557500,"['discovery', 'extends', 'ceo', 'zaslav', 'through', 'httpstcojnjllefxn', 'disca', 'discb', 'disck']",Wed Jul 18 20:58:08 +0000 2018,MarketCurrents,DISCK,Discovery,https://seekingalpha.com/news/3371279-discovery-extends-ceo-zaslav-2023?source=feed_f,False,5.705
26453,1019694355865591800,"['rt', 'marketcurrents', 'discovery', 'extends', 'ceo', 'zaslav', 'through', 'httpstcojnjllefxn', 'disca', 'discb', 'disck']",Wed Jul 18 21:24:14 +0000 2018,sep_sal,DISCK,Discovery,https://seekingalpha.com/news/3371279-discovery-extends-ceo-zaslav-2023?source=feed_f,False,5.54
26606,1019696941435965400,"['discovery', 'extends', 'contract', 'for', 'president', 'and', 'ceo', 'david', 'zaslav', 'disca', 'disck', 'httpstcoapnpvwdu']",Wed Jul 18 21:34:30 +0000 2018,theflynews,DISCK,Discovery,https://bit.ly/2uHVNXh,False,5.5575
26607,1019696948033540100,"['rt', 'theflynews', 'discovery', 'extends', 'contract', 'for', 'president', 'and', 'ceo', 'david', 'zaslav', 'disca', 'disck', 'httpstcoapnpvwdu']",Wed Jul 18 21:34:32 +0000 2018,tradnews_,DISCK,Discovery,https://bit.ly/2uHVNXh,False,5.482222222222223
27239,1019709861527892000,"['disck', 'may', 'go', 'up', 'if', 'the', 'bull', 'pattern', 'is', 'confirmed', 'chk', 'confirmation', 'httpstcoyeixuwwrde', 'buy', 'level']",Wed Jul 18 22:25:50 +0000 2018,American_Bulls,DISCK,Discovery,http://bit.ly/24xBNlM,False,5.505454545454546
