,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4612,1017699445352353800,"['traders', 'buy', 'dish', 'network', 'dish', 'on', 'weakness', 'httpstcofvjxex']",Fri Jul 13 09:17:10 +0000 2018,OlympiaReport,DISH,DISH Network Corporation,http://theolympiareport.com/?p=922029,False,5.514285714285714
4617,1017699973222359000,"['investors', 'buy', 'shares', 'of', 'dish', 'network', 'dish', 'on', 'weakness', 'httpstcozvytlyrpd']",Fri Jul 13 09:19:16 +0000 2018,dispatchtribune,DISH,DISH Network Corporation,http://dispatchtribunal.com/?p=2051321,False,5.571111111111112
4835,1017749490927890400,"['short', 'sale', 'volumenot', 'short', 'interest', 'for', 'gsat', 'on', 'is', 'httpstcokvjrgtx', 'sats', 'ent', 'irdm', 'dish']",Fri Jul 13 12:36:02 +0000 2018,shortvolumes,DISH,DISH Network Corporation,http://shortvolumes.com/?t=GSAT,False,5.4925
5364,1017837347193286700,"['gwssbn', 'nys', 'exposed', 'feds', 'rule', 'hemp', 'not', 'pot', 'httpstcoypqohcihxi', 'hemp', 'mjna', 'eaph', 'mpxef', 's', 'vz', 't', 'ge', 'gm', 'httpstcogokrqrpbxf']",Fri Jul 13 18:25:08 +0000 2018,passthepuck,DISH,DISH Network Corporation,https://www.whec.com/nys-exposed/nys-exposed-fed-rule-hemp-not-pot-/4987329/#.W0jqyo4cIMI.twitter,False,4.683750000000001
6178,1018147692357308400,"['bbt', 'capital', 'management', 'llc', 'has', 'upped', 'dish', 'network', 'corp', 'dish', 'stake', 'by', 'million', 'as', 'stock', 'value', 'declined', 'httpstcoppmxpenm']",Sat Jul 14 14:58:20 +0000 2018,reurope_stock,DISH,DISH Network Corporation,https://reurope.com/2018/07/14/bbt-capital-management-llc-has-upped-dish-network-corp-dish-stake-by-5-89-million-as-stock-value-declined/,False,5.5
6727,1018285570878033900,"['dish', 'network', 'dish', 'lifted', 'to', 'buy', 'at', 'zacks', 'investment', 'research', 'httpstcovoawnzed']",Sun Jul 15 00:06:13 +0000 2018,ThisLincolnian,DISH,DISH Network Corporation,http://thelincolnianonline.com/?p=2181852,False,5.875555555555556
6923,1018330485678919700,"['dish', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcopbaegnnc', 'httpstcowjgpvqffn']",Sun Jul 15 03:04:42 +0000 2018,optioncharts,DISH,DISH Network Corporation,http://maximum-pain.com/options/max-pain/DISH,False,5.093333333333334
7280,1018391258887348200,"['credit', 'suisse', 'group', 'begins', 'coverage', 'on', 'dish', 'network', 'dish', 'httpstcogdnmehfmw']",Sun Jul 15 07:06:11 +0000 2018,WeekHerald,DISH,DISH Network Corporation,http://weekherald.com/?p=2990001,False,5.8975
7318,1018396030197477400,"['dish', 'network', 'dish', 'upgraded', 'to', 'buy', 'at', 'zacks', 'investment', 'research', 'httpstcohtxuyrmre']",Sun Jul 15 07:25:09 +0000 2018,ledgerzette,DISH,DISH Network Corporation,http://ledgergazette.com/?p=2826116,False,5.835000000000001
7489,1018427911483863000,"['credit', 'suisse', 'group', 'begins', 'coverage', 'on', 'dish', 'network', 'dish', 'httpstcolmucvhrd']",Sun Jul 15 09:31:50 +0000 2018,dispatchtribune,DISH,DISH Network Corporation,http://dispatchtribunal.com/?p=2054175,False,5.8975
7514,1018433496002580500,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'dish', 'is', 'httpstcobmrxksav', 'dis', 'chtr', 'amx', 'gsat']",Sun Jul 15 09:54:01 +0000 2018,shortvolumes,DISH,DISH Network Corporation,http://shortvolumes.com/?t=DISH,False,5.22
8611,1018596173974818800,"['billion', 'in', 'sales', 'expected', 'for', 'dish', 'network', 'corp', 'dish', 'this', 'quarter', 'httpstcoofynajovo']",Sun Jul 15 20:40:27 +0000 2018,MareaInformativ,DISH,DISH Network Corporation,http://www.mareainformativa.com/?p=452387,False,5.787272727272728
8615,1018596573180301300,"['zacks', 'brokerages', 'anticipate', 'dish', 'network', 'corp', 'dish', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstconbpxea']",Sun Jul 15 20:42:02 +0000 2018,dailypoliticaln,DISH,DISH Network Corporation,http://www.dailypolitical.com/?p=2204142,False,5.9159999999999995
8623,1018597038450241500,"['zacks', 'brokerages', 'anticipate', 'dish', 'network', 'corp', 'dish', 'to', 'announce', 'eps', 'httpstcowqpjezja']",Sun Jul 15 20:43:53 +0000 2018,ZolmaxNews,DISH,DISH Network Corporation,http://zolmax.com/?p=2384232,False,5.646666666666667
8626,1018597159405486100,"['dish', 'network', 'corp', 'dish', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcodsmxygiy']",Sun Jul 15 20:44:22 +0000 2018,dakotafinancial,DISH,DISH Network Corporation,http://dakotafinancialnews.com/?p=319952,False,5.703636363636363
8640,1018600594938957800,"['brokerages', 'expect', 'dish', 'network', 'corp', 'dish', 'to', 'post', 'eps', 'httpstcodylmttxvdr']",Sun Jul 15 20:58:01 +0000 2018,WatchlistN,DISH,DISH Network Corporation,http://zpr.io/6XNYF,False,5.654285714285714
8675,1018612067601928200,"['dish', 'network', 'corp', 'dish', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoinkygjgq']",Sun Jul 15 21:43:36 +0000 2018,MareaInformativ,DISH,DISH Network Corporation,http://www.mareainformativa.com/?p=452580,False,5.805454545454546
10712,1018903892132851700,"['dish', 'the', 'trump', 'putin', 'treason', 'summit', 'took', 'hours', 'and', 'minutes', 'and', 'it', 'was', 'confirmed', 'trump', 'swallowed']",Mon Jul 16 17:03:12 +0000 2018,gebbyart,DISH,DISH Network Corporation,,False,5.308571428571429
